PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,
1,164128121,3697969,CC(C)C1=CC=C(C=C1)CNC2=CC3=C(C=C2)N(C=N3)C4=CC=C(C=C4)OC,Active,,,,0.0014,EC50,=,1.4,nM
2,164128489,66793952,CCC1=CC=C(C=C1)N2C=NC3=C2C=CC(=C3)NCC4=CC=C(C=C4)C(C)C,Active,,,,0.0019,EC50,=,1.9,nM
3,164128490,1122998,CCOC1=CC=C(C=C1)CNC2=CC3=C(C=C2)N(C=N3)C4=CC=C(C=C4)OC,Active,,,,0.004,EC50,=,4,nM
4,164128491,66794049,CN(C)CC1=CC=C(C=C1)CNC2=CC3=C(C=C2)N(C=N3)C4=CC=C(C=C4)OC,Active,,,,0.27,EC50,=,270,nM
5,164128492,66794063,CCC1=NC=C(C=N1)CNC2=CC3=C(C=C2)N(C=N3)C4=CC=C(C=C4)OCC,Active,,,,0.45,EC50,=,450,nM
6,164131379,66794145,CN1CCN(CC1)CC2=CC=C(C=C2)CNC3=CC4=C(C=C3)N(C=N4)C5=CC=C(C=C5)OC,Unspecified,,,,16,EC50,=,16000,nM
7,164131380,1124051,COC1=CC=C(C=C1)N2C=NC3=C2C=CC(=C3)NCC4=C(C(=CC=C4)OC)OC,Active,,,,0.16,EC50,=,160,nM
8,164131381,66794200,CC(C)C1=CC=C(C=C1)CN(C)C2=CC3=C(C=C2)N(C=N3)C4=CC=C(C=C4)OC,Active,,,,0.057,EC50,=,57,nM
9,164131382,24748634,CC(C)C1=CC=C(C=C1)CN(C2=CC3=C(C=C2)N(C=N3)C4=CC=C(C=C4)OC)C(=O)C,Active,,,,0.38,EC50,=,380,nM
10,164134177,15993128,COC1=CC=C(C=C1)N2C=NC3=C2C=CC(=C3)NCC4=CC=CC5=CC=CC=C54,Active,,,,0.069,EC50,=,69,nM
11,164134178,66794138,CCOC1=CC=C(C=C1)N2C=NC3=C2C=CC(=C3)NCC4=CC=C(C=C4)CC(=O)O,Active,,,,1.3,EC50,=,1300,nM
12,164134179,1924897,COC1=CC=C(C=C1)N2C=NC3=C2C=CC(=C3)NCC4=CC(=CC=C4)OC,Active,,,,0.035,EC50,=,35,nM
13,164134180,71521579,CCC1=CC=C(C=C1)NCC2=CC3=C(C=C2)N(C=N3)C4=CC=C(C=C4)OCC,Active,,,,0.011,EC50,=,11,nM
14,164134181,1372941,CC1=CC=C(C=C1)C(=O)NC2=CC3=C(C=C2)N(C=N3)C4=CC=C(C=C4)OC,Unspecified,,,,50,EC50,>,50000,nM
15,164137034,921304,CC(C)C1=CC=C(C=C1)CNC2=CC3=C(C=C2)N(C=N3)C4=CC=CC=C4,Active,,,,0.0052,EC50,=,5.2,nM
16,164137035,66794563,CC(C)C1=CC=C(C=C1)CNC2=CC3=C(C=C2)N(C=N3)C4=CC=C(C=C4)OC5=CC6=CC=CC=C6C=C5,Active,,,,0.54,EC50,=,540,nM
17,164137036,66793996,CCC1=CC=C(C=C1)CNC2=CC3=C(C=C2)N(C=N3)C4=NN=C(C=C4)OC,Active,,,,0.081,EC50,=,81,nM
18,164139820,66794219,CC(C)C1=CC=C(C=C1)CNC2=CC3=C(C=C2)N(C=N3)C4=CC=C(C=C4)OC(C)(C)C,Active,,,,0.0086,EC50,=,8.6,nM
19,164139821,66794233,CC(C)C1=CC=C(C=C1)CNC2=CC3=C(C=C2)N(C=N3)C4=CC=C(C=C4)OC5=CC=CC=C5,Active,,,,0.13,EC50,=,130,nM
20,164139822,66794293,CCC1=CC=C(C=C1)CNC2=CC3=C(C=C2)N(C=N3)C4=CN=C(N=C4)OC,Active,,,,0.45,EC50,=,450,nM
21,164139823,66794196,CCC1=CC=C(C=C1)CNC2=CC3=C(C=C2)N(C=N3)C4=CC=C(C=C4)OC,Active,,,,0.0012,EC50,=,1.2,nM
22,164139824,66794345,CN(C)CCOC1=CC=C(C=C1)CNC2=CC3=C(C=C2)N(C=N3)C4=CC=C(C=C4)OC,Active,,,,3.3,EC50,=,3300,nM
23,164139825,66794050,COC1=CC=C(C=C1)N2C=NC3=C2C=CC(=C3)NCC4=CC=C(C=C4)CN5CCCCC5,Active,,,,1.4,EC50,=,1400,nM
24,164139826,1389428,COC1=CC=C(C=C1)N2C=NC3=C2C=CC(=C3)NCC4=CC(=C(C=C4)OC)OC,Active,,,,0.7,EC50,=,700,nM
25,164142588,66794192,CC(C)C1=CC=C(C=C1)CNC2=CC3=C(C=C2)N(C=N3)C4=CC=C(C=C4)CC5=CC=CC=C5,Active,,,,0.12,EC50,=,120,nM
26,164142589,66794020,CC(C)C1=CC=C(C=C1)CNC2=CC3=C(C=C2)N(C=N3)C4=CC=C(C=C4)OCCC5=CC=CC=C5,Active,,,,0.043,EC50,=,43,nM
27,164142590,66794115,CCC1=CC=C(C=C1)CNC2=CC3=C(C=C2)N(C=N3)C4=CN=C(C=C4)OC,Active,,,,0.032,EC50,=,32,nM
28,164142591,66794280,CCC1=CC=C(C=C1)CNC2=CC3=C(C=C2)N(C=N3)C4=NC=C(C=C4)OC,Active,,,,0.0058,EC50,=,5.8,nM
29,164142592,6624892,CC1=CC=C(C=C1)CNC2=CC3=C(C=C2)N(C=N3)C4CCCCC4,Active,,,,0.32,EC50,=,320,nM
30,164142593,66794449,CC(C)(C)C1=CC=C(C=C1)CNC2=CC3=C(C=C2)N(C=N3)C4=CC=C(C=C4)OC,Active,,,,0.0011,EC50,=,1.1,nM
31,164142594,66794311,COC1=CC=C(C=C1)N2C=NC3=C2C=CC(=C3)NCC4=CC=C(C=C4)OC5=CC=CC=C5,Active,,,,0.38,EC50,=,380,nM
32,164142595,1122996,COC1=CC=C(C=C1)N2C=NC3=C2C=CC(=C3)NCC4=CC=CC=C4OC,Active,,,,0.46,EC50,=,460,nM
33,164142596,672701,COC1=CC=C(C=C1)N2C=NC3=C2C=CC(=C3)NCC4=CC=CC=C4O,Active,,,,0.31,EC50,=,310,nM
34,164142597,71521746,CC(C)C1=CC=C(C=C1)CNC2=CC3=C(C=C2)N=CN3C4=CC=C(C=C4)OC(C)(C)C,Active,,,,0.18,EC50,=,180,nM
35,164145403,66794060,CC(C)C1=CC=C(C=C1)CNC2=CC3=C(C=C2)N(C=N3)C4=CC=C(C=C4)C(C)(C)C,Active,,,,0.004,EC50,=,4,nM
36,164145404,66794190,CCCCOC1=CC=C(C=C1)N2C=NC3=C2C=CC(=C3)NCC4=CC=C(C=C4)C(C)C,Active,,,,0.0056,EC50,=,5.6,nM
37,164145405,66794083,CCCCOC1=CC=C(C=C1)CNC2=CC3=C(C=C2)N(C=N3)C4=CC=C(C=C4)OC,Active,,,,0.006,EC50,=,6,nM
38,164145406,66794079,CC(C)(C)OC1=CC=C(C=C1)CNC2=CC3=C(C=C2)N(C=N3)C4=CC=C(C=C4)OC,Active,,,,0.0052,EC50,=,5.2,nM
39,164145407,66794011,COC1=CC=C(C=C1)N2C=NC3=C2C=CC(=C3)NCC4=CC=C(C=C4)CC5=CC=CC=C5,Active,,,,0.046,EC50,=,46,nM
40,164145408,66794234,COC1=CC=C(C=C1)N2C=NC3=C2C=CC(=C3)NCC4=CC=C(C=C4)CN5CCOCC5,Active,,,,0.79,EC50,=,790,nM
41,164145409,66794257,CCOC1=CC=C(C=C1)N2C=NC3=C2C=CC(=C3)NCC4=CN=C(C=C4)C,Active,,,,0.24,EC50,=,240,nM
42,164145410,66794197,CCOC1=CC=C(C=C1)N2C=NC3=C2C=CC(=C3)NCC4=NC=C(C=C4)C,Active,,,,0.35,EC50,=,350,nM
43,164145411,1122995,COC1=CC=C(C=C1)CNC2=CC3=C(C=C2)N(C=N3)C4=CC=C(C=C4)OC,Active,,,,0.011,EC50,=,11,nM
44,164147235,828705,COC1=CC=C(C=C1)N2C=NC3=C2C=CC(=C3)NCC4=CC=CO4,Active,,,,1.2,EC50,=,1200,nM
45,164148190,66794023,CCCCC1=CC=C(C=C1)N2C=NC3=C2C=CC(=C3)NCC4=CC=C(C=C4)C(C)C,Active,,,,0.0044,EC50,=,4.4,nM
46,164148191,66794015,CCCCC1=CC=C(C=C1)CNC2=CC3=C(C=C2)N(C=N3)C4=CC=C(C=C4)OC,Active,,,,0.0015,EC50,=,1.5,nM
47,164148192,1364864,COC1=CC=C(C=C1)N2C=NC3=C2C=CC(=C3)NCC4=CC=C(C=C4)Cl,Active,,,,0.047,EC50,=,47,nM
48,164148193,24748635,CC1=CC=C(C=C1)S(=O)(=O)N(CC2=CC=C(C=C2)C(C)C)C3=CC4=C(C=C3)N(C=N4)C5=CC=C(C=C5)OC,Active,,,,0.11,EC50,=,110,nM
