PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Relation,Standard Value,Activity Comment
RESULT_TYPE,,,,,,,,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Additional comments
1,312356031,162147,C1CCN2C[C@H]3C[C@@H]([C@H]2C1)C=C4[C@H]3NCCC4,Unspecified,,,,Ratio CC50/EC50,>,19.6,
2,404673249,145964144,C1CCN2C[C@H]3C[C@@H]([C@H]2C1)C=C4[C@H]3N(CCC4)S(=O)(=O)C5=CC=CS5,Unspecified,,,,Ratio CC50/EC50,>,3.2,
3,404673278,145964165,C1CCN2C[C@H]3C[C@@H]([C@H]2C1)C=C4[C@H]3N(CCC4)S(=O)(=O)C5=CC(=CC(=C5)Cl)Cl,Unspecified,,,,Ratio CC50/EC50,>,7.4,
4,404673911,145964586,C1CCN2C[C@H]3C[C@@H]([C@H]2C1)C=C4[C@H]3N(CCC4)CCCC5=CC(=CC(=C5)Cl)Cl,Inconclusive,,,Potential missing data,Ratio CC50/EC50,,,Not Determined
5,404673973,13408688,CN[C@@H]1CC[C@@H](C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl.Cl,Unspecified,,,,Ratio CC50/EC50,=,24.6,
6,404676728,145966425,C1CCN2C[C@H]3C[C@@H]([C@H]2C1)C=C4[C@H]3N(CCC4)C(=O)C5=CC(=CC(=C5)Cl)Cl,Unspecified,,,,Ratio CC50/EC50,>,5.7,
7,404676766,145966448,C1CCN2C[C@H]3C[C@@H]([C@H]2C1)C=C4[C@H]3N(CCC4)CC5=C(C=C(C=C5)Cl)Cl,Unspecified,,,,Ratio CC50/EC50,>,31.2,
8,404677784,145967145,C1CCN2C[C@H]3C[C@@H]([C@H]2C1)C=C4[C@H]3N(CCC4)C(=O)C5=CC=C(C=C5)Cl,Unspecified,,,,Ratio CC50/EC50,>,1.8,
9,404684657,145971839,C1CCN2C[C@H]3C[C@@H]([C@H]2C1)C=C4[C@H]3N(CCC4)S(=O)(=O)C5=CC=C(C=C5)Cl,Unspecified,,,,Ratio CC50/EC50,>,10.6,
10,404685465,145972380,C1CCN2C[C@H]3C[C@@H]([C@H]2C1)C=C4[C@H]3N(CCC4)S(=O)(=O)C5=CC=CC(=C5)C#N,Unspecified,,,,Ratio CC50/EC50,>,2.8,
