PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Relation,Standard Value
RESULT_TYPE,,,,,,,,STRING,STRING,FLOAT
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM
1,103170049,5035,C1CCN(CC1)CCOC2=CC=C(C=C2)C(=O)C3=C(SC4=C3C=CC(=C4)O)C5=CC=C(C=C5)O,Unspecified,,,,Ratio CC50/IC50,=,11
2,103170100,2733526,CC/C(=C(\C1=CC=CC=C1)/C2=CC=C(C=C2)OCCN(C)C)/C3=CC=CC=C3,Unspecified,,,,Ratio CC50/IC50,=,19
3,103195570,4416,COC1=CC2=C(C=C1)C(=C(CC2)C3=CC=CC=C3)C4=CC=C(C=C4)OCCN5CCCC5,Unspecified,,,,Ratio CC50/IC50,=,6
4,103224092,154257,CC1=C(N(C2=C1C=C(C=C2)O)CC3=CC=C(C=C3)OCCN4CCCCCC4)C5=CC=C(C=C5)O,Unspecified,,,,Ratio CC50/IC50,=,6
5,103517319,23648275,C1CCN(CC1)CCOC2=CC=C(C=C2)OC3=C(SC4=C3C=CC(=C4)O)C5=CC=C(C=C5)F,Unspecified,,,,Ratio CC50/IC50,=,7
6,103517321,15429026,C1CCN(CC1)CCOC2=CC=C(C=C2)OC3=C(SC4=C3C=CC(=C4)O)C5=CC=CC=C5,Unspecified,,,,Ratio CC50/IC50,=,20
7,103517324,16719866,C1CCN(CC1)CCOC2=CC=C(C=C2)OC3=C(SC4=C3C=CC(=C4)O)C5=CC=C(C=C5)N,Unspecified,,,,Ratio CC50/IC50,>,69
8,103534015,11548000,CCC(=C(C1=CC=C(C=C1)OCCN2CCCC2)C3=CC=C(C=C3)OCCN4CCCC4)C5=CC=CC=C5,Unspecified,,,,Ratio CC50/IC50,=,13
9,103608478,135484659,CC1=C(N(N=C1C2=CC=C(C=C2)O)C3=CC=C(C=C3)O)C4=CC=C(C=C4)OCCN5CCCCC5,Unspecified,,,,Ratio CC50/IC50,=,12
10,103628891,3005573,CN(C)CCOC1=CC=C(C=C1)/C(=C(/CCCl)\C2=CC=CC=C2)/C3=CC=CC=C3,Unspecified,,,,Ratio CC50/IC50,=,6
11,160708695,3036505,C1=CC=C(C=C1)/C(=C(/C2=CC=CC=C2)\C3=CC=C(C=C3)OCCO)/CCCl,Unspecified,,,,Ratio CC50/IC50,<,1
12,404719025,23642301,CCNCCC1=CC=C(C=C1)CN(CC)C2=C(C=CC(=C2)OC)[C@@H]3CCC4=C(C3)C=CC(=C4)O,Unspecified,,,,Ratio CC50/IC50,=,8
13,440175581,137503296,CC1=CC=CC=C1C(=O)C2=C(C3=C(S2)C=C(C=C3)O)OC4=CC=C(C=C4)OCCN5CC(C5)CF,Unspecified,,,,Ratio CC50/IC50,=,7
14,440185231,137503669,CC1=CC(=CC(=C1C(=O)C2=C(C3=C(S2)C=C(C=C3)O)OC4=CC=C(C=C4)OCCN5CC(C5)CF)C)F,Unspecified,,,,Ratio CC50/IC50,=,15
15,461518510,162645816,CC/C(=C(/C1=CC=C(C=C1)NC(=O)CN2CCOCC2)\C3=CC=C(C=C3)OCCN4CCCC4)/C5=CC=CC=C5,Unspecified,,,,Ratio CC50/IC50,=,14
16,461519922,162646855,CC/C(=C(/C1=CC=C(C=C1)NCCN2CCCC2)\C3=CC=C(C=C3)OCCN4CCCC4)/C5=CC=CC=C5,Unspecified,,,,Ratio CC50/IC50,=,18
17,461520352,15429025,COC1=CC2=C(C=C1)C(=C(S2)C3=CC=CC=C3)OC4=CC=C(C=C4)OCCN5CCCCC5,Unspecified,,,,Ratio CC50/IC50,=,8
18,461521623,16720684,COC1=CC2=C(C=C1)C(=C(S2)C3=CC=C(C=C3)Br)OC4=CC=C(C=C4)OCCN5CCCCC5,Unspecified,,,,Ratio CC50/IC50,=,37
19,461521868,162648190,CC/C(=C(/C1=CC=C(C=C1)N)\C2=CC=C(C=C2)OCCN3CCCC3)/C4=CC=CC=C4,Unspecified,,,,Ratio CC50/IC50,=,13
20,461523659,153939546,CC1=C([C@@H](OC2=CC=CC=C12)C3=CC=C(C=C3)OCCN4CCCCC4)C5=CC=C(C=C5)O,Unspecified,,,,Ratio CC50/IC50,=,19
21,461527842,162652347,CC/C(=C(/C1=CC=C(C=C1)NC(=O)CC2CCN(CC2)C)\C3=CC=C(C=C3)OCCN4CCCC4)/C5=CC=CC=C5,Unspecified,,,,Ratio CC50/IC50,=,33
22,461528334,16719864,COC1=CC2=C(C=C1)C(=C(S2=O)C3=CC=C(C=C3)Br)OC4=CC=C(C=C4)OCCN5CCCCC5,Unspecified,,,,Ratio CC50/IC50,>,55
23,461531467,13106542,CCC(C1=CC=CC=C1)C(C2=CC=C(C=C2)OCCN(C)C)(C3=CC(=CC=C3)O)O,Unspecified,,,,Ratio CC50/IC50,=,9
24,461531627,162655017,CC/C(=C(/C1=CC=C(C=C1)NC(=O)C2CCN(CC2)C)\C3=CC=C(C=C3)OCCN4CCCC4)/C5=CC=CC=C5,Unspecified,,,,Ratio CC50/IC50,=,12
25,461533887,162656588,CC/C(=C(/C1=CC=C(C=C1)NC(=O)N2CCN(CC2)C)\C3=CC=C(C=C3)OCCN4CCCC4)/C5=CC=CC=C5,Unspecified,,,,Ratio CC50/IC50,=,11
26,461537151,162658904,CC/C(=C(/C1=CC=C(C=C1)NC(=O)CN2CCOCC2)\C3=CC=C(C=C3)OCCN4CCOCC4)/C5=CC=CC=C5,Unspecified,,,,Ratio CC50/IC50,=,13
27,461539710,162660733,CC/C(=C(/C1=CC=C(C=C1)NC(=O)CN2CCN(CC2)C)\C3=CC=C(C=C3)OCCN4CCCC4)/C5=CC=CC=C5,Unspecified,,,,Ratio CC50/IC50,=,7
