PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,
1,520002696,177641133,C[C@@]12CC[C@@H](C1)C([C@@H]2OC(=O)CN3CCN(CC3)C)(C)C,Unspecified,,,,25,IC50,=,25000,nM
2,520004073,177641768,CC1CCN(CC1)CC(=O)O[C@@H]2[C@@]3(CC[C@@H](C3)C2(C)C)C,Active,,,,9.9,IC50,=,9900,nM
3,520007521,177643386,C[C@@H]1[C@H]2C[C@H](C2(C)C)C[C@H]1OC(=O)CCN3CCN(CC3)C,Active,,,,6.2,IC50,=,6200,nM
4,520009629,177644348,CCN1CCN(CC1)CCCC(=O)O[C@@H]2[C@@]3(CC[C@@H](C3)C2(C)C)C,Active,,,,4.2,IC50,=,4200,nM
5,520010237,177644621,C[C@@]12CC[C@@H](C1)C([C@@H]2OC(=O)CCCN3CCN(CC3)C)(C)C,Active,,,,8.3,IC50,=,8300,nM
6,520010647,177644826,C[C@@]12CC[C@@H](C1)C([C@@H]2OC(=O)CCN3CCOCC3)(C)C,Unspecified,,,,69.1,IC50,=,69100,nM
7,520011103,177645018,C[C@@H]1[C@H]2C[C@H](C2(C)C)C[C@H]1OC(=O)CN3CCN(CC3)C,Unspecified,,,,49,IC50,=,49000,nM
8,520011121,177645028,CCN1CCN(CC1)CC(=O)O[C@@H]2[C@@]3(CC[C@@H](C3)C2(C)C)C,Unspecified,,,,30,IC50,=,30000,nM
9,520011865,177645371,CC1CCN(CC1)CCCC(=O)O[C@@H]2[C@@]3(CC[C@@H](C3)C2(C)C)C,Unspecified,,,,14,IC50,=,14000,nM
10,520013023,177645874,C[C@@]12CC[C@@H](C1)C([C@@H]2OC(=O)CCCN3CCCCC3)(C)C,Active,,,,4.6,IC50,=,4600,nM
