PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,Activity_Score,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.0000000311 uM,Activity at 0.0000000880 uM,Activity at 0.0000001756 uM,Activity at 0.0000004972 uM,Activity at 0.0000014063 uM,Activity at 0.0000028127 uM,Activity at 0.0000079555 uM,Activity at 0.0000225014 uM,Activity at 0.0000450029 uM,Activity at 0.0001299230 uM,Activity at 0.0003002708 uM,Activity at 0.0008965874 uM,Activity at 0.00268 uM,Activity at 0.00700 uM,Activity at 0.016 uM,Activity at 0.032 uM,Activity at 0.076 uM,Activity at 0.219 uM,Activity at 0.631 uM,Activity at 1.728 uM,Activity at 3.886 uM,Activity at 8.589 uM,Activity at 17.80 uM,Activity at 49.20 uM,Activity at 107.3 uM,Activity at 231.0 uM,Compound QC
RESULT_TYPE,,,,,,,,STRING,FLOAT,FLOAT,STRING,INTEGER,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING
RESULT_DESCR,,,,,,,,"Indicates type of activity observed: inhibitor, activator, fluorescent, cytotoxic, inactive, or inconclusive.","Concentration at which compound exhibits half-maximal efficacy, AC50. Extrapolated AC50s also include the highest efficacy observed and the concentration of compound at which it was observed.","Maximal efficacy of compound, reported as a percentage of control. These values are estimated based on fits of the Hill equation to the dose-response curves.",Annotation/notes on a particular compound's data or its analysis.,Activity score.,"A description of dose-response curve quality. A complete curve has two observed asymptotes; a partial curve may not have attained its second asymptote at the highest concentration tested. High efficacy curves exhibit efficacy greater than 80% of control. Partial efficacies are statistically significant, but below 80% of control.",The logarithm of the AC50 from a fit of the data to the Hill equation (calculated based on Molar Units).,The Hill slope from a fit of the data to the Hill equation.,R^2 fit value of the curve. Closer to 1.0 equates to better Hill equation fit.,The asymptotic efficacy from a fit of the data to the Hill equation.,Efficacy at zero concentration of compound from a fit of the data to the Hill equation.,Numerical encoding of curve description for the fitted Hill equation.,"Which dose-response titration points were excluded from analysis based on outlier analysis. Each number represents whether a titration point was (1) or was not (0) excluded, for the titration series going from smallest to highest compound concentrations.",Maximum activity observed for compound (usually at highest concentration tested).,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,"NCGC designation for data stage: 'qHTS', 'qHTS Verification', 'Secondary Profiling'"
RESULT_UNIT,,,,,,,,NONE,MICROMOLAR,PERCENT,NONE,NONE,NONE,NONE,NONE,NONE,PERCENT,PERCENT,NONE,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,NONE
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,,,,,,,,,,,,,3.10866e-08,8.80184e-08,1.75576e-07,4.97236e-07,1.40634e-06,2.81268e-06,7.95546e-06,2.25014e-05,4.50029e-05,0.000129923,0.000300271,0.000896587,0.00268115,0.00700018,0.0164739,0.0316665,0.0761191,0.218613,0.63071,1.72828,3.88644,8.58887,17.7982,49.2015,107.251,231,
1,104231808,49858698,CC1=C(C(NC(=O)N1CC2=CC=CC=C2)CCC3=CC=CC=C3)C(=O)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-bu-marburg-f1/NCGC00160879-03/110106171,,Inactive,,,,0,,,4.9549,0.398,8,-19.8208,4,0 0 1 0 0 0 0,3.9036,,,,,,,,,,,,-14.8902,-17.3839,,53.2224,,-27.1425,,37.8605,-17.9853,,3.9036,,,,,QC'd by BUCMLD
2,104231809,24867745,CC(=O)C([C@@H](C1=CC(=CC=C1)C(F)(F)F)NC(=O)OCC=C)C(=O)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-bu-marburg-f1/NCGC00161011-02/110106798,,Inactive,,,,0,,,4.9549,0.5706,-28.5873,5,4,1 0 1 0 0 0 1,-5.1191,,,,,,,,,,,,57.2559,4.4752,,39.947,,-9.7986,,20.8574,-23.8227,,-5.1191,,,,,QC'd by BUCMLD
3,104231810,49858695,CC1=C(C(NC(=O)N1CC2=CC=CC=C2)C3=CC(=CC=C3)F)C(=O)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-bu-marburg-f1/NCGC00162508-02/110105972,,Inactive,,,,0,,,4.9549,0.7597,-17.9253,25.2334,4,0 1 0 0 0 0 0,-4.6485,,,,,,,,,,,,10.7646,-17.5779,,21.9457,,43.4182,,-27.5155,-21.6807,,-4.6485,,,,,QC'd by BUCMLD
4,104231811,49859359,C[C@@H]1[C@@H]([C@H](NC(=O)N1CC2=CC=CC=C2)C3=CC=CC=C3)C(=O)OC,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-bu-marburg-f1/NCGC00162555-02/110106197,,Inactive,,,,0,,,4.9549,0.3215,4.4808,-19.5197,4,0 0 0 0 0 0 1,-4.8606,,,,,,,,,,,,-27.5645,-10.0432,,-19.0789,,32.8199,,4.0265,-23.1273,,-4.8606,,,,,QC'd by BUCMLD
5,104231812,16745585,CC1(C(=O)C=C2C=C(N(C=C2C1=O)CC3=CC4=C(C=C3)OCO4)C5=CSC=C5)OC(=O)C6CCCC6,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-bu-marburg-f1/NCGC00162802-02/110105962,,Inactive,,,,0,,,,,,,4,,-7.9692,,,,,,,,,,,,3.2319,17.0304,,-8.1853,,-7.9694,,-6.9452,16.4725,,-7.9692,,,,,QC'd by BUCMLD
