PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,Activity_Score,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.0000967719 uM,Activity at 0.0002167586 uM,Activity at 0.0005263378 uM,Activity at 0.0009674074 uM,Activity at 0.00173 uM,Activity at 0.00290 uM,Activity at 0.00518 uM,Activity at 0.00878 uM,Activity at 0.026 uM,Activity at 0.041 uM,Activity at 0.078 uM,Activity at 0.140 uM,Activity at 0.235 uM,Activity at 0.419 uM,Activity at 0.711 uM,Activity at 1.384 uM,Activity at 2.154 uM,Activity at 6.280 uM,Activity at 11.32 uM,Activity at 19.05 uM,Activity at 33.84 uM,Activity at 57.16 uM,Activity at 114.3 uM,Activity at 190.5 uM,Activity at 571.4 uM,Compound QC
RESULT_TYPE,,,,,,,,STRING,FLOAT,FLOAT,STRING,INTEGER,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING
RESULT_DESCR,,,,,,,,"Indicates type of activity observed: inhibitor, activator, fluorescent, cytotoxic, inactive, or inconclusive.","Concentration at which compound exhibits half-maximal efficacy, AC50. Extrapolated AC50s also include the highest efficacy observed and the concentration of compound at which it was observed.","Maximal efficacy of compound, reported as a percentage of control. These values are estimated based on fits of the Hill equation to the dose-response curves.",Annotation/notes on a particular compound's data or its analysis.,Activity score.,"A description of dose-response curve quality. A complete curve has two observed asymptotes; a partial curve may not have attained its second asymptote at the highest concentration tested. High efficacy curves exhibit efficacy greater than 80% of control. Partial efficacies are statistically significant, but below 80% of control.",The logarithm of the AC50 from a fit of the data to the Hill equation (calculated based on Molar Units).,The Hill slope from a fit of the data to the Hill equation.,R^2 fit value of the curve. Closer to 1.0 equates to better Hill equation fit.,The asymptotic efficacy from a fit of the data to the Hill equation.,Efficacy at zero concentration of compound from a fit of the data to the Hill equation.,Numerical encoding of curve description for the fitted Hill equation.,"Which dose-response titration points were excluded from analysis based on outlier analysis. Each number represents whether a titration point was (1) or was not (0) excluded, for the titration series going from smallest to highest compound concentrations.",Maximum activity observed for compound (usually at highest concentration tested).,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,"NCGC designation for data stage: 'qHTS', 'qHTS Verification', 'Secondary Profiling'"
RESULT_UNIT,,,,,,,,,MICROMOLAR,PERCENT,,NONE,,NONE,NONE,NONE,PERCENT,PERCENT,NONE,,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,,,,,,,,,,,,,9.67719e-05,0.000216759,0.000526338,0.000967407,0.00172511,0.00290222,0.00517534,0.00877704,0.0256278,0.0414791,0.0775266,0.139734,0.235149,0.419203,0.71094,1.38364,2.15358,6.27965,11.3185,19.0527,33.8396,57.1597,114.286,190.476,571.429,
1,384569517,393111,COC1=C(C=C2C(=C1)C(=O)N3CC(=C)C[C@H]3C=N2)OCCCOC4=C(C=C5C(=C4)N=C[C@@H]6CC(=C)CN6C5=O)OC,Active,100,http://assay.nih.gov/htsws/rest/display/TRND-SARS2-PP-HEK293ACE2-f4-mipe-npc/NCGC00522455-01/250072933,,Inhibitor,0.0015,96.5031,,100,Complete curve; high efficacy,-8.8171,1.5386,0.9938,-95.9172,0.5859,-1.1,0 0 0 0 0 0 0 0 0 0 0,-97.0291,,,,-30.7618,,-72.1244,,-86.6945,-93.7738,,-96.9928,,-97.017,,-97.4769,,-95.3591,-94.6693,,-96.6419,,-97.0291,,,,QC'd by MedChem Express
2,384569319,6456014,CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=C(C5=CC=CC=C5N=C4C3=C2)CCNC(C)C)O,Active,98,http://assay.nih.gov/htsws/rest/display/TRND-SARS2-PP-HEK293ACE2-f4-mipe-npc/NCGC00506803-01/250073467,,Inhibitor,0.0054,91.6561,,98,Complete curve; high efficacy,-8.2671,2.2526,0.9892,-96.5094,-4.8532,-1.1,0 0 0 0 0 0 0 0 0 0 0,-96.897,-17.9419,-2.3777,,-7.8639,,-20.5922,,-68.43,-93.8867,,-94.9119,,-95.7736,,-96.3407,-96.8861,,-96.897,,,,,,,,QC'd by Tocris
3,384569440,57327016,CC1=CC2=C([C@@H]3[C@@H]4[C@H]5C6=C(C(=C7C(=C6[C@@H](N4[C@H]([C@H](C2)N3C)O)COC(=O)[C@@]8(CS5)C9=C(CCN8)C2=C(N9)C=CC(=C2)OC)OCO7)C)OC(=O)C)C(=C1OC)O,Active,98,http://assay.nih.gov/htsws/rest/display/TRND-SARS2-PP-HEK293ACE2-f4-mipe-npc/NCGC00510477-01/250073284,,Inhibitor,0.0044,93.377,,98,Complete curve; high efficacy,-8.3559,4.9549,0.9989,-93.377,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-94.333,,0,0,,0,,-67.1871,,-92.5218,-95.4775,,-91.8107,,-91.2217,,-91.6329,-93.4219,,-94.333,,,,,,,QC'd by MedChem Express
4,170464742,60871,CC(C)(C)C(=O)OCOP(=O)(COCCN1C=NC2=C(N=CN=C21)N)OCOC(=O)C(C)(C)C,Active,97,http://assay.nih.gov/htsws/rest/display/TRND-SARS2-PP-HEK293ACE2-f4-mipe-npc/NCGC00164624-02/250073277,,Inhibitor,0.0086,100.41,,97,Complete curve; high efficacy,-8.0671,1.4787,0.9954,-96.9099,3.5,-1.1,0 0 0 0 0 0 0 0 0 0 0,-96.2553,,,,0,,-10.7395,,-53.1418,-76.8987,,-91.444,,-97.0332,,-97.2221,,-97.6554,-97.8888,,-97.4443,,-96.2553,,,,QC'd by Sequoia
5,384568246,138402870,C[C@@H]1C(=O)N([C@@H]2CS[C@@H]([C@H](C(=O)N([C@@H](C(=O)OC[C@@H](C(=O)N1)NC(=O)C3=NC4=CC=CC=C4N=C3)C(C)C)C)N(C(=O)[C@H](NC(=O)[C@H](COC(=O)[C@H](N(C2=O)C)C(C)C)NC(=O)C5=NC6=CC=CC=C6N=C5)C)C)SC)C,Active,97,http://assay.nih.gov/htsws/rest/display/TRND-SARS2-PP-HEK293ACE2-f4-mipe-npc/NCGC00163548-03/250073341,,Inhibitor,0.0086,99.91,,97,Complete curve; high efficacy,-8.0671,2.3332,0.9962,-96.41,3.5,-1.1,0 0 0 0 0 0 0 0 0 0 0,-97.4094,,,,-1.0653,,0,,-46.5792,-93.6758,,-95.1909,,-94.988,,-96.0634,,-94.7039,-96.1581,,-97.9776,,-97.4094,,,,QC'd by SIGMA
6,384568683,24771867,COC1=C(C(=CC=C1)F)C2=NCC3=CN=C(N=C3C4=C2C=C(C=C4)Cl)NC5=CC(=C(C=C5)C(=O)O)OC,Active,97,http://assay.nih.gov/htsws/rest/display/TRND-SARS2-PP-HEK293ACE2-f4-mipe-npc/NCGC00263271-04/250073138,,Inhibitor,0.0108,99.6442,,97,Complete curve; high efficacy,-7.9671,0.5,0.9236,-98.7138,0.9304,-1.1,0 0 0 0 0 0 0 0 0 0 0,-99.7109,,,,-12.558,,-44.0463,,-50.6475,-62.6694,,-54.0083,,-86.2194,,-92.3026,,-90.1945,-93.4229,,-97.7594,,-99.7109,,,,QC'd by Selleck
7,384568687,241903,CC[C@@]1(C[C@@H]2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O,Active,97,http://assay.nih.gov/htsws/rest/display/TRND-SARS2-PP-HEK293ACE2-f4-mipe-npc/NCGC00263548-23/250073158,,Inhibitor,0.0043,78.3061,,97,Complete curve; high efficacy,-8.3671,0.7,0.8901,-87.3887,-9.0826,-1.1,0 0 0 0 0 0 0 0 0 0 0,-92.1821,,,,-24.6522,,-56.1164,,-47.8046,-64.3197,,-88.3635,,-84.3884,,-81.3046,,-86.5326,-81.8105,,-85.858,,-92.1821,,,,QC'd by MedChem Express
8,405559102,5702258,CC[C@H]1[C@H]([C@@H]([C@@H](C(O1)OC(C2=CN=CN2)C(C(=O)NC(C)C(C(C)C(=O)NC(C(C)O)C(=O)NCCC3=NC(=CS3)C4=NC(=CS4)C(=O)NCCCCN=C(N)N)O)NC(=O)C5=C(C(=NC(=N5)C(CC(=O)N)NCC(C(=O)N)N)N)C)O[C@@H]6[C@H]([C@H]([C@@H]([C@H](O6)CO)O)OC(=O)N)O)C)C,Active,97,http://assay.nih.gov/htsws/rest/display/TRND-SARS2-PP-HEK293ACE2-f4-mipe-npc/NCGC00263874-02/250073330,,Inhibitor,0.0105,101.421,,97,Complete curve; high efficacy,-7.9783,1.111,0.9983,-97.9208,3.5,-1.1,0 0 0 0 0 0 0 0 0 0 0,-99.513,,,0,,-5.3265,,-23.7309,-55.6766,,-78.4572,,-87.5681,,-94.9609,-97.3689,,-97.8559,,-98.7081,,-99.513,,,,,QC'd by Microsource
9,124893436,472335,CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=C(C=CC=C5[N+](=O)[O-])N=C4C3=C2)O,Active,96,http://assay.nih.gov/htsws/rest/display/TRND-SARS2-PP-HEK293ACE2-f4-mipe-npc/NCGC00167969-02/250073204,,Inhibitor,0.0175,92.7559,,96,Complete curve; high efficacy,-7.7559,2.7202,0.9875,-96.7559,-4,-1.1,0 0 0 0 0 0 0 0 0 0 0,-97.2998,,,,,-12.684,,0,,-54.4197,,-92.4774,-96.1998,,-95.8998,,-95.8775,,-97.7332,-96.1776,,-95.1553,,-97.2998,,,QC'd by SIGMA
10,144206501,20055528,CC1=C(N=C(N=C1N)C(CC(=O)N)NCC(C(=O)N)N)C(=O)NC(C(C2=CN=CN2)O[C@H]3[C@H]([C@H]([C@@H]([C@@H](O3)CO)O)O)O[C@@H]4[C@H]([C@H]([C@@H]([C@H](O4)CO)O)OC(=O)N)O)C(=O)NC(C)C(C(C)C(=O)NC(C(C)O)C(=O)NCCC5=NC(=CS5)C6=NC(=CS6)C(=O)NCCCN[C@@H](C)C7=CC=CC=C7)O.OS(=O)(=O)O,Active,96,http://assay.nih.gov/htsws/rest/display/TRND-SARS2-PP-HEK293ACE2-f4-mipe-npc/NCGC00182036-01/250073387,,Inhibitor,0.0215,102.327,,96,Complete curve; high efficacy,-7.6671,1,0.9946,-98.3268,4,-1.1,0 0 0 0 0 0 0 0 0 0 0,-99.9256,,,,0,,-3.1215,,-31.9761,-51.023,,-75.3187,,-86.9052,,-95.5359,,-98.5661,-98.4646,,-99.1883,,-99.9256,,,,QC'd by ACC
11,170465338,6398764,C[C@H](CN1C=NC2=C(N=CN=C21)N)OCP(=O)(OCOC(=O)OC(C)C)OCOC(=O)OC(C)C.C(=C/C(=O)O)\C(=O)O,Active,96,http://assay.nih.gov/htsws/rest/display/TRND-SARS2-PP-HEK293ACE2-f4-mipe-npc/NCGC00183876-03/250073471,,Inhibitor,0.0152,92.216,,96,Complete curve; high efficacy,-7.8171,1.9673,0.9941,-96.216,-4,-1.1,0 0 0 0 0 0 0 0 0 0 0,-97.7804,,,,0,,-14.877,,-25.5222,-73.5889,,-93.0687,,-95.3373,,-94.3448,,-95.4791,-96.897,,-96.9188,,-97.7804,,,,QC'd by Sequoia
12,124897824,15953908,C[C@@H]1[C@H]([C@@H](CC(O1)O[C@H]2[C@@H](CC3=C(C2=O)C(=C4C(=C3)C=C(C(=C4O)C)OC5C[C@@H]([C@@H]([C@@H](O5)C)OC(=O)C)OC6C[C@@H]([C@@H]([C@@H](O6)C)OC)O)O)[C@H](C(=O)[C@H]([C@H](C)O)O)OC)OC7C[C@@H]([C@H]([C@@H](O7)C)O)OC8C[C@]([C@H]([C@@H](O8)C)OC(=O)C)(C)O)O,Active,95,http://assay.nih.gov/htsws/rest/display/TRND-SARS2-PP-HEK293ACE2-f4-mipe-npc/NCGC00186637-01/250073435,,Inhibitor,0.0215,81.3269,,95,Complete curve; high efficacy,-7.6671,1.21,0.9292,-92.1484,-10.8215,-1.1,0 0 0 0 0 0 0 0 0 0 0,-90.9963,,,,-7.3513,,-27.0928,,-39.5485,-39.7557,,-93.6467,,-89.9711,,-89.7421,,-87.877,-88.2696,,-92.1852,,-90.9963,,,,QC'd by BIOMOL
13,170465475,3037,C1=CC(=C(C=C1Cl)CC2=C(C=CC(=C2)Cl)O)O,Active,95,http://assay.nih.gov/htsws/rest/display/TRND-SARS2-PP-HEK293ACE2-f4-mipe-npc/NCGC00091325-09/250072989,,Inhibitor,0.0152,96.668,,95,Complete curve; high efficacy,-7.8171,0.5,0.8971,-92.668,4,-1.1,0 0 0 0 0 0 0 0 0 0 0,-98.9048,,,,0,,-27.7243,,-45.2956,-59.9988,,-61.7051,,-75.5249,,-68.3367,,-70.0793,-86.3315,,-99.643,,-98.9048,,,,QC'd by Microsource
14,363678333,11655534,CS(=O)(=O)N1CCC(CC1)NC(=O)C2=C(C=NN2)NC(=O)C3=C(C=CC=C3Cl)Cl,Active,95,http://assay.nih.gov/htsws/rest/display/TRND-SARS2-PP-HEK293ACE2-f4-mipe-npc/NCGC00379060-01/250073429,,Inhibitor,0.0341,102.182,,95,Complete curve; high efficacy,-7.4671,1,0.9836,-98.6819,3.5,-1.1,0 0 0 0 0 0 0 0 0 0 0,-98.4849,,,,0,,0,,-22.4323,-43.2987,,-56.6844,,-94.501,,-97.6597,,-97.2945,-95.617,,-96.5504,,-98.4849,,,,QC'd by MedChem Express
15,377020171,1362865,CC1=CC(=C(N1C2=CC=CC=C2)C)/C=C/3\C(=O)N4C5=CC=CC=C5N=C4S3,Active,95,http://assay.nih.gov/htsws/rest/display/TRND-SARS2-PP-HEK293ACE2-f4-mipe-npc/NCGC00242501-03/250073160,,Inhibitor,0.0341,104.308,,95,Complete curve; high efficacy,-7.4671,0.8,0.9867,-98.8081,5.5,-1.1,0 0 0 0 0 0 0 0 0 0 0,-99.205,,,,-5.5472,,1.8009,,-23.3151,-46.865,,-56.4296,,-81.1721,,-89.0863,,-95.9646,-97.6751,,-98.3979,,-99.205,,,,QC'd by SIGMA
16,384569386,44519124,CC(C)NCCN1C2=C(C=C(C=C2)C(=O)C)C3=C1C=CC(=C3)C(=O)C,Active,95,http://assay.nih.gov/htsws/rest/display/TRND-SARS2-PP-HEK293ACE2-f4-mipe-npc/NCGC00509937-01/250073152,,Inhibitor,0.0541,105.723,,95,Complete curve; high efficacy,-7.2671,0.3,0.9361,-109.315,-3.5915,-1.1,0 0 0 0 0 0 0 0 0 0 0,-97.9522,,,,-17.1595,,-44.3956,,-47.13,-52.3701,,-58.8869,,-63.862,,-76.6066,,-72.0292,-93.194,,-97.7594,,-97.9522,,,,QC'd by ChemGood
17,405558521,46930982,CC1=C(N=C(N=C1N)[C@H](CC(=O)N)NC[C@H](C(=O)N)N)C(=O)N[C@@H](C(C2=CN=CN2)O[C@@H]3[C@@H]([C@@H]([C@H]([C@H](O3)CO)O)O)O[C@@H]4[C@H]([C@H]([C@@H]([C@H](O4)CO)O)OC(=O)N)O)C(=O)N[C@@H](C)[C@@H]([C@@H](C)C(=O)N[C@H]([C@@H](C)O)C(=O)NCCC5=NC(=CS5)C6=NC(=CS6)C(=O)NCCC[S+](C)C)O,Active,95,http://assay.nih.gov/htsws/rest/display/TRND-SARS2-PP-HEK293ACE2-f4-mipe-npc/NCGC00346501-07/250073432,,Inhibitor,0.0341,103.542,,95,Complete curve; high efficacy,-7.4671,0.9,0.9946,-99.5424,4,-1.1,0 0 0 0 0 0 0 0 0 0 0,-100.548,,,,0,,0,,-25.8413,-38.9834,,-66.3972,,-85.0519,,-93.4255,,-96.8278,-98.1738,,-99.4724,,-100.548,,,,QC'd by Selleck
18,170465065,122824,CCN(CC)C(C)CN1C2=CC=CC=C2SC3=CC=CC=C31.Cl,Active,94,http://assay.nih.gov/htsws/rest/display/TRND-SARS2-PP-HEK293ACE2-f4-mipe-npc/NCGC00178860-06/250073044,,Inhibitor,0.0383,102.16,,94,Complete curve; high efficacy,-7.4171,0.8,0.9897,-98.1597,4,-1.1,0 0 0 0 0 0 0 0 0 0 0,-97.9972,,,,0,,0.0121,,-25.5945,-40.8665,,-63.3267,,-74.1816,,-83.8507,,-96.8355,-98.5539,,-98.4087,,-97.9972,,,,QC'd by Microsource
19,384568754,135473382,CC(C)C1=NN(C2=C1C(=O)NC(=N2)CC3=CC=C(C=C3)OCCO)C4=C(C=CC=C4Cl)Cl,Active,94,http://assay.nih.gov/htsws/rest/display/TRND-SARS2-PP-HEK293ACE2-f4-mipe-npc/NCGC00345809-03/250073644,,Inhibitor,0.0341,97.2236,,94,Complete curve; high efficacy,-7.4671,1.1,0.9956,-93.7236,3.5,-1.1,0 0 0 0 0 0 0 0 0 0 0,-95.8319,,,,0,,0.3667,,-16.0942,-39.763,,-61.6687,,-87.947,,-89.9217,,-90.7257,-91.6003,,-94.3226,,-95.8319,,,,QC'd by Cayman
20,384569314,11519397,COC1=C(C=C2C(=C1)C3=C(C4=CC5=C(C=C4C3=O)OCO5)N(C2=O)CCCN6C=CN=C6)OC,Active,94,http://assay.nih.gov/htsws/rest/display/TRND-SARS2-PP-HEK293ACE2-f4-mipe-npc/NCGC00505020-01/250073098,,Inhibitor,0.0482,96.3561,,94,Complete curve; high efficacy,-7.3171,0.9,0.9861,-100.968,-4.6118,-1.1,0 0 0 0 0 0 0 0 0 0 0,-98.9881,,,,-1.3431,,-20.7011,,-21.5563,-38.5774,,-57.2969,,-87.689,,-97.0969,,-97.916,-98.9279,,-98.7593,,-98.9881,,,,QC'd by NCI
