PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Relation,PubChem Standard Value,Ki Qualifier,Ki,IC50 Qualifier,IC50,EC50 Qualifier,EC50,Target Accession(s),Ligand,Target
RESULT_TYPE,,,,,,,,STRING,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,TARGET_NCBI_PROTEIN_ACCESSION,STRING,STRING
RESULT_DESCR,,,,,,,,"Standardized activity type (i.e. Ki, IC50, Kd, or EC50)","Qualifier (e.g. >, <, =) for PubChem Standard Value","PubChem standardized value transformed from the value of Ki, IC50, Kd, or EC50. The unit is always micromolar.","Qualifier (e.g. >, <, =) for Ki",,"Qualifier (e.g. >, <, =) for IC50",,"Qualifier (e.g. >, <, =) for EC50",,Protein accession(s) of target,BindingDB Ligand,BindingDB Target
RESULT_UNIT,,,,,,,,,,MICROMOLAR,,NANOMOLAR,,NANOMOLAR,,NANOMOLAR,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,,TRUE,,,,,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,TRUE,,,,,,,,,,
1,11108249,5280443,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,Inactive,,,,IC50,,280,,,,280000,,,P0C6X7,BDBM7458,Replicase polyprotein 1ab
2,11108250,5280445,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O,Inactive,,,,EC50,,10.6,,,,,,10600,P0C6X7,BDBM7459,Replicase polyprotein 1ab
3,11108251,5280343,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,Inactive,,,,EC50,,83.4,,,,,,83400,P0C6X7,BDBM7460,Replicase polyprotein 1ab
4,46511786,11317290,CN(C)C1=CC=C(C=C1)C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)NC3=C(C=C(C=C3)[N+](=O)[O-])Cl,Active,,,,IC50,,0.06,,,,60,,,P0C6X7,BDBM11234,Replicase polyprotein 1ab
5,46511793,4477,C1=CC(=C(C=C1[N+](=O)[O-])Cl)NC(=O)C2=C(C=CC(=C2)Cl)O,Inactive,,,,IC50,>,50,,,>,50000,,,P0C6X7,BDBM11242,Replicase polyprotein 1ab
6,46511801,15959296,CCOC(=O)/C=C/[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC2=CC=CC=C2)CC(=O)[C@H](C(C)C)NC(=O)C3=NOC(=C3)C,Inactive,,,,IC50,,13,,,,13000,,,P0C6X7,BDBM11253,Replicase polyprotein 1ab
7,46511803,15959298,CCOC(=O)/C=C/[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC2=CC=C(C=C2)F)NC(=O)[C@H](C(C)C)NC(=O)C3=NOC(=C3)C,Inactive,,,,IC50,,39,,,,39000,,,P0C6X7,BDBM11255,Replicase polyprotein 1ab
8,46511807,15959302,CCOC(=O)/C=C/[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)/C=C/C3=CC=C(C=C3)C4=CC=CC=C4,Inactive,,,,IC50,,10,,,,10000,,,P0C6X7,BDBM11259,Replicase polyprotein 1ab
9,46511807,15959302,CCOC(=O)/C=C/[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)/C=C/C3=CC=C(C=C3)C4=CC=CC=C4,Active,,,,Ki,,6.44,,6440,,,,,P0C6X7,BDBM11259,Replicase polyprotein 1ab
10,46511807,15959302,CCOC(=O)/C=C/[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)/C=C/C3=CC=C(C=C3)C4=CC=CC=C4,Inactive,,,,EC50,,18.8,,,,,,18800,P0C6X7,BDBM11259,Replicase polyprotein 1ab
11,46511809,11555658,CCOC(=O)/C=C/[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)/C=C/C3=CC=C(C=C3)N(C)C,Active,,,,IC50,,1,,,,1000,,,P0C6X7,BDBM11261,Replicase polyprotein 1ab
12,46511809,11555658,CCOC(=O)/C=C/[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)/C=C/C3=CC=C(C=C3)N(C)C,Active,,,,Ki,,0.52,,520,,,,,P0C6X7,BDBM11261,Replicase polyprotein 1ab
13,46511809,11555658,CCOC(=O)/C=C/[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)/C=C/C3=CC=C(C=C3)N(C)C,Active,,,,EC50,,0.18,,,,,,180,P0C6X7,BDBM11261,Replicase polyprotein 1ab
14,46511810,15959304,CCOC(=O)/C=C/[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)/C=C/C3=C(C=C(C=C3)OC)OC,Inactive,,,,IC50,,10,,,,10000,,,P0C6X7,BDBM11262,Replicase polyprotein 1ab
