PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Relation,PubChem Standard Value,EC50 Qualifier,EC50,Target Accession(s),Ligand,Target
RESULT_TYPE,,,,,,,,STRING,STRING,FLOAT,FLOAT,FLOAT,TARGET_NCBI_PROTEIN_ACCESSION,STRING,STRING
RESULT_DESCR,,,,,,,,"Standardized activity type (i.e. Ki, IC50, Kd, or EC50)","Qualifier (e.g. >, <, =) for PubChem Standard Value","PubChem standardized value transformed from the value of Ki, IC50, Kd, or EC50. The unit is always micromolar.","Qualifier (e.g. >, <, =) for EC50",,Protein accession(s) of target,BindingDB Ligand,BindingDB Target
RESULT_UNIT,,,,,,,,,,MICROMOLAR,,NANOMOLAR,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,TRUE,,,,,,
1,434318813,25110701,C1=CC(=C2C=CNC2=C1)C(=O)OC3=CC(=CN=C3)Cl,Active,,,,EC50,,2.8,,2800,P0DTD1,BDBM429304,Replicase polyprotein 1ab
2,434318815,16204004,C1=CC2=C(C=CN2)C=C1C(=O)OC3=CC(=CN=C3)Cl,Inactive,,,,EC50,,43.7,,43700,P0DTD1,BDBM429306,Replicase polyprotein 1ab
3,447115317,156600307,C1CNC2=CC=CC(=C21)C(=O)OC3=CC(=CN=C3)Cl,Inactive,,,,EC50,,15,,15000,P0DTD1,BDBM496871,Replicase polyprotein 1ab
4,447115319,44580738,C1=CC(=CC(=C1)S(=O)(=O)N2C=CC3=C2C=CC(=C3)C(=O)OC4=CC(=CN=C4)Cl)[N+](=O)[O-],Inactive,,,,EC50,,69.8,,69800,P0DTD1,BDBM496873,Replicase polyprotein 1ab
5,447115320,156907340,COC1=CC=CC2=C1C=C(N2)C(=O)OC3=CC(=CN=C3)Cl,Active,,,,EC50,,8.1,,8100,P0DTD1,BDBM496874,Replicase polyprotein 1ab
6,447115321,156907341,C=CCN1C=CC2=C(C=CC=C21)C(=O)OC3=CC(=CN=C3)Cl,Inactive,,,,EC50,,15,,15000,P0DTD1,BDBM496875,Replicase polyprotein 1ab
7,447115322,156907342,C=CCC1=CN(C2=CC=CC(=C21)C(=O)OC3=CC(=CN=C3)Cl)CC=C,Inactive,,,,EC50,,11.5,,11500,P0DTD1,BDBM496876,Replicase polyprotein 1ab
8,447115323,156907343,CC1=CNC2=CC=CC(=C12)C(=O)OC3=CC(=CN=C3)Cl,Inactive,,,,EC50,,56.7,,56700,P0DTD1,BDBM496877,Replicase polyprotein 1ab
9,447115324,156907344,CC1=C(C2=C(C=C1)NC=C2)C(=O)OC3=CC(=CN=C3)Cl,Inactive,,,,EC50,>,100,>,100000,P0DTD1,BDBM496878,Replicase polyprotein 1ab
10,447115325,156907345,CC1=CC(=C2C=CNC2=C1)C(=O)OC3=CC(=CN=C3)Cl,Active,,,,EC50,,3.1,,3100,P0DTD1,BDBM496879,Replicase polyprotein 1ab
11,447115326,156907346,C1=CNC2=CC(=CC(=C21)C(=O)OC3=CC(=CN=C3)Cl)F,Inactive,,,,EC50,,14,,14000,P0DTD1,BDBM496880,Replicase polyprotein 1ab
