PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Relation,PubChem Standard Value,IC50 Qualifier,IC50,EC50,Target Accession(s),Ligand,Target
RESULT_TYPE,,,,,,,,STRING,STRING,FLOAT,FLOAT,FLOAT,FLOAT,TARGET_NCBI_PROTEIN_ACCESSION,STRING,STRING
RESULT_DESCR,,,,,,,,"Standardized activity type (i.e. Ki, IC50, Kd, or EC50)","Qualifier (e.g. >, <, =) for PubChem Standard Value","PubChem standardized value transformed from the value of Ki, IC50, Kd, or EC50. The unit is always micromolar.","Qualifier (e.g. >, <, =) for IC50",,,Protein accession(s) of target,BindingDB Ligand,BindingDB Target
RESULT_UNIT,,,,,,,,,,MICROMOLAR,,NANOMOLAR,NANOMOLAR,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,,TRUE,,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,TRUE,,,,,,,
1,447115342,156907357,CC(C)C[C@@H](C(=O)N[C@@H](C[C@@H]1CCNC1=O)C#N)NC(=O)C2=CC3=C(N2)C=CC=C3OC,Active,,,,IC50,,0.026,,26,,P0DTD1,BDBM496896,Replicase polyprotein 1ab
2,447115348,155903259,CC1([C@@H]2[C@H]1[C@H](N(C2)C(=O)[C@H](C(C)(C)C)NC(=O)C(F)(F)F)C(=O)N[C@@H](C[C@@H]3CCNC3=O)C#N)C,Active,,,,IC50,,0.003,,3,,P0DTD1,BDBM496902,Replicase polyprotein 1ab
3,459280220,162396231,CC(C)C[C@@H](C(=O)N[C@@H](C[C@@H]1CCNC1=O)C#N)NC(=O)C2=CC3=C(N2)C=CC=C3OC(F)(F)F,Active,,,,IC50,,0.083,,83,,P0DTD1,BDBM509848,Replicase polyprotein 1ab
4,459280242,162396249,CC(C)(C)C[C@@H](C(=O)N[C@@H](C[C@@H]1CCNC1=O)C#N)NC(=O)C2=CC3=C(N2)C=CC=C3OC,Active,,,,IC50,,0.056,,56,,P0DTD1,BDBM509871,Replicase polyprotein 1ab
5,459280411,162396372,CC(C)[C@@H](C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)N[C@@H](C[C@@H]3CCNC3=O)C#N)C2(C)C)NC(=O)C(F)(F)F,Active,,,,IC50,,0.013,,13,,P0DTD1,BDBM510048,Replicase polyprotein 1ab
6,459280413,162396373,CC(C)(C)C[C@@H](C(=O)N[C@@H](C[C@@H]1CCNC1=O)C#N)NC(=O)CN2CCCC2,Active,,,,IC50,,1.08,,1080,,P0DTD1,BDBM510050,Replicase polyprotein 1ab
7,459280413,162396373,CC(C)(C)C[C@@H](C(=O)N[C@@H](C[C@@H]1CCNC1=O)C#N)NC(=O)CN2CCCC2,Active,,,,EC50,,7.52,,,7520,P0DTD1,BDBM510050,Replicase polyprotein 1ab
8,459280414,162396374,CC(C)(C)C[C@@H](C(=O)N[C@@H](C[C@@H]1CCNC1=O)C#N)NC(=O)C2=C(C=CC=C2Cl)Cl,Active,,,,IC50,,0.439,,439,,P0DTD1,BDBM510051,Replicase polyprotein 1ab
