PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,PubChem Standard Value,IC50,Target Accession(s),Ligand,Target
RESULT_TYPE,,,,,,,,STRING,FLOAT,FLOAT,TARGET_NCBI_PROTEIN_ACCESSION,STRING,STRING
RESULT_DESCR,,,,,,,,"Standardized activity type (i.e. Ki, IC50, Kd, or EC50)","PubChem standardized value transformed from the value of Ki, IC50, Kd, or EC50. The unit is always micromolar.",,Protein accession(s) of target,BindingDB Ligand,BindingDB Target
RESULT_UNIT,,,,,,,,,MICROMOLAR,NANOMOLAR,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,
1,160857822,65482,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)C[C@H](CC[C@@H](C(=O)O)N)N)O)O)N,Active,,,,IC50,0.278,278,P0DTD1,BDBM50378739,Replicase polyprotein 1ab
2,160857822,65482,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)C[C@H](CC[C@@H](C(=O)O)N)N)O)O)N,Active,,,,IC50,0.36,360,P0C6X7,BDBM50378739,Replicase polyprotein 1ab
3,475738443,166595574,C1=CC(=CC=C1[N+](=O)[O-])S(=O)(=O)NC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C(N=CN=C43)N)O)O,Inactive,,,,IC50,14.12,14120,P0DTD1,BDBM533501,Replicase polyprotein 1ab
4,475738443,166595574,C1=CC(=CC=C1[N+](=O)[O-])S(=O)(=O)NC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C(N=CN=C43)N)O)O,Active,,,,IC50,7.6,7600,P0C6X7,BDBM533501,Replicase polyprotein 1ab
5,475738684,166595614,CCOC(=O)CCCCN(C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)O)S(=O)(=O)C4=CC(=C(C=C4)OC)[N+](=O)[O-],Active,,,,IC50,0.114,114,P0DTD1,BDBM533536,Replicase polyprotein 1ab
6,475738703,166595617,CCN(C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)O)S(=O)(=O)C4=CC(=C(C=C4)C)[N+](=O)[O-],Active,,,,IC50,0.038,38,P0DTD1,BDBM533519,Replicase polyprotein 1ab
7,475738838,166595638,COC1=C(C=CC(=C1)[N+](=O)[O-])S(=O)(=O)NC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C(N=CN=C43)N)O)O,Inactive,,,,IC50,25,25000,P0C6X7,BDBM533502,Replicase polyprotein 1ab
8,475738996,166595654,COC1=CC(=C(C=C1)S(=O)(=O)NC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C(N=CN=C43)N)O)O)[N+](=O)[O-],Active,,,,IC50,1.44,1440,P0DTD1,BDBM533504,Replicase polyprotein 1ab
9,475738996,166595654,COC1=CC(=C(C=C1)S(=O)(=O)NC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C(N=CN=C43)N)O)O)[N+](=O)[O-],Active,,,,IC50,2.6,2600,P0C6X7,BDBM533504,Replicase polyprotein 1ab
10,475739199,166595685,COC1=C(C=C(C=C1)S(=O)(=O)NC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C(N=CN=C43)N)O)O)C#N,Active,,,,IC50,0.514,514,P0DTD1,BDBM533524,Replicase polyprotein 1ab
11,475739585,166595734,CC(=O)OCCCCN(C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)O)S(=O)(=O)C4=CC(=C(C=C4)OC)[N+](=O)[O-],Active,,,,IC50,0.08,80,P0DTD1,BDBM533537,Replicase polyprotein 1ab
12,475739602,166595737,CCN(C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)O)S(=O)(=O)C4=CC(=C(C=C4)Cl)Cl,Active,,,,IC50,0.1,100,P0DTD1,BDBM533534,Replicase polyprotein 1ab
13,475739696,166595754,CC1=C(C=C(C=C1)S(=O)(=O)NC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C(N=CN=C43)N)O)O)[N+](=O)[O-],Active,,,,IC50,0.342,342,P0DTD1,BDBM533513,Replicase polyprotein 1ab
14,475739873,166595781,C1=CC(=C(C=C1S(=O)(=O)NC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C(N=CN=C43)N)O)O)C#N)F,Active,,,,IC50,0.899,899,P0DTD1,BDBM533522,Replicase polyprotein 1ab
15,475740028,166595801,CCN(C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)O)S(=O)(=O)C4=CC(=CC=C4)Cl,Active,,,,IC50,0.442,442,P0DTD1,BDBM533531,Replicase polyprotein 1ab
16,475740269,166595839,CCN(C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)O)S(=O)(=O)C4=CC(=C(C=C4)OC)[N+](=O)[O-],Active,,,,IC50,0.044,44,P0DTD1,BDBM533520,Replicase polyprotein 1ab
17,475740777,166595910,C1=CC(=C(C=C1C(F)(F)F)[N+](=O)[O-])S(=O)(=O)NC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C(N=CN=C43)N)O)O,Active,,,,IC50,3.49,3490,P0DTD1,BDBM533507,Replicase polyprotein 1ab
18,475740777,166595910,C1=CC(=C(C=C1C(F)(F)F)[N+](=O)[O-])S(=O)(=O)NC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C(N=CN=C43)N)O)O,Active,,,,IC50,3.3,3300,P0C6X7,BDBM533507,Replicase polyprotein 1ab
19,475741158,166595953,C1=CC(=CC=C1S(=O)(=O)NC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C(N=CN=C43)N)O)O)Cl,Inactive,,,,IC50,13.02,13020,P0DTD1,BDBM533527,Replicase polyprotein 1ab
20,475741420,166595994,C1=CC(=CC(=C1)S(=O)(=O)NC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C(N=CN=C43)N)O)O)[N+](=O)[O-],Active,,,,IC50,3.589,3589,P0DTD1,BDBM533510,Replicase polyprotein 1ab
21,475741652,166596029,CCN(C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)O)S(=O)(=O)C4=CC(=C(C=C4)C)Cl,Active,,,,IC50,0.056,56,P0DTD1,BDBM533535,Replicase polyprotein 1ab
22,475741671,166596032,CCN(C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)O)S(=O)(=O)C4=CC(=C(C=C4)Br)[N+](=O)[O-],Active,,,,IC50,0.08,80,P0DTD1,BDBM533518,Replicase polyprotein 1ab
23,475741870,166596059,CCN(C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)O)S(=O)(=O)C4=CC=CC(=C4)[N+](=O)[O-],Active,,,,IC50,0.516,516,P0DTD1,BDBM533516,Replicase polyprotein 1ab
24,475742842,166596205,CCC1=C(C=C(C=C1)S(=O)(=O)NC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C(N=CN=C43)N)O)O)[N+](=O)[O-],Active,,,,IC50,0.244,244,P0DTD1,BDBM533514,Replicase polyprotein 1ab
25,475742985,166596228,CC1=C(C=C(C=C1)S(=O)(=O)NC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C(N=CN=C43)N)O)O)Cl,Active,,,,IC50,0.344,344,P0DTD1,BDBM533529,Replicase polyprotein 1ab
26,475743070,166596237,COC1=C(C=C(C=C1)S(=O)(=O)N(CCCCN2C(=O)C3=CC=CC=C3C2=O)C[C@@H]4[C@H]([C@H]([C@@H](O4)N5C=NC6=C(N=CN=C65)N)O)O)[N+](=O)[O-],Active,,,,IC50,0.03,30,P0DTD1,BDBM533538,Replicase polyprotein 1ab
27,475743102,166596246,COC1=C(C=C(C=C1)S(=O)(=O)NC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C(N=CN=C43)N)O)O)[N+](=O)[O-],Active,,,,IC50,0.146,146,P0DTD1,BDBM533515,Replicase polyprotein 1ab
28,475743737,166596329,C1=CC(=C(C=C1S(=O)(=O)NC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C(N=CN=C43)N)O)O)C#N)Cl,Active,,,,IC50,1.01,1010,P0DTD1,BDBM533523,Replicase polyprotein 1ab
29,475743985,166596361,C1=CC(=C(C=C1S(=O)(=O)NC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C(N=CN=C43)N)O)O)[N+](=O)[O-])F,Active,,,,IC50,4.4,4400,P0DTD1,BDBM533511,Replicase polyprotein 1ab
30,475744102,166596378,CCN(C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)O)S(=O)(=O)C4=CC=CC(=C4)C#N,Active,,,,IC50,0.96,960,P0DTD1,BDBM533525,Replicase polyprotein 1ab
31,475744139,166596387,C1=CC(=C(C=C1S(=O)(=O)NC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C(N=CN=C43)N)O)O)[N+](=O)[O-])Cl,Active,,,,IC50,2.07,2070,P0DTD1,BDBM533508,Replicase polyprotein 1ab
32,475744139,166596387,C1=CC(=C(C=C1S(=O)(=O)NC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C(N=CN=C43)N)O)O)[N+](=O)[O-])Cl,Active,,,,IC50,1.4,1400,P0C6X7,BDBM533508,Replicase polyprotein 1ab
33,475744163,166596392,C1=CC(=C(C=C1S(=O)(=O)NC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C(N=CN=C43)N)O)O)Cl)Cl,Active,,,,IC50,0.482,482,P0DTD1,BDBM533528,Replicase polyprotein 1ab
34,475744665,166596469,C1=CC(=CC(=C1)S(=O)(=O)NC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C(N=CN=C43)N)O)O)C#N,Active,,,,IC50,5.3,5300,P0DTD1,BDBM533521,Replicase polyprotein 1ab
35,475744848,163358780,CCN(C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)O)S(=O)(=O)C4=CC(=C(C=C4)OC)C#N,Active,,,,IC50,0.019,19,P0DTD1,BDBM533526,Replicase polyprotein 1ab
36,475744848,163358780,CCN(C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)O)S(=O)(=O)C4=CC(=C(C=C4)OC)C#N,Inactive,,,,IC50,52.8,52800,Q9BTL3,BDBM533526,RNA guanine-N7 methyltransferase activating subunit
37,475745145,166596530,CCN(C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)O)S(=O)(=O)C4=C(C=C(C=C4)C(F)(F)F)[N+](=O)[O-],Active,,,,IC50,5,5000,P0DTD1,BDBM533509,Replicase polyprotein 1ab
38,475745203,166596542,C1=CC(=C(C=C1S(=O)(=O)NC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C(N=CN=C43)N)O)O)[N+](=O)[O-])Br,Active,,,,IC50,2.9,2900,P0DTD1,BDBM533512,Replicase polyprotein 1ab
