PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Relation,PubChem Standard Value,IC50 Qualifier,IC50,Target Accession(s),Ligand,Target
RESULT_TYPE,,,,,,,,STRING,STRING,FLOAT,FLOAT,FLOAT,TARGET_NCBI_PROTEIN_ACCESSION,STRING,STRING
RESULT_DESCR,,,,,,,,"Standardized activity type (i.e. Ki, IC50, Kd, or EC50)","Qualifier (e.g. >, <, =) for PubChem Standard Value","PubChem standardized value transformed from the value of Ki, IC50, Kd, or EC50. The unit is always micromolar.","Qualifier (e.g. >, <, =) for IC50",,Protein accession(s) of target,BindingDB Ligand,BindingDB Target
RESULT_UNIT,,,,,,,,,,MICROMOLAR,,NANOMOLAR,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,TRUE,,,,,,
1,471055926,164885434,CC(C)C[C@@H](C(=O)N1C[C@@]2(C[C@H]1C#N)C3=CC=CC=C3NC2=O)N(C)C(=O)[C@H](CC4=CC=C(C=C4)F)NC(=O)OCC5=CC=CC=C5,Active,,,,IC50,<,0.1,<,100,P0DTC1,BDBM553970,Replicase polyprotein 1a
2,471055927,164761299,CC(C)C[C@@H](C(=O)N1C[C@@]2(C[C@H]1NC=O)C3=CC=CC=C3NC2=O)N(C)C(=O)[C@H](CC4=CC=C(C=C4)F)NC(=O)OCC5=CC=CC=C5,Active,,,,IC50,<,0.1,<,100,P0DTC1,BDBM553971,Replicase polyprotein 1a
3,471055928,164885435,CC(C)C[C@@H](C(=O)N1C[C@@]2(C[C@H]1C#N)C3=CC=CC=C3NC2=O)N(C)C(=O)[C@H](CC4=CC=C(C=C4)F)NC(=O)OC,Active,,,,IC50,<,0.1,<,100,P0DTC1,BDBM553972,Replicase polyprotein 1a
4,471055929,164761293,CC1=CC(=NO1)C(=O)N[C@@H](CC2=CC=C(C=C2)F)C(=O)N(C)[C@@H](CC(C)C)C(=O)N3C[C@@]4(C[C@H]3NC=O)C5=CC=CC=C5NC4=O,Active,,,,IC50,<,0.1,<,100,P0DTC1,BDBM553973,Replicase polyprotein 1a
5,471055930,164885436,CC(C)(C)C[C@@H](C(=O)N1C[C@@]2(C[C@H]1C#N)C3=CC=CC=C3NC2=O)N(C)C(=O)[C@H](CC4=CC=C(C=C4)F)NC(=O)OCC5=CC=CC=C5,Active,,,,IC50,<,0.1,<,100,P0DTC1,BDBM553974,Replicase polyprotein 1a
6,471055930,164885436,CC(C)(C)C[C@@H](C(=O)N1C[C@@]2(C[C@H]1C#N)C3=CC=CC=C3NC2=O)N(C)C(=O)[C@H](CC4=CC=C(C=C4)F)NC(=O)OCC5=CC=CC=C5,Active,,,,IC50,<,0.1,<,100,P0DTC1,BDBM553974,Replicase polyprotein 1a
7,471055931,164885437,CC(C)(C)C[C@@H](C(=O)N1C[C@@]2(C[C@H]1C#N)C3=CC=CC=C3NC2=O)N(C)C(=O)[C@H](CC4=CC=C(C=C4)F)NC(=O)C5=CC6=C(N5)C(=C(C=C6F)F)F,Active,,,,IC50,<,0.1,<,100,P0DTC1,BDBM553976,Replicase polyprotein 1a
8,471055932,164885438,CC(C)(C)C[C@@H](C(=O)N1C[C@@]2(C[C@H]1C#N)C3=CC=CC=C3NC2=O)N(C)C(=O)[C@H](CC4=CC=C(C=C4)F)NC(=O)NC5CC5,Active,,,,IC50,<,0.1,<,100,P0DTC1,BDBM553977,Replicase polyprotein 1a
9,471055933,164885439,CC(C)(C)C[C@@H](C(=O)N1C[C@@]2(C[C@H]1C#N)C3=CC=CC=C3NC2=O)N(C)C(=O)[C@H](CC4=CC=C(C=C4)F)N5C=C(N=N5)C6CC6,Active,,,,IC50,<,0.1,<,100,P0DTC1,BDBM553978,Replicase polyprotein 1a
