PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Relation,Standard Value,Activity Comment
RESULT_TYPE,,,,,,,,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Additional comments
1,103233114,3194,C1=CC=C(C=C1)N2C(=O)C3=CC=CC=C3[Se]2,Unspecified,,,,LogD,=,0.92,
2,381842629,121304026,CCC(CC)COC(=O)[C@H](C)N[P@@](=O)(OC[C@@H]1[C@H]([C@H]([C@](O1)(C#N)C2=CC=C3N2N=CN=C3N)O)O)OC4=CC=CC=C4,Inconclusive,,,Potential missing data,LogD,,,Not Determined
3,475981114,166626841,C1=CC=C2C(=C1)C(=O)N([Se]2)C3=CC=CC(=C3)C#N,Unspecified,,,,LogD,=,1.45,
4,475984866,3067590,C1=CC=C2C(=C1)C(=O)N([Se]2)C3=CC=C(C=C3)C(F)(F)F,Unspecified,,,,LogD,=,3.19,
5,475988839,141556019,C1=CC=C2C(=C1)C(=O)N([Se]2)C3=CC(=CC(=C3)Cl)Cl,Unspecified,,,,LogD,=,1.67,
6,475989894,139213625,CCC1=CC=C(C=C1)N2C(=O)C3=CC=CC=C3[Se]2,Unspecified,,,,LogD,=,2.87,
7,475990415,88621277,C1=CC=C2C(=C1)C(=O)N([Se]2)C3=CC=CC(=C3)C(F)(F)F,Unspecified,,,,LogD,=,3.18,
8,475992757,16720400,C1=CC=C2C(=C1)C(=O)N([Se]2)C3=CC=C(C=C3)Br,Unspecified,,,,LogD,=,1.46,
9,475994028,13650134,C1=CC=C2C(=C1)C(=O)N([Se]2)C3=CC(=CC=C3)Cl,Unspecified,,,,LogD,=,1.53,
10,475997823,166635160,COC1=CC(=C(C=C1)CN2C(=O)C3=CC=CC=C3[Se]2)OC,Unspecified,,,,LogD,=,0.85,
