PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Activity Comment
RESULT_TYPE,,,,,,,,STRING,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Additional comments
1,482056766,68636706,B1(C2=C(CO1)C=CC(=C2)NS(=O)(=O)C3=CC=C(C=C3)Cl)O,Unspecified,,,Potential missing data,permeability,Permeable
2,482058954,168277689,B(C1=CC(=CC=C1)NC(=O)C2=CC(=CC=C2)OCC3=CC=CC=C3)(O)O,Unspecified,,,Potential missing data,permeability,Permeable
3,482064522,168281779,B1(C2=C(CO1)C=CC(=C2)NC(=O)C3=CC(=CC=C3)OCC4=C(C=CC=C4Cl)Cl)O,Unspecified,,,Potential missing data,permeability,Permeable
4,482068316,168284518,B1(C2=C(CO1)C=CC(=C2)NC(=O)C3=CC=C(C=C3)OCC4=CC=C(C=C4)Cl)O,Unspecified,,,Potential missing data,permeability,Permeable
5,482070154,168285850,B1(C2=C(CO1)C=CC(=C2)NC(=O)C3=CC(=CC=C3)OCC4=CC=C(C=C4)C#N)O,Unspecified,,,Potential missing data,permeability,Permeable
6,482073223,168288080,B1(C2=C(CO1)C=CC(=C2)NC(=O)C3=CC=C(C=C3)OC4=CC=CC=C4)O,Unspecified,,,Potential missing data,permeability,Permeable
7,482073621,168288365,B1(C2=C(CO1)C=CC(=C2)NC(=O)C3=CC=CC=C3OCC4=CC=CC=C4)O,Unspecified,,,Potential missing data,permeability,Permeable
8,482077843,168291442,B1(C2=C(CO1)C=CC(=C2)NC(=O)C3=CC(=CC=C3)OCC4=CC=CC=C4)O,Unspecified,,,Potential missing data,permeability,Permeable
9,482087314,168297366,B1(C2=C(CO1)C=CC(=C2)N=C(N)N)O,Unspecified,,,Potential missing data,permeability,Impermeable
