PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Inhibition,Standard Deviation
RESULT_TYPE,,,,,,,,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,Normalized percent inhibition of the primary screen at a compound concentration of 6 micromolar.,Standard deviation of the counterscreen assay derived from the normalized percent inhibition of the triplicate data for each compound.
RESULT_UNIT,,,,,,,,PERCENT,NONE
RESULT_ATTR_CONC_MICROMOL,,,,,,,,6,
1,17401333,1008368,COC1=CC=C(C=C1)C(=O)N2C3=CC4=C(C=C3N=C2SC)OCCO4,Active,100,,,92.3,0.089819
2,24782482,3162837,C1C(N(N=C1C2=CC=CS2)C(=O)CCl)C3=CC=CO3,Active,90,,,83.41,1.2136
3,49675989,3811656,COC1=C(C=C(C=C1)C2CC(=NN2C(=O)CCl)C3=CC=CS3)OC,Active,88,,,81.44,0.870052
4,17504708,859620,CC1=CC(=C(S1)NC(=O)CCl)C(=O)C2=CC=CC=C2,Active,88,,,81.27,1.00325
5,49680425,3555173,COC1=CC=C(C=C1)C2C(C(=NN2C(=O)CCl)C3=CNC4=CC=CC=C43)O,Active,84,,,77.92,2.0177
6,858624,659929,C1CN(CC2=C1NC3=C2C=C(C=C3)Br)C(=O)CN4CCSCC4,Active,81,,,75.21,0.497966
7,49730186,3196508,CCC(C)C1=CC=C(C=C1)N(C(C2=CN=CC=C2)C(=O)NC3CCCC3)C(=O)C4=CC=CO4,Active,81,,,74.94,0.233799
8,49675988,3859741,COC1=C(C=CC(=C1)C2CC(=NN2C(=O)CCl)C3=CC=CS3)OC(F)F,Active,80,,,74,0.399939
9,49719044,807412,CCC1=CC(=O)OC2=C1C=CC(=C2)OC(=O)C3=CC=CO3,Active,77,,,71.45,0.586487
10,49647098,4437603,CC1=CC=C(C=C1)C2CC(=NN2C(=O)CCl)C3=CC=CS3,Active,75,,,70.13,2.56248
11,24807634,728528,CC1=CC(=O)OC2=C1C=CC(=C2)OC(=O)C3=CC=CO3,Active,75,,,70,2.17805
12,22407115,3929515,C1=CC=C(C=C1)C2C=CC(C3C2C(=O)N(C3=O)C4=CN=CC=C4)C5=CC=CC=C5,Active,75,,,69.93,0.414839
13,17409047,3197965,CC1=CC(=C(C(=C1)C)N(C(C2=CSC=C2)C(=O)NC(C)(C)C)C(=O)CN3C4=CC=CC=C4N=N3)C,Active,74,,,69.18,0.236733
14,26661282,2558401,COC1=CC=CC=C1OCCNC(=O)C2=CC(=O)NC3=CC=CC=C32,Active,70,,,65.22,0.514636
15,49643534,3192987,CCC1=NC(=C2C3=C(CC(CC3)C)SC2=N1)N4CCN(CC4)C(=O)CCl,Active,68,,,63.18,2.49308
16,24825651,2412504,C1=CC(=C(C=C1Cl)Cl)CN2C=CSC2=NC(=O)CCl,Active,68,,,63.18,1.33968
17,26725683,16745830,CN1CCN2C(C1)C3(CC4=C2C=CC(=C4)N)C(=O)NC(=O)NC3=O,Active,68,,,62.91,0.786135
18,49674413,4961646,CC1=CC=C(O1)C2=NN(C(C2)C3=CC=CO3)C(=O)CCl,Active,65,,,60.81,1.77392
