PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,482046639,164946833,C1=CC=C2C(=C1)C=C(N2)C(=O)SC3=NC=CC=N3,Active,,,,0.0141,Ki,=,14.1,nM,
2,482053553,168273738,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)SC3=NC=CC=N3,Active,,,,0.021,Ki,=,21,nM,
3,482055078,168274858,CC1=NN=C(S1)SC(=O)C2=CC3=C(C=C2)NC=C3,Active,,,,0.393,Ki,=,393,nM,
4,482055296,168275028,C1=CC=C(C=C1)C2=CC=C(O2)C(=O)SC3=NC=CC=N3,Unspecified,,,Potential missing data,,Ki,,,,ND
5,482056657,168276044,CC1=NN=C(S1)SC(=O)C2=CC=C(O2)Br,Unspecified,,,Potential missing data,,Ki,,,,ND
6,482057121,168276391,C1=CC=C2C(=C1)C=C(S2)C(=O)SC3=NC4=CC=CC=C4S3,Active,,,,0.161,Ki,=,161,nM,
7,482058065,168277056,C1=CC=C(C=C1)C2=CC=C(S2)C(=O)SC3=NC4=CC=CC=C4S3,Active,,,,0.042,Ki,=,42,nM,
8,482060784,168279031,CC1=NN=C(S1)SC(=O)C2=CC3=C(C=C2)C=CN3,Active,,,,0.186,Ki,=,186,nM,
9,482063586,168281068,C1=CC=C(C=C1)C2=CC=C(O2)C(=O)SC3=NC4=CC=CC=C4S3,Active,,,,0.612,Ki,=,612,nM,
10,482063926,168281334,CC1=NN=C(S1)SC(=O)C2=CC3=CC=CC=C3N2,Unspecified,,,Potential missing data,,Ki,,,,ND
11,482065589,168282541,C1=CC=C2C(=C1)C=CC(=N2)C(=O)SC3=NC=CC=N3,Unspecified,,,Potential missing data,,Ki,,,,ND
12,482065971,168282841,CC1=NN=C(S1)SC(=O)C2=C3C=CNC3=CC=C2,Unspecified,,,Potential missing data,,Ki,,,,ND
13,482066097,168282927,CC1=NN=C(S1)SC(=O)C2=CC3=CC=CC=C3O2,Active,,,,0.0357,Ki,=,35.7,nM,
14,482068564,168284698,C1=CC=C2C(=C1)N=C(S2)SC(=O)C3=CC=C(O3)C4=CC=C(C=C4)Br,Active,,,,0.013,Ki,=,13,nM,
15,482068848,168284914,CC1=CC(=NC(=N1)SC(=O)C2=CC3=CC=CC=C3N2)C,Active,,,,0.773,Ki,=,773,nM,
16,482069928,168285688,CC1=NN=C(S1)SC(=O)C2=CC3=CC=CC=C3C=C2,Active,,,,0.0211,Ki,=,21.1,nM,
17,482074657,168289135,CC1=NN=C(S1)SC(=O)C2=CC=C(N2)C3=CC=CC=C3,Active,,,,0.605,Ki,=,605,nM,
18,482074921,168289320,C1=CC=C2C(=C1)C=CC(=N2)C(=O)SC3=NC4=CC=CC=C4S3,Active,,,,0.051,Ki,=,51,nM,
19,482075123,168289470,C1=CC=C2C(=C1)C=C(N2)C(=O)SC3=NC4=CC=CC=C4S3,Active,,,,0.0726,Ki,=,72.6,nM,
20,482078117,168291645,CC1=NN=C(N1C(=O)C2=CC3=CC=CC=C3N2)SC(=O)C4=CC5=CC=CC=C5N4,Active,,,,0.0773,Ki,=,77.3,nM,
21,482078139,168291665,CC1=NN=C(S1)SC(=O)C2=CC=CC3=C2NC=C3,Active,,,,0.25,Ki,=,250,nM,
22,482078691,168292064,CC1=NN=C(S1)SC(=O)C2=CC3=CC=CC=C3N2C,Active,,,,0.295,Ki,=,295,nM,
23,482080819,168293590,CSC1=NN=C(S1)SC(=O)C2=CC3=CC=CC=C3N2,Active,,,,0.043,Ki,=,43,nM,
24,482081119,168293814,COC1=NN=C(S1)SC(=O)C2=CC3=CC=CC=C3N2,Active,,,,0.0844,Ki,=,84.4,nM,
25,482081261,168293909,C1=CC=C2C(=C1)C=C(N2)C(=O)SC3=NN=CS3,Active,,,,0.0744,Ki,=,74.4,nM,
26,482083474,168295193,CC1=NN=C(S1)SC(=O)C2=CC=C(O2)C#CC3=CC=CC=C3,Active,,,,0.0344,Ki,=,34.4,nM,
27,482083489,168295203,CC1=NN=C(O1)SC(=O)C2=CC3=CC=CC=C3N2,Active,,,,0.119,Ki,=,119,nM,
28,482084330,168295680,CC1=NC(=NC=C1)SC(=O)C2=CC3=CC=CC=C3N2,Active,,,,0.0332,Ki,=,33.2,nM,
29,482087886,168297735,C1=CN=C(N=C1)SC(=O)C2=CC=C(S2)C3=CC=C(C=C3)Br,Unspecified,,,Potential missing data,,Ki,,,,ND
