PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Relation,PubChem Standard Value,Ki Qualifier,Ki,EC50,Target Accession(s),Ligand,Target
RESULT_TYPE,,,,,,,,STRING,STRING,FLOAT,FLOAT,FLOAT,FLOAT,TARGET_NCBI_PROTEIN_ACCESSION,STRING,STRING
RESULT_DESCR,,,,,,,,"Standardized activity type (i.e. Ki, IC50, Kd, or EC50)","Qualifier (e.g. >, <, =) for PubChem Standard Value","PubChem standardized value transformed from the value of Ki, IC50, Kd, or EC50. The unit is always micromolar.","Qualifier (e.g. >, <, =) for Ki",,,Protein accession(s) of target,BindingDB Ligand,BindingDB Target
RESULT_UNIT,,,,,,,,,,MICROMOLAR,,NANOMOLAR,NANOMOLAR,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,,TRUE,,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,TRUE,,,,,,,
1,475727660,165393830,CC(C)[C@@H](C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)N[C@@H](C[C@@H]3CCNC3=O)C(=O)COC4=C(C=C(C=C4)F)F)C2(C)C)NC(=O)C(F)(F)F,Active,,,,Ki,,0.00202,,2.02,,P0DTD1,BDBM581839,Replicase polyprotein 1ab
2,475727660,165393830,CC(C)[C@@H](C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)N[C@@H](C[C@@H]3CCNC3=O)C(=O)COC4=C(C=C(C=C4)F)F)C2(C)C)NC(=O)C(F)(F)F,Active,,,,EC50,,0.027,,,27,P0DTD1,BDBM581839,Replicase polyprotein 1ab
3,475727660,165393830,CC(C)[C@@H](C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)N[C@@H](C[C@@H]3CCNC3=O)C(=O)COC4=C(C=C(C=C4)F)F)C2(C)C)NC(=O)C(F)(F)F,Active,,,,Ki,,0.00276,,2.76,,P0DTD1,BDBM581839,Replicase polyprotein 1ab
4,475727660,165393830,CC(C)[C@@H](C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)N[C@@H](C[C@@H]3CCNC3=O)C(=O)COC4=C(C=C(C=C4)F)F)C2(C)C)NC(=O)C(F)(F)F,Active,,,,EC50,,0.094,,,94,P0DTD1,BDBM581839,Replicase polyprotein 1ab
5,475727661,165393932,CC1([C@@H]2[C@H]1[C@H](N(C2)C(=O)[C@H](C(C)(C)C)NS(=O)(=O)C(F)(F)F)C(=O)N[C@@H](C[C@@H]3CCNC3=O)C(=O)COC4=C(C=C(C=C4)F)F)C,Active,,,,Ki,,0.0035,,3.5,,P0DTD1,BDBM581840,Replicase polyprotein 1ab
6,475727661,165393932,CC1([C@@H]2[C@H]1[C@H](N(C2)C(=O)[C@H](C(C)(C)C)NS(=O)(=O)C(F)(F)F)C(=O)N[C@@H](C[C@@H]3CCNC3=O)C(=O)COC4=C(C=C(C=C4)F)F)C,Active,,,,EC50,,0.207,,,207,P0DTD1,BDBM581840,Replicase polyprotein 1ab
7,475727662,165393936,CC(C)[C@@H](C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)N[C@@H](C[C@@H]3CCNC3=O)C(=O)COC4=CC=CC(=C4)C(F)(F)F)C2(C)C)NS(=O)(=O)C(F)(F)F,Active,,,,Ki,,0.011,,11,,P0DTD1,BDBM581841,Replicase polyprotein 1ab
8,475727662,165393936,CC(C)[C@@H](C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)N[C@@H](C[C@@H]3CCNC3=O)C(=O)COC4=CC=CC(=C4)C(F)(F)F)C2(C)C)NS(=O)(=O)C(F)(F)F,Active,,,,EC50,,0.205,,,205,P0DTD1,BDBM581841,Replicase polyprotein 1ab
9,475727663,165393862,CC1([C@@H]2[C@H]1[C@H](N(C2)C(=O)[C@H](C(C)(C)C)NS(=O)(=O)C)C(=O)N[C@@H](C[C@@H]3CCNC3=O)C(=O)COC4=CC(=NN4C)C(F)(F)F)C,Active,,,,Ki,,0.00288,,2.88,,P0DTD1,BDBM581842,Replicase polyprotein 1ab
