PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Qualifier,IC50,LogIC50,Hill Slope,Hill S0,Hill Sinf,Hill dS,Chi Square,Rsquare,Number of DataPoints,Inhibition at 3.0 nM,Inhibition at 9.1 nM,Inhibition at 27.3 nM,Inhibition at 81.8 nM,Inhibition at 245.4 nM,Inhibition at 736.3 nM,Inhibition at 2.2 uM,Inhibition at 6.6 uM,Inhibition at 19.9 uM,Inhibition at 59.6 uM
RESULT_TYPE,,,,,,,,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,INTEGER,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,Activity Qualifier identifies if the resultant data IC50 came from a fitted curve or was determined manually to be less than or greater than its listed IC50 concentration.,The concentration at which 50 percent of the activity in the inhibitor assay is observed; (IC50) shown in micromolar.,Log10 of the qualified IC50 (IC50) from the inhibitor assay in M concentration.,"The variable HillSlope describes the steepness of the curve. This variable is called the Hill slope, the slope factor, or the Hill coefficient. If it is positive, the curve increases as X increases. If it is negative, the curve decreases as X increases. A standard sigmoid dose-response curve (previous equation) has a Hill Slope of 1.0. When HillSlope is less than 1.0, the curve is more shallow. When HillSlope is greater than 1.0, the curve is steeper. The Hill slope has no units.",Y-min of the curve.,Y-max of the curve.,The range of Y.,"A measure for the 'goodness' of a fit. The chi-square test (Snedecor and Cochran, 1989) is used to test if a sample of data came from a population with a specific distribution.",This statistic measures how successful the fit explains the variation of the data; R-square is the square of the correlation between the response values and the predicted response values.,Overall number of data points of normalized percent inhibition that was used for calculations (includes all concentration points); in some cases a data point can be excluded as outlier.,Value of %inhibition at 3.0 nanomolar inhibitor concentration; average of triplicate measurement.,Value of %inhibition at 9.0 nanomolar inhibitor concentration; average of triplicate measurement.,Value of %inhibition at 27.3 nanomolar inhibitor concentration; average of triplicate measurement.,Value of %inhibition at 81.8 nanomolar inhibitor concentration; average of triplicate measurement.,Value of %inhibition at 245 nanomolar inhibitor concentration; average of triplicate measurement.,Value of %inhibition at 736 nanomolar inhibitor concentration; average of triplicate measurement.,Value of %inhibition at 2.2 micromolar inhibitor concentration; average of triplicate measurement.,Value of %inhibition at 6.6 micromolar inhibitor concentration; average of triplicate measurement.,Value of %inhibition at 19.9 micromolar inhibitor concentration; average of triplicate measurement.,Value of %inhibition at 59.6 micromolar inhibitor concentration; average of triplicate measurement.
RESULT_UNIT,,,,,,,,,MICROMOLAR,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,,,,,,,,,0.003,0.009,0.0273,0.0818,0.245,0.736,2.2,6.6,19.9,59.6
1,47200678,676085,C1=CC=C(C(=C1)/C=C/C(=O)NC2=CN=CC=C2)Cl,Active,100,,,=,0.03881,-1.41106,2.66155,12.2036,81.4689,69.2653,2.90602,0.998907,30,11.3,15,32.3,83.7,86.2,92.5,94.8,95.3,95.7,95.8
2,17412676,2294766,C1=CC=C(C(=C1)C(=O)NC2=CC(=C(C=C2)OCC(C(F)F)(F)F)C(F)(F)F)O,Active,99,,,=,0.59631,-0.224528,1.41328,3.86019,91.0212,87.161,5.47664,0.999401,30,3.8,3.4,4.9,11.4,22.4,58.3,81.6,92,94.6,94.9
3,3717392,2999977,CC1=CC=C(C=C1)C(=O)OC2=CC3=C(C=C2)N(C=N3)C,Active,99,,,=,0.57675,-0.239012,1.27036,4.60206,91.4766,86.8746,2.38479,0.99967,30,4.3,4.4,7.5,12.5,25.7,58.6,80.9,91.6,95.2,96.3
4,845167,647501,CCN1C2=NC(=O)N(C(=O)C2=NC(=N1)C3=CC=CC=C3)C,Active,99,,,=,0.165,-0.782516,1.60522,10.4541,86.7162,76.2622,5.75267,0.999395,30,8.1,11.4,17,28.8,62.5,91.1,95.2,96.3,96.9,96.9
5,14723875,460749,CN1C2=NC(=O)N(C(=O)C2=NC(=N1)C3=CC=C(C=C3)Cl)C,Active,99,,,=,0.11102,-0.954599,2.21261,9.90069,88.79,78.8893,3.04517,0.999727,30,8.3,9.8,15.7,35.2,84.1,96.3,97.9,98.9,99.4,98.6
6,47196538,887990,C1=CC(=C(C(=C1)Cl)/C=C/C(=O)NC2=CN=CC=C2)F,Active,99,,,=,0.06282,-1.2019,1.62086,-1.57206,97.9307,99.5027,-14.9169,0.999758,30,0.3,1.9,20,61,86.5,93.7,96.1,96.6,96.8,97.2
7,24836082,1177253,C1=CC=C(C=C1)C2=CSC(=C2C(=O)O)NC(=O)/C=C/C3=CC=CS3,Active,99,,,=,0.04548,-1.34218,2.28711,11.1636,85.7519,74.5883,2.75098,0.999751,30,10.6,13.9,28.3,76.8,93.6,96.4,97.1,97.1,97.2,97.5
8,49667911,4621376,CCCCOC1=CC=C(C=C1)C(=O)OC2=CN=CC=C2,Active,97,,,=,1.607,0.206016,1.30465,5.00724,83.6201,78.6129,6.52833,0.999163,30,4.3,4.7,4.6,8.1,14.7,28.1,58.7,79.7,85.1,88.1
9,24805687,761840,C1=CC=C2C(=C1)N=NN2CC(=O)C3=CC=C(C=C3)Br,Active,96,,,=,2.296,0.360972,1.19708,6.42083,87.9146,81.4938,2.46492,0.999602,30,6.1,6,6.4,9.4,12,24.1,48.6,75.3,87.9,92.4
10,49717936,1304219,CC1=C(C=C(C=C1)C(=O)O)NC(=S)NC(=O)C2=CC=C(C=C2)COC3=CC=CC=C3,Active,95,,,=,2.479,0.394277,1.24259,6.20667,91.4883,85.2816,1.92575,0.999761,30,7.1,5.7,5.9,7,11.9,20.9,47.1,75.2,91.1,95.7
11,17401333,1008368,COC1=CC=C(C=C1)C(=O)N2C3=CC4=C(C=C3N=C2SC)OCCO4,Active,95,,,=,2.464,0.391641,1.14732,6.78769,89.321,82.5333,4.44421,0.99935,30,5.7,7.3,7.6,8.3,13,24,46.4,74.1,88,93.6
12,7966556,948801,CN1C=NC2=C1C=CC(=C2)NC(=O)C3=CC=C(C=C3)Cl,Active,94,,,=,3.278,0.515609,1.24182,3.78932,90.3216,86.5322,9.87744,0.999066,30,5.7,2.3,3,5.2,8.7,14.5,40.5,67.6,85.9,92
13,24801258,677475,C1=CC=C2C(=C1)N=NN2CC(=O)C3=CC=C(C=C3)Cl,Active,93,,,=,3.968,0.598572,1.21096,-1.5622,96.2266,97.7888,-8.83943,0.999608,30,-2.3,-1.1,-1.5,0.4,1.3,11.8,32.6,64.6,83.8,91.7
14,26670673,601670,C1=CC2=C(C=C1C(=O)O)SC=N2,Active,87,,,=,7.394,0.868879,1.98304,6.49449,90.6402,84.1457,2.61335,0.999629,30,7.2,7,5.3,6.4,6.8,6.7,14.3,44.7,85.6,95.3
15,47202119,135472652,C1=CC=C2C(=C1)C=CC(=C2/C=N\NC(=O)C3=CC(=CN=C3)Br)O,Active,86,,,=,8.205,0.914079,1.28713,6.50351,80.4789,73.9753,3.60474,0.999262,30,7.8,6.4,6.3,6.6,6.3,10.9,21.4,43.9,70.2,81.8
