PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,PubChem Standard Value,EC50,Target Accession(s),Ligand,Target
RESULT_TYPE,,,,,,,,STRING,FLOAT,FLOAT,TARGET_NCBI_PROTEIN_ACCESSION,STRING,STRING
RESULT_DESCR,,,,,,,,"Standardized activity type (i.e. Ki, IC50, Kd, or EC50)","PubChem standardized value transformed from the value of Ki, IC50, Kd, or EC50. The unit is always micromolar.",,Protein accession(s) of target,BindingDB Ligand,BindingDB Target
RESULT_UNIT,,,,,,,,,MICROMOLAR,NANOMOLAR,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,
1,497643997,171918817,C1CN(C[C@@H]1NC(=O)C2=CC(=O)N=C3C2=CC=CC3F)C4=C(C=C(C=C4C(F)(F)F)Br)C(=O)N5CCOCC5,Active,,,,EC50,0.00049,0.49,P0DTD1,BDBM674654,Replicase polyprotein 1ab
2,497643997,171918817,C1CN(C[C@@H]1NC(=O)C2=CC(=O)N=C3C2=CC=CC3F)C4=C(C=C(C=C4C(F)(F)F)Br)C(=O)N5CCOCC5,Active,,,,EC50,0.00197,1.97,P0C6X7,BDBM674654,Replicase polyprotein 1ab
3,497643997,171918817,C1CN(C[C@@H]1NC(=O)C2=CC(=O)N=C3C2=CC=CC3F)C4=C(C=C(C=C4C(F)(F)F)Br)C(=O)N5CCOCC5,Active,,,,EC50,0.00102,1.02,,BDBM674654,Orf1a protein
4,497643997,171918817,C1CN(C[C@@H]1NC(=O)C2=CC(=O)N=C3C2=CC=CC3F)C4=C(C=C(C=C4C(F)(F)F)Br)C(=O)N5CCOCC5,Active,,,,EC50,0.00076,0.76,P0C6X6,BDBM674654,Replicase polyprotein 1ab
5,497643997,171918817,C1CN(C[C@@H]1NC(=O)C2=CC(=O)N=C3C2=CC=CC3F)C4=C(C=C(C=C4C(F)(F)F)Br)C(=O)N5CCOCC5,Active,,,,EC50,0.00241,2.41,P0C6X1,BDBM674654,Replicase polyprotein 1ab
6,497643998,171918818,C1CN(C[C@@H]1NC(=O)C2=CC(=O)N=C3C2=CC=CC3F)C4=C(C=C(C=C4C(F)(F)F)C#N)C(=O)N5CCOCC5,Active,,,,EC50,0.00048,0.48,P0DTD1,BDBM674655,Replicase polyprotein 1ab
7,497643998,171918818,C1CN(C[C@@H]1NC(=O)C2=CC(=O)N=C3C2=CC=CC3F)C4=C(C=C(C=C4C(F)(F)F)C#N)C(=O)N5CCOCC5,Active,,,,EC50,0.00224,2.24,P0C6X7,BDBM674655,Replicase polyprotein 1ab
8,497643998,171918818,C1CN(C[C@@H]1NC(=O)C2=CC(=O)N=C3C2=CC=CC3F)C4=C(C=C(C=C4C(F)(F)F)C#N)C(=O)N5CCOCC5,Active,,,,EC50,0.00135,1.35,,BDBM674655,Orf1a protein
9,497643998,171918818,C1CN(C[C@@H]1NC(=O)C2=CC(=O)N=C3C2=CC=CC3F)C4=C(C=C(C=C4C(F)(F)F)C#N)C(=O)N5CCOCC5,Active,,,,EC50,0.00309,3.09,P0C6X6,BDBM674655,Replicase polyprotein 1ab
10,497643998,171918818,C1CN(C[C@@H]1NC(=O)C2=CC(=O)N=C3C2=CC=CC3F)C4=C(C=C(C=C4C(F)(F)F)C#N)C(=O)N5CCOCC5,Active,,,,EC50,0.00201,2.01,P0C6X1,BDBM674655,Replicase polyprotein 1ab
11,497643999,171918819,CC1CC(C(C(=O)N1)F)C(=O)N[C@@H]2CCN(C2)C3=C(C=C(C=C3C(F)(F)F)Br)C(=O)N4CCOCC4,Active,,,,EC50,0.00063,0.63,P0DTD1,BDBM674656,Replicase polyprotein 1ab
12,497643999,171918819,CC1CC(C(C(=O)N1)F)C(=O)N[C@@H]2CCN(C2)C3=C(C=C(C=C3C(F)(F)F)Br)C(=O)N4CCOCC4,Active,,,,EC50,0.00097,0.97,P0C6X7,BDBM674656,Replicase polyprotein 1ab
13,497643999,171918819,CC1CC(C(C(=O)N1)F)C(=O)N[C@@H]2CCN(C2)C3=C(C=C(C=C3C(F)(F)F)Br)C(=O)N4CCOCC4,Active,,,,EC50,0.00123,1.23,,BDBM674656,Orf1a protein
14,497643999,171918819,CC1CC(C(C(=O)N1)F)C(=O)N[C@@H]2CCN(C2)C3=C(C=C(C=C3C(F)(F)F)Br)C(=O)N4CCOCC4,Active,,,,EC50,0.00388,3.88,P0C6X6,BDBM674656,Replicase polyprotein 1ab
15,497643999,171918819,CC1CC(C(C(=O)N1)F)C(=O)N[C@@H]2CCN(C2)C3=C(C=C(C=C3C(F)(F)F)Br)C(=O)N4CCOCC4,Active,,,,EC50,0.0129,12.9,P0C6X1,BDBM674656,Replicase polyprotein 1ab
16,497644000,171918820,C1CN(C[C@H]1NC(=O)C2=CC(=O)N=C3C2=CC=CC3F)C4=C(C=C(C=C4C(F)(F)F)C#N)C(=O)N5CCOCC5,Active,,,,EC50,0.00872,8.72,P0DTD1,BDBM674657,Replicase polyprotein 1ab
17,497644000,171918820,C1CN(C[C@H]1NC(=O)C2=CC(=O)N=C3C2=CC=CC3F)C4=C(C=C(C=C4C(F)(F)F)C#N)C(=O)N5CCOCC5,Active,,,,EC50,0.00993,9.93,P0C6X7,BDBM674657,Replicase polyprotein 1ab
18,497644000,171918820,C1CN(C[C@H]1NC(=O)C2=CC(=O)N=C3C2=CC=CC3F)C4=C(C=C(C=C4C(F)(F)F)C#N)C(=O)N5CCOCC5,Active,,,,EC50,0.0123,12.3,,BDBM674657,Orf1a protein
19,497644000,171918820,C1CN(C[C@H]1NC(=O)C2=CC(=O)N=C3C2=CC=CC3F)C4=C(C=C(C=C4C(F)(F)F)C#N)C(=O)N5CCOCC5,Active,,,,EC50,0.241,241,P0C6X6,BDBM674657,Replicase polyprotein 1ab
20,497644000,171918820,C1CN(C[C@H]1NC(=O)C2=CC(=O)N=C3C2=CC=CC3F)C4=C(C=C(C=C4C(F)(F)F)C#N)C(=O)N5CCOCC5,Active,,,,EC50,0.0398,39.8,P0C6X1,BDBM674657,Replicase polyprotein 1ab
21,497644001,171918821,C1CN(C[C@@H]1NC(=O)C2=C3C=CC=C(C3=NC(=O)C2F)F)C4=C(C=C(C=C4C(F)(F)F)C#N)C(=O)N5CCOCC5,Active,,,,EC50,0.00048,0.48,P0DTD1,BDBM674658,Replicase polyprotein 1ab
22,497644001,171918821,C1CN(C[C@@H]1NC(=O)C2=C3C=CC=C(C3=NC(=O)C2F)F)C4=C(C=C(C=C4C(F)(F)F)C#N)C(=O)N5CCOCC5,Active,,,,EC50,0.0015,1.5,P0C6X7,BDBM674658,Replicase polyprotein 1ab
23,497644001,171918821,C1CN(C[C@@H]1NC(=O)C2=C3C=CC=C(C3=NC(=O)C2F)F)C4=C(C=C(C=C4C(F)(F)F)C#N)C(=O)N5CCOCC5,Active,,,,EC50,0.00126,1.26,,BDBM674658,Orf1a protein
24,497644001,171918821,C1CN(C[C@@H]1NC(=O)C2=C3C=CC=C(C3=NC(=O)C2F)F)C4=C(C=C(C=C4C(F)(F)F)C#N)C(=O)N5CCOCC5,Active,,,,EC50,0.00125,1.25,P0C6X6,BDBM674658,Replicase polyprotein 1ab
25,497644001,171918821,C1CN(C[C@@H]1NC(=O)C2=C3C=CC=C(C3=NC(=O)C2F)F)C4=C(C=C(C=C4C(F)(F)F)C#N)C(=O)N5CCOCC5,Active,,,,EC50,0.00144,1.44,P0C6X1,BDBM674658,Replicase polyprotein 1ab
26,497644002,171918822,C1CCC2C(C1)C(C(C(=O)N2)F)C(=O)N[C@@H]3CCN(C3)C4=C(C=C(C=C4C(F)(F)F)C#N)C(=O)N5CCOCC5,Active,,,,EC50,0.00078,0.78,P0DTD1,BDBM674659,Replicase polyprotein 1ab
27,497644002,171918822,C1CCC2C(C1)C(C(C(=O)N2)F)C(=O)N[C@@H]3CCN(C3)C4=C(C=C(C=C4C(F)(F)F)C#N)C(=O)N5CCOCC5,Active,,,,EC50,0.00251,2.51,,BDBM674659,Orf1a protein
28,497644002,171918822,C1CCC2C(C1)C(C(C(=O)N2)F)C(=O)N[C@@H]3CCN(C3)C4=C(C=C(C=C4C(F)(F)F)C#N)C(=O)N5CCOCC5,Active,,,,EC50,0.00144,1.44,P0C6X6,BDBM674659,Replicase polyprotein 1ab
29,497644002,171918822,C1CCC2C(C1)C(C(C(=O)N2)F)C(=O)N[C@@H]3CCN(C3)C4=C(C=C(C=C4C(F)(F)F)C#N)C(=O)N5CCOCC5,Active,,,,EC50,0.00232,2.32,P0C6X1,BDBM674659,Replicase polyprotein 1ab
30,497644003,171918823,C1CN(C[C@@H]1NC(=O)C2=CC(=O)N=C3C2C=C(C=C3F)F)C4=C(C=C(C=C4C(F)(F)F)C#N)C(=O)N5CCOCC5,Active,,,,EC50,0.00043,0.43,P0DTD1,BDBM674660,Replicase polyprotein 1ab
31,497644003,171918823,C1CN(C[C@@H]1NC(=O)C2=CC(=O)N=C3C2C=C(C=C3F)F)C4=C(C=C(C=C4C(F)(F)F)C#N)C(=O)N5CCOCC5,Active,,,,EC50,0.00099,0.99,,BDBM674660,Orf1a protein
32,497644003,171918823,C1CN(C[C@@H]1NC(=O)C2=CC(=O)N=C3C2C=C(C=C3F)F)C4=C(C=C(C=C4C(F)(F)F)C#N)C(=O)N5CCOCC5,Active,,,,EC50,0.00495,4.95,P0C6X6,BDBM674660,Replicase polyprotein 1ab
33,497644003,171918823,C1CN(C[C@@H]1NC(=O)C2=CC(=O)N=C3C2C=C(C=C3F)F)C4=C(C=C(C=C4C(F)(F)F)C#N)C(=O)N5CCOCC5,Active,,,,EC50,0.00276,2.76,P0C6X1,BDBM674660,Replicase polyprotein 1ab
34,497644004,171918824,C1CN(C[C@@H]1NC(=O)C2CC(=O)NC3C2CCC(C3F)F)C4=C(C=C(C=C4C(F)(F)F)C#N)C(=O)N5CCOCC5,Active,,,,EC50,0.00043,0.43,P0DTD1,BDBM674661,Replicase polyprotein 1ab
35,497644004,171918824,C1CN(C[C@@H]1NC(=O)C2CC(=O)NC3C2CCC(C3F)F)C4=C(C=C(C=C4C(F)(F)F)C#N)C(=O)N5CCOCC5,Active,,,,EC50,0.00152,1.52,P0C6X7,BDBM674661,Replicase polyprotein 1ab
36,497644004,171918824,C1CN(C[C@@H]1NC(=O)C2CC(=O)NC3C2CCC(C3F)F)C4=C(C=C(C=C4C(F)(F)F)C#N)C(=O)N5CCOCC5,Active,,,,EC50,0.00148,1.48,,BDBM674661,Orf1a protein
37,497644004,171918824,C1CN(C[C@@H]1NC(=O)C2CC(=O)NC3C2CCC(C3F)F)C4=C(C=C(C=C4C(F)(F)F)C#N)C(=O)N5CCOCC5,Active,,,,EC50,0.00471,4.71,P0C6X6,BDBM674661,Replicase polyprotein 1ab
38,497644004,171918824,C1CN(C[C@@H]1NC(=O)C2CC(=O)NC3C2CCC(C3F)F)C4=C(C=C(C=C4C(F)(F)F)C#N)C(=O)N5CCOCC5,Active,,,,EC50,0.00334,3.34,P0C6X1,BDBM674661,Replicase polyprotein 1ab
39,497644005,171918825,COC1=CC=CC2=NC(=O)C=C(C21)C(=O)N[C@@H]3CCN(C3)C4=C(C=C(C=C4C(F)(F)F)C#N)C(=O)N5CCOCC5,Active,,,,EC50,0.00047,0.47,P0DTD1,BDBM674662,Replicase polyprotein 1ab
40,497644005,171918825,COC1=CC=CC2=NC(=O)C=C(C21)C(=O)N[C@@H]3CCN(C3)C4=C(C=C(C=C4C(F)(F)F)C#N)C(=O)N5CCOCC5,Active,,,,EC50,0.00079,0.79,P0C6X7,BDBM674662,Replicase polyprotein 1ab
41,497644005,171918825,COC1=CC=CC2=NC(=O)C=C(C21)C(=O)N[C@@H]3CCN(C3)C4=C(C=C(C=C4C(F)(F)F)C#N)C(=O)N5CCOCC5,Active,,,,EC50,0.0018,1.8,,BDBM674662,Orf1a protein
42,497644005,171918825,COC1=CC=CC2=NC(=O)C=C(C21)C(=O)N[C@@H]3CCN(C3)C4=C(C=C(C=C4C(F)(F)F)C#N)C(=O)N5CCOCC5,Active,,,,EC50,0.00285,2.85,P0C6X6,BDBM674662,Replicase polyprotein 1ab
43,497644005,171918825,COC1=CC=CC2=NC(=O)C=C(C21)C(=O)N[C@@H]3CCN(C3)C4=C(C=C(C=C4C(F)(F)F)C#N)C(=O)N5CCOCC5,Active,,,,EC50,0.00201,2.01,P0C6X1,BDBM674662,Replicase polyprotein 1ab
44,497644006,171918826,CC1CC(C(C(=O)N1)F)C(=O)N[C@@H]2CCN(C2)C3=C(C=C(C=C3C(F)(F)F)C#N)C(=O)N4CCOCC4,Active,,,,EC50,0.00054,0.54,P0DTD1,BDBM674663,Replicase polyprotein 1ab
45,497644006,171918826,CC1CC(C(C(=O)N1)F)C(=O)N[C@@H]2CCN(C2)C3=C(C=C(C=C3C(F)(F)F)C#N)C(=O)N4CCOCC4,Active,,,,EC50,0.0015,1.5,,BDBM674663,Orf1a protein
46,497644006,171918826,CC1CC(C(C(=O)N1)F)C(=O)N[C@@H]2CCN(C2)C3=C(C=C(C=C3C(F)(F)F)C#N)C(=O)N4CCOCC4,Active,,,,EC50,0.012,12,P0C6X6,BDBM674663,Replicase polyprotein 1ab
