PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Relation,PubChem Standard Value,IC50 Qualifier,IC50,Kd Qualifier,Kd,Target Accession(s),Ligand,Target
RESULT_TYPE,,,,,,,,STRING,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,TARGET_NCBI_PROTEIN_ACCESSION,STRING,STRING
RESULT_DESCR,,,,,,,,"Standardized activity type (i.e. Ki, IC50, Kd, or EC50)","Qualifier (e.g. >, <, =) for PubChem Standard Value","PubChem standardized value transformed from the value of Ki, IC50, Kd, or EC50. The unit is always micromolar.","Qualifier (e.g. >, <, =) for IC50",,"Qualifier (e.g. >, <, =) for Kd",,Protein accession(s) of target,BindingDB Ligand,BindingDB Target
RESULT_UNIT,,,,,,,,,,MICROMOLAR,,NANOMOLAR,,NANOMOLAR,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,,TRUE,,,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,TRUE,,,,,,,,
1,172097425,24941262,CC1=C(C=C(C=C1)N)C(=O)N[C@H](C)C2=CC=CC3=CC=CC=C32,Active,,,,IC50,,1.61,,1610,,,P0C6U8,BDBM31524,Replicase polyprotein 1a [1564-1878]
2,172097425,24941262,CC1=C(C=C(C=C1)N)C(=O)N[C@H](C)C2=CC=CC3=CC=CC=C32,Active,,,,Kd,,2.7,,,,2700,P0C6U8,BDBM31524,Replicase polyprotein 1a [1564-1878]
3,447114926,156907132,CC1=C(C=C(C=C1)NC2CNC2)C(=O)N[C@H](C)C3=CC=CC4=CC=CC=C43,Active,,,,IC50,,6.08,,6080,,,P0C6U8,BDBM496476,Replicase polyprotein 1a [1564-1878]
4,447114926,156907132,CC1=C(C=C(C=C1)NC2CNC2)C(=O)N[C@H](C)C3=CC=CC4=CC=CC=C43,Inactive,,,,Kd,,16,,,,16000,P0C6U8,BDBM496476,Replicase polyprotein 1a [1564-1878]
5,447114972,156907148,CC1=C(C=C(C=C1)NC2CCNCC2)C(=O)N[C@H](C)C3=CC=CC4=CC=CC=C43,Active,,,,IC50,,1.01,,1010,,,P0C6U8,BDBM496522,Replicase polyprotein 1a [1564-1878]
6,447114972,156907148,CC1=C(C=C(C=C1)NC2CCNCC2)C(=O)N[C@H](C)C3=CC=CC4=CC=CC=C43,Active,,,,Kd,,1.03,,,,1030,P0C6U8,BDBM496522,Replicase polyprotein 1a [1564-1878]
7,447114972,156907148,CC1=C(C=C(C=C1)NC2CCNCC2)C(=O)N[C@H](C)C3=CC=CC4=CC=CC=C43,Active,,,,IC50,,0.6,,600,,,P0C6U8,BDBM496522,Replicase polyprotein 1a [1564-1878]
8,447114972,156907148,CC1=C(C=C(C=C1)NC2CCNCC2)C(=O)N[C@H](C)C3=CC=CC4=CC=CC=C43,Active,,,,Kd,,1.8,,,,1800,P0C6U8,BDBM496522,Replicase polyprotein 1a [1564-1878]
9,447115003,156907156,CC1=C(C=C(C=C1)NC(=O)C2CNC2)C(=O)N[C@H](C)C3=CC=CC4=CC=CC=C43,Active,,,,IC50,,1.2,,1200,,,P0C6U8,BDBM496553,Replicase polyprotein 1a [1564-1878]
10,447115003,156907156,CC1=C(C=C(C=C1)NC(=O)C2CNC2)C(=O)N[C@H](C)C3=CC=CC4=CC=CC=C43,Active,,,,Kd,,3.1,,,,3100,P0C6U8,BDBM496553,Replicase polyprotein 1a [1564-1878]
11,447115004,156907157,CC1=C(C=C(C=C1)NC(=O)C2CCNCC2)C(=O)N[C@H](C)C3=CC=CC4=CC=CC=C43,Active,,,,IC50,,0.8,,800,,,P0C6U8,BDBM496554,Replicase polyprotein 1a [1564-1878]
