PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Text Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Standardized version of non-numeric measurement,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,,
1,504778010,172433136,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=CN4,Unspecified,,,,50,EC50,>,50000,,nM,Falls Outside The Dose Series
2,504778010,172433136,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=CN4,Unspecified,,,,50,EC90,>,50,,uM,Falls Outside The Dose Series
3,504778010,172433136,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=CN4,Unspecified,,,,50,EC50,>,50000,,nM,Falls Outside The Dose Series
4,504778010,172433136,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=CN4,Unspecified,,,,50,EC90,>,50,,uM,Falls Outside The Dose Series
5,504778010,172433136,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=CN4,Unspecified,,,,20,EC50,>,20000,,nM,Falls Outside The Dose Series
6,504778010,172433136,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=CN4,Unspecified,,,,20,EC90,>,20,,uM,Falls Outside The Dose Series
7,504778011,172433137,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C(=O)N[C@H]5CCN(C5)C,Unspecified,,,,20,EC50,>,20000,,nM,Falls Outside The Dose Series
8,504778011,172433137,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C(=O)N[C@H]5CCN(C5)C,Unspecified,,,,20,EC90,>,20,,uM,Falls Outside The Dose Series
9,504778012,172433138,CCNC(=O)C1=CC2=C(N1)N=CN=C2N[C@@H](C3=CC4=C(C=C3)OCCS4(=O)=O)C(C)C,Unspecified,,,,20,EC50,>,20000,,nM,Falls Outside The Dose Series
10,504778012,172433138,CCNC(=O)C1=CC2=C(N1)N=CN=C2N[C@@H](C3=CC4=C(C=C3)OCCS4(=O)=O)C(C)C,Unspecified,,,,20,EC90,>,20,,uM,Falls Outside The Dose Series
11,504778013,172433139,CC1=NN(C=C1C2=CC3=C(N2)N=CN=C3N[C@@H](C4=CC5=C(CCCS5(=O)=O)C=C4)C(C)C)C,Unspecified,,,,20,EC50,>,20000,,nM,Falls Outside The Dose Series
12,504778013,172433139,CC1=NN(C=C1C2=CC3=C(N2)N=CN=C3N[C@@H](C4=CC5=C(CCCS5(=O)=O)C=C4)C(C)C)C,Unspecified,,,,20,EC90,>,20,,uM,Falls Outside The Dose Series
13,504778014,172433140,CCNC(=O)C1=CC2=C(N1)N=CN=C2N[C@@H](C3=CC4=C(CCCS4(=O)=O)C=C3)C(C)C,Unspecified,,,,20,EC50,>,20000,,nM,Falls Outside The Dose Series
14,504778014,172433140,CCNC(=O)C1=CC2=C(N1)N=CN=C2N[C@@H](C3=CC4=C(CCCS4(=O)=O)C=C3)C(C)C,Unspecified,,,,20,EC90,>,20,,uM,Falls Outside The Dose Series
15,504778015,172433141,CC(C)(C)[C@H](C1=NC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=C(N(N=C5)C)C#N,Active,,,,1.489,EC50,=,1489,,nM,
16,504778015,172433141,CC(C)(C)[C@H](C1=NC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=C(N(N=C5)C)C#N,Active,,,,1.603,EC50,=,1603,,nM,
17,504778015,172433141,CC(C)(C)[C@H](C1=NC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=C(N(N=C5)C)C#N,Unspecified,,,,10,EC90,>,10,,uM,Falls Outside The Dose Series
18,504778015,172433141,CC(C)(C)[C@H](C1=NC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=C(N(N=C5)C)C#N,Unspecified,,,,20,EC90,>,20,,uM,Falls Outside The Dose Series
