PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Text Value,Standard Units,Activity Comment,Data Validity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Standardized version of non-numeric measurement,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,,,
1,242541558,49830811,C1OC2=C(O1)C=C(C=C2)C3=C4C=CNC4=NC=N3,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
2,440172193,91820634,CCOC(=O)C1=C(OCC1=O)NC2=CC(=CC(=C2)C)C,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
3,469914864,75454047,CC1=C(NC2=C1C(=NC=N2)NC(=O)C3=C(C=NC=C3)Cl)C,Unspecified,,,,25.257,IC50,=,25257,,nM,,
4,482048959,122049628,CC(C)[C@@H](C(=O)O)NC1=NC=NC2=C1C=CN2,Unspecified,,,,34.091,IC50,=,34091,,nM,,
5,482048959,122049628,CC(C)[C@@H](C(=O)O)NC1=NC=NC2=C1C=CN2,Unspecified,,,,33.797,IC50,=,33797,,nM,,
6,494428596,138019652,C1C(CC1(CNC2=NC=NC3=C2C=CN3)C4=CC=CC=C4)O,Unspecified,,,,124.375,IC50,>,124375,,nM,Falls Outside The Dose Series,Outside typical range
7,504778010,172433136,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=CN4,Active,,,,0.149,IC50,=,149,,nM,,
8,504778010,172433136,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=CN4,Active,,,,0.133,IC50,=,133,,nM,,
9,504778010,172433136,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=CN4,Unspecified,,,,55.738,IC50,=,55738,,nM,,
10,504778010,172433136,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=CN4,Unspecified,,,,22.793,IC50,=,22793,,nM,,
11,504778011,172433137,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C(=O)N[C@H]5CCN(C5)C,Active,,,,0.054,IC50,=,54,,nM,,
12,504778011,172433137,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C(=O)N[C@H]5CCN(C5)C,Active,,,,0.107,IC50,=,107,,nM,,
13,504778012,172433138,CCNC(=O)C1=CC2=C(N1)N=CN=C2N[C@@H](C3=CC4=C(C=C3)OCCS4(=O)=O)C(C)C,Active,,,,0.033,IC50,=,33,,nM,,
14,504778012,172433138,CCNC(=O)C1=CC2=C(N1)N=CN=C2N[C@@H](C3=CC4=C(C=C3)OCCS4(=O)=O)C(C)C,Active,,,,0.064,IC50,=,64,,nM,,
15,504778012,172433138,CCNC(=O)C1=CC2=C(N1)N=CN=C2N[C@@H](C3=CC4=C(C=C3)OCCS4(=O)=O)C(C)C,Active,,,,0.052,IC50,=,52,,nM,,
16,504778012,172433138,CCNC(=O)C1=CC2=C(N1)N=CN=C2N[C@@H](C3=CC4=C(C=C3)OCCS4(=O)=O)C(C)C,Active,,,,0.09,IC50,=,90,,nM,,
