PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
1,103523526,3830,C1=COC(=C1)CNC2=NC=NC3=C2NC=N3,Unspecified,,,,Inhibition (mean),=,2.634,%
2,242471496,6468750,C1=CC(=CC=C1CC(=O)NC2=CC3=C(C=C2)NN=C3)F,Unspecified,,,,Inhibition (mean),=,1.139,%
3,469868943,164633302,C1C[C@@H](OC1)CNC2=NC(=NC3=C2NC=N3)C(F)(F)F,Unspecified,,,,Inhibition (mean),=,2.501,%
4,469888586,50950589,CN(CCOC1=CC=CC=C1)C2=NC=NC3=C2C=CN3,Unspecified,,,,Inhibition (mean),=,-2.258,%
5,469914864,75454047,CC1=C(NC2=C1C(=NC=N2)NC(=O)C3=C(C=NC=C3)Cl)C,Unspecified,,,,Inhibition (mean),=,85.62,%
6,469914864,75454047,CC1=C(NC2=C1C(=NC=N2)NC(=O)C3=C(C=NC=C3)Cl)C,Unspecified,,,,Inhibition (mean),=,69.56,%
7,469964466,75502651,CC1=C(NC2=C1C(=NC=N2)NC(=O)C3CCC(CC3)(F)F)C,Unspecified,,,,Inhibition (mean),=,2.148,%
8,494428596,138019652,C1C(CC1(CNC2=NC=NC3=C2C=CN3)C4=CC=CC=C4)O,Unspecified,,,,Inhibition (mean),=,11.37,%
9,504778752,172433450,CN([C@@H]1CN2CCC1CC2)C(=O)C3=CC=C(C=C3)NC(=O)NC4=CC=CC=C4,Unspecified,,,,Inhibition (mean),=,2.773,%
10,504778752,172433450,CN([C@@H]1CN2CCC1CC2)C(=O)C3=CC=C(C=C3)NC(=O)NC4=CC=CC=C4,Unspecified,,,,Inhibition (mean),=,-4.01,%
11,504839332,145897671,CC(C)(CCNC1=NC=NC2=C1C=CN2)S(=O)(=O)C,Unspecified,,,,Inhibition (mean),=,0.75,%
12,504839333,172470662,CC1=NN(C(=C1)CNC(=O)C2=C3C=C(C=CN3N=C2)C4CCN(CC4)C(=O)C5=CC=CC=C5)C,Unspecified,,,,Inhibition (mean),=,-8.125,%
13,504839333,172470662,CC1=NN(C(=C1)CNC(=O)C2=C3C=C(C=CN3N=C2)C4CCN(CC4)C(=O)C5=CC=CC=C5)C,Unspecified,,,,Inhibition (mean),=,-5.508,%
14,504839334,172470663,COC1=NOC(=C1)CC(=O)NC2=NC=C3C(=C2)C(=O)NC=N3,Unspecified,,,,Inhibition (mean),=,-3.481,%
15,504839334,172470663,COC1=NOC(=C1)CC(=O)NC2=NC=C3C(=C2)C(=O)NC=N3,Unspecified,,,,Inhibition (mean),=,-4.691,%
16,504839335,172470664,C1=CC=C(C=C1)NC(=O)NC2=CC=C(C=C2)C(=O)NCC3=CC(=NC=C3)F,Unspecified,,,,Inhibition (mean),=,4.92,%
17,504839335,172470664,C1=CC=C(C=C1)NC(=O)NC2=CC=C(C=C2)C(=O)NCC3=CC(=NC=C3)F,Unspecified,,,,Inhibition (mean),=,-0.36,%
18,504839336,172470665,CN1C=C(C=N1)[C@H](C2=CC=CC=C2)NC3=NC=NC4=C3C=CN4,Unspecified,,,,Inhibition (mean),=,39.26,%
19,504839336,172470665,CN1C=C(C=N1)[C@H](C2=CC=CC=C2)NC3=NC=NC4=C3C=CN4,Unspecified,,,,Inhibition (mean),=,19.98,%
20,504839337,172470666,C1=CC(=CC=C1CNC(=O)C2=C3C=CNC3=NC=N2)N4C=NC5=C4C=CC(=C5)C(=O)O,Unspecified,,,,Inhibition (mean),=,-4.649,%
21,504839337,172470666,C1=CC(=CC=C1CNC(=O)C2=C3C=CNC3=NC=N2)N4C=NC5=C4C=CC(=C5)C(=O)O,Unspecified,,,,Inhibition (mean),=,-33.43,%
22,504839338,172470667,CN1C(=CC2=C1N=C3C=CC=CN3C2=O)C(=O)NCCN4C=CC=C4,Unspecified,,,,Inhibition (mean),=,2.262,%
23,504839339,172470668,CN1C=C(C=N1)[C@H]2CSCCN2C3=NC=NC4=C3C=CN4,Unspecified,,,,Inhibition (mean),=,-3.463,%
24,504839339,172470668,CN1C=C(C=N1)[C@H]2CSCCN2C3=NC=NC4=C3C=CN4,Unspecified,,,,Inhibition (mean),=,-6.49,%
25,504839340,172470669,CN1C(=NC=N1)C(=O)N2CCC(CC2)C3=CC4=C(C=NN4C=C3)C(=O)N5CCCCC5,Unspecified,,,,Inhibition (mean),=,20.35,%
