PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,PubChem Standard Value,IC50,EC50,Target Accession(s),Ligand,Target
RESULT_TYPE,,,,,,,,STRING,FLOAT,FLOAT,FLOAT,TARGET_NCBI_PROTEIN_ACCESSION,STRING,STRING
RESULT_DESCR,,,,,,,,"Standardized activity type (i.e. Ki, IC50, Kd, or EC50)","PubChem standardized value transformed from the value of Ki, IC50, Kd, or EC50. The unit is always micromolar.",,,Protein accession(s) of target,BindingDB Ligand,BindingDB Target
RESULT_UNIT,,,,,,,,,MICROMOLAR,NANOMOLAR,NANOMOLAR,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,
1,505949465,172186575,CC1([C@@H]2[C@H]1[C@H](N(C2)C(=O)C(C(C)(C)C)NC(=O)OC(C)(C)C)C(=O)NC(C#N)C3=CC(=CN=C3)Br)C,Active,,,,EC50,0.462,,462,P0DTC1,BDBM700395,Replicase polyprotein 1a
2,505949465,172186575,CC1([C@@H]2[C@H]1[C@H](N(C2)C(=O)C(C(C)(C)C)NC(=O)OC(C)(C)C)C(=O)NC(C#N)C3=CC(=CN=C3)Br)C,Active,,,,IC50,0.08,80,,P0DTC1,BDBM700395,Replicase polyprotein 1a
3,505949465,172186575,CC1([C@@H]2[C@H]1[C@H](N(C2)C(=O)C(C(C)(C)C)NC(=O)OC(C)(C)C)C(=O)NC(C#N)C3=CC(=CN=C3)Br)C,Active,,,,EC50,0.547,,547,P0DTC1,BDBM700395,Replicase polyprotein 1a
4,505949465,172186575,CC1([C@@H]2[C@H]1[C@H](N(C2)C(=O)C(C(C)(C)C)NC(=O)OC(C)(C)C)C(=O)NC(C#N)C3=CC(=CN=C3)Br)C,Active,,,,IC50,0.027,27,,P0DTC1,BDBM700395,Replicase polyprotein 1a
5,505949466,172186590,CC(C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)NC(C#N)C3=CC(=CN=C3)Br)C2(C)C)C(C)(C)C,Active,,,,EC50,7.859,,7859,P0DTC1,BDBM700396,Replicase polyprotein 1a
6,505949466,172186590,CC(C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)NC(C#N)C3=CC(=CN=C3)Br)C2(C)C)C(C)(C)C,Active,,,,IC50,0.32,320,,P0DTC1,BDBM700396,Replicase polyprotein 1a
7,505949467,172186584,CC(=O)CC(C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)NC(C#N)C3=CC(=CN=C3)Br)C2(C)C)C(C)(C)C,Active,,,,EC50,1.253,,1253,P0DTC1,BDBM700397,Replicase polyprotein 1a
