PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Relation,PubChem Standard Value,Ki Qualifier,Ki,Target Accession(s),Ligand,Target
RESULT_TYPE,,,,,,,,STRING,STRING,FLOAT,FLOAT,FLOAT,TARGET_NCBI_PROTEIN_ACCESSION,STRING,STRING
RESULT_DESCR,,,,,,,,"Standardized activity type (i.e. Ki, IC50, Kd, or EC50)","Qualifier (e.g. >, <, =) for PubChem Standard Value","PubChem standardized value transformed from the value of Ki, IC50, Kd, or EC50. The unit is always micromolar.","Qualifier (e.g. >, <, =) for Ki",,Protein accession(s) of target,BindingDB Ligand,BindingDB Target
RESULT_UNIT,,,,,,,,,,MICROMOLAR,,NANOMOLAR,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,TRUE,,,,,,
1,475726611,166594435,COC1=C(C(=CC=C1)OC)S(=O)(=O)NC2=NOC3=C2C(=CC(=C3)CC4CCNN4)OC,Active,,,,Ki,,0.0377,,37.7,"O95251,Q92794",BDBM580774,Histone acetyltransferase KAT7/Peregrin
2,518300700,176308875,CCC1=CC(=NN1)NC2=C(C=C3C(=C2)ON=C3NS(=O)(=O)C4=C(C=CC=C4OC)OC)OC,Active,,,,Ki,,0.0035,,3.5,"O95251,Q92794",BDBM730782,Histone acetyltransferase KAT7/Peregrin
3,518300702,176308929,COC1=C(C(=CC=C1)OC)S(=O)(=O)NC2=NOC3=CC(=C(C=C32)OC)NC4=CC=NN4,Active,,,,Ki,,0.0406,,40.6,"O95251,Q92794",BDBM730784,Histone acetyltransferase KAT7/Peregrin
4,518300705,176308727,CN1C=CC(=N1)NC2=C(C=C3C(=C2)ON=C3NS(=O)(=O)C4=C(C=CC=C4OC)OC)OC,Active,,,,Ki,,0.0672,,67.2,"O95251,Q92794",BDBM730787,Histone acetyltransferase KAT7/Peregrin
5,518300712,176308920,CC1=CC(=NN1)NC2=C(C=C3C(=C2)ON=C3NS(=O)(=O)C4=CC=CC=C4OC)OC,Active,,,,Ki,,0.0471,,47.1,"O95251,Q92794",BDBM730794,Histone acetyltransferase KAT7/Peregrin
6,518300715,176511326,COC1=CC=CC=C1S(=O)(=O)NC2=NOC3=C2C(=CC(=C3)NC4=CC=NN4)OC,Active,,,,Ki,,0.0518,,51.8,"O95251,Q92794",BDBM730797,Histone acetyltransferase KAT7/Peregrin
7,518300721,176511332,COC1=C(C(=CC=C1)OC)S(=O)(=O)NC2=NOC3=C2C(=CC(=C3)NC4=NC=CN4)OC,Active,,,,Ki,,0.0678,,67.8,"O95251,Q92794",BDBM730803,Histone acetyltransferase KAT7/Peregrin
8,518300728,176511339,COC1=CC=CC=C1S(=O)(=O)NC2=NOC3=CC(=C(C=C32)OC)NC4=CC=NN4,Active,,,,Ki,,0.108,,108,"O95251,Q92794",BDBM730810,Histone acetyltransferase KAT7/Peregrin
9,518300729,176511340,CC1=CC(=C(C=C1)S(=O)(=O)NC2=NOC3=CC(=C(C=C32)OC)NC4=CC=NN4)OC,Active,,,,Ki,,0.0367,,36.7,"O95251,Q92794",BDBM730811,Histone acetyltransferase KAT7/Peregrin
10,518300731,176511342,CC1=CC(=C(C=C1C(C)C)S(=O)(=O)NC2=NOC3=CC(=C(C=C32)OC)NC4=CC=NN4)OC,Active,,,,Ki,,0.0147,,14.7,"O95251,Q92794",BDBM730813,Histone acetyltransferase KAT7/Peregrin
11,518300732,176511343,COC1=C(C=CC(=C1)Cl)S(=O)(=O)NC2=NOC3=CC(=C(C=C32)OC)NC4=CC=NN4,Active,,,,Ki,,0.0747,,74.7,"O95251,Q92794",BDBM730814,Histone acetyltransferase KAT7/Peregrin
12,518300733,176511344,CCOC1=CC=CC=C1S(=O)(=O)NC2=NOC3=CC(=C(C=C32)OC)NC4=CC=NN4,Active,,,,Ki,,0.0971,,97.1,"O95251,Q92794",BDBM730815,Histone acetyltransferase KAT7/Peregrin
13,518300734,176511345,CCOC1=C(C=CC(=C1)C)S(=O)(=O)NC2=NOC3=CC(=C(C=C32)OC)NC4=CC=NN4,Active,,,,Ki,,0.0405,,40.5,"O95251,Q92794",BDBM730816,Histone acetyltransferase KAT7/Peregrin
14,518300736,176511347,COC1=C(C(=CC=C1)OCC(F)F)S(=O)(=O)NC2=NOC3=CC(=C(C=C32)OC)NC4=CC=NN4,Active,,,,Ki,,0.0799,,79.9,"O95251,Q92794",BDBM730818,Histone acetyltransferase KAT7/Peregrin
15,518300737,176511348,CC(C)OC1=CC=CC(=C1S(=O)(=O)NC2=NOC3=CC(=C(C=C32)OC)NC4=CC=NN4)OC,Active,,,,Ki,,0.0897,,89.7,"O95251,Q92794",BDBM730819,Histone acetyltransferase KAT7/Peregrin
16,518300738,176511349,COC1=C(C(=CC=C1)OC2CCC2)S(=O)(=O)NC3=NOC4=CC(=C(C=C43)OC)NC5=CC=NN5,Active,,,,Ki,,0.0154,,15.4,"O95251,Q92794",BDBM730820,Histone acetyltransferase KAT7/Peregrin
17,518300739,176511350,COC1=C(C(=CC=C1)OC2CC2)S(=O)(=O)NC3=NOC4=CC(=C(C=C43)OC)NC5=CC=NN5,Active,,,,Ki,,0.0112,,11.2,"O95251,Q92794",BDBM730821,Histone acetyltransferase KAT7/Peregrin
18,518300740,176511351,CN1C=NC(=N1)NC2=C(C=C3C(=C2)ON=C3NS(=O)(=O)C4=C(C=CC=C4OC)OC)OC,Active,,,,Ki,,0.0483,,48.3,"O95251,Q92794",BDBM730822,Histone acetyltransferase KAT7/Peregrin
19,518300741,176511352,CC1=NC(=NN1)NC2=C(C=C3C(=C2)ON=C3NS(=O)(=O)C4=C(C=CC=C4OC)OC)OC,Active,,,,Ki,,0.093,,93,"O95251,Q92794",BDBM730823,Histone acetyltransferase KAT7/Peregrin
20,518300744,176511355,CCN1C=CC(=N1)NC2=C(C=C3C(=C2)ON=C3NS(=O)(=O)C4=C(C=CC=C4OC)OC)OC,Active,,,,Ki,,0.0753,,75.3,"O95251,Q92794",BDBM730826,Histone acetyltransferase KAT7/Peregrin
21,518300745,176511356,CCC1=NC(=NN1)NC2=C(C=C3C(=C2)ON=C3NS(=O)(=O)C4=C(C=CC=C4OC)OC)OC,Active,,,,Ki,,0.0491,,49.1,"O95251,Q92794",BDBM730827,Histone acetyltransferase KAT7/Peregrin
22,518300746,176511357,CCN1C=NC(=N1)NC2=C(C=C3C(=C2)ON=C3NS(=O)(=O)C4=C(C=CC=C4OC)OC)OC,Active,,,,Ki,,0.0256,,25.6,"O95251,Q92794",BDBM730828,Histone acetyltransferase KAT7/Peregrin
23,518300747,176511358,CCN1C=C(N=N1)NC2=C(C=C3C(=C2)ON=C3NS(=O)(=O)C4=C(C=CC=C4OC)OC)OC,Active,,,,Ki,,0.0267,,26.7,"O95251,Q92794",BDBM730829,Histone acetyltransferase KAT7/Peregrin
24,518300749,176511360,COC1=C(C(=CC=C1)OC)S(=O)(=O)NC2=NOC3=CC(=C(C=C32)OC)NC4=CC(=NN4)OC,Active,,,,Ki,,0.0098,,9.8,"O95251,Q92794",BDBM730831,Histone acetyltransferase KAT7/Peregrin
25,518300751,176511362,CC1=NN(C(=C1C#N)NC2=C(C=C3C(=C2)ON=C3NS(=O)(=O)C4=C(C=CC=C4OC)OC)OC)C,Inactive,,,,Ki,>,16.134,>,16134,"O95251,Q92794",BDBM730833,Histone acetyltransferase KAT7/Peregrin
