PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Relation,Standard Value
RESULT_TYPE,,,,,,,,STRING,STRING,FLOAT
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM
1,103165295,64971,CC(=C)[C@@H]1CC[C@]2([C@H]1[C@H]3CC[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O)C)C(=O)O,Unspecified,,,,Ratio CC50/EC50,<,15
2,103180450,72303,C=CCC1=CC(=C(C=C1)O)C2=CC(=C(C=C2)O)CC=C,Unspecified,,,,Ratio CC50/EC50,=,13.7
3,103229261,122844,CC(=C)[C@@H]1CC[C@]2([C@H]1[C@H]3CC[C@@H]4[C@]5(CCC(=O)C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)C)C(=O)O,Unspecified,,,,Ratio CC50/EC50,=,180
4,103241512,47936,CC(=O)O[C@H]1[C@H]([C@@H]2[C@]([C@H](CCC2(C)C)O)([C@@]3([C@@]1(O[C@@](CC3=O)(C)C=C)C)O)C)O,Unspecified,,,,Ratio CC50/EC50,=,89.8
5,103447182,72300,C=CCC1=CC(=C(C=C1)O)C2=C(C=CC(=C2)CC=C)O,Unspecified,,,,Ratio CC50/EC50,=,18
6,103466622,442027,CC(C)C1=C(C=C2C(=C1)CC[C@@H]3[C@@]2(CCCC3(C)C)C)O,Unspecified,,,,Ratio CC50/EC50,=,58
7,103508747,3000706,C[C@H]1C(=O)N[C@H](C(=O)O[C@@H](C(=O)N[C@@H](C(=O)O[C@H](C(=O)N[C@H](C(=O)O[C@@H](C(=O)N[C@@H](C(=O)O[C@H](C(=O)N[C@H](C(=O)O[C@@H](C(=O)N[C@@H](C(=O)O1)C(C)C)C(C)C)C(C)C)C)C(C)C)C(C)C)C(C)C)C)C(C)C)C(C)C)C(C)C,Unspecified,,,,Ratio CC50/EC50,=,41.4
8,103516894,4477,C1=CC(=C(C=C1[N+](=O)[O-])Cl)NC(=O)C2=C(C=CC(=C2)Cl)O,Unspecified,,,,Ratio CC50/EC50,>,221
9,103525862,11289118,CC(C)C1=CC2=C(C=C1)[C@]3(CCCC([C@@H]3CC2=O)(C)C)C,Unspecified,,,,Ratio CC50/EC50,=,76.3
10,103525864,11724205,CC(C)C1=C(C(=C2C(=C1)C(=O)C[C@@H]3[C@@]2(CCCC3(C)C)C)O)OC,Unspecified,,,,Ratio CC50/EC50,<,7.9
11,103525867,44427460,CC(C)C1=C[C@@]2(CC[C@@H]3[C@@](C2=CC1=O)(CCCC3(C)C)C)O,Unspecified,,,,Ratio CC50/EC50,>,510
12,103525869,14827260,CC(C)C1=C(C(=C2C(=C1)[C@H](C[C@@H]3[C@@]2(CCCC3(C)C)C)O)O)OC,Unspecified,,,,Ratio CC50/EC50,=,111
13,103525871,2751794,CC(C)C1=C(C2=C(C(=O)C1=O)[C@]3(CCCC([C@@H]3C=C2)(C)C)C)O,Unspecified,,,,Ratio CC50/EC50,=,16.2
14,103525874,44427461,CC(C)C1=C(C=C2C(=C1)C=C[C@@H]3[C@@]2(CC[C@@H](C3(C)C)OC(=O)C)C)OC(=O)C,Unspecified,,,,Ratio CC50/EC50,=,193
15,103525898,5281867,C1[C@@H](/C(=C\C2=CC3=C(C=C2)OCO3)/C(=O)O1)CC4=CC5=C(C=C4)OCO5,Unspecified,,,,Ratio CC50/EC50,>,667
16,103580493,10398656,CC1=C[C@H]2[C@@H](CC[C@@]([C@@H]2CC1)(C)O)C(C)C,Unspecified,,,,Ratio CC50/EC50,=,17.3
17,103599146,25880646,C[C@]12CCC[C@]([C@@H]1CCC(=C)[C@@H]2CCC3=CCOC3=O)(C)C(=O)O,Unspecified,,,,Ratio CC50/EC50,>,159
