PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Average IC50,Standard Error,Inhibition at 100 uM [1],Inhibition at 50 uM [1],Inhibition at 25 uM [1],Inhibition at 12.5 uM [1],Inhibition at 6.25 uM [1],Inhibition at 3.13 uM [1],Inhibition at 1.56 uM [1],Inhibition at 0.78 uM [1],Inhibition at 100 uM [2],Inhibition at 50 uM [2],Inhibition at 25 uM [2],Inhibition at 12.5 uM [2],Inhibition at 6.25 uM [2],Inhibition at 3.13 uM [2],Inhibition at 1.56 uM [2],Inhibition at 0.78 uM [2],Inhibition at 100 uM [3],Inhibition at 50 uM [3],Inhibition at 25 uM [3],Inhibition at 12.5 uM [3],Inhibition at 6.25 uM [3],Inhibition at 3.13 uM [3],Inhibition at 1.56 uM [3],Inhibition at 0.78 uM [3]
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,The concentration at which 50 percent of the activity in the inhibition assay is observed; (IC50) shown in micromolar.,Standard error for value of IC50.,Value of % Inhibiton at 100 uM compound concentration; replicate one.,Value of % Inhibiton at 50 uM compound concentration; replicate one.,Value of % Inhibiton at 25 uM compound concentration; replicate one.,Value of % Inhibiton at 12.5 uM compound concentration; replicate one.,Value of % Inhibiton at 6.25 uM compound concentration; replicate one.,Value of % Inhibiton at 3.13 uM compound concentration; replicate one.,Value of % Inhibiton at 1.56 uM compound concentration; replicate one.,Value of % Inhibiton at 0.78 uM compound concentration; replicate one.,Value of % Inhibiton at 100 uM compound concentration; replicate two.,Value of % Inhibiton at 50 uM compound concentration; replicate two.,Value of % Inhibiton at 25 uM compound concentration; replicate two.,Value of % Inhibiton at 12.5 uM compound concentration; replicate two.,Value of % Inhibiton at 6.25 uM compound concentration; replicate two.,Value of % Inhibiton at 3.13 uM compound concentration; replicate two.,Value of % Inhibiton at 1.56 uM compound concentration; replicate two.,Value of % Inhibiton at 0.78 uM compound concentration; replicate two.,Value of % Inhibiton at 100 uM compound concentration; replicate three.,Value of % Inhibiton at 50 uM compound concentration; replicate three.,Value of % Inhibiton at 25 uM compound concentration; replicate three.,Value of % Inhibiton at 12.5 uM compound concentration; replicate three.,Value of % Inhibiton at 6.25 uM compound concentration; replicate three.,Value of % Inhibiton at 3.13 uM compound concentration; replicate three.,Value of % Inhibiton at 1.56 uM compound concentration; replicate three.,Value of % Inhibiton at 0.78 uM compound concentration; replicate three.
RESULT_UNIT,,,,,,,,MICROMOLAR,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,100,50,25,12.5,6.25,3.13,1.56,0.78,100,50,25,12.5,6.25,3.13,1.56,0.78,100,50,25,12.5,6.25,3.13,1.56,0.78
1,99350508,46897839,CCC(C)C1=CC=C(C=C1)N([C@@H](C2=CN=CC=C2)C(=O)NC(C)(C)C)C(=O)C3=CC=CO3.C(=O)(C(F)(F)F)O,Active,100,,,2.3,0.2,97.9,95.98,92.27,86.14,71.88,60.27,39.37,41.05,97.62,95.92,91.6,81.36,71.91,52.26,37.86,23.75,96.33,94.98,90.47,79.72,71.7,56.87,35.75,28.36
2,99350515,46897848,CC(=O)NC1=CC=C(C=C1)N(C(C2=CC(=CC=C2)F)C(=O)NCC3=CC=CC=C3)C(=O)CN4C5=CC=CC=C5N=N4,Active,98,,,2.9,0.2,87.6,87.19,83.13,72.91,61.18,65.01,26.97,17.28,87.19,87.66,82.85,74.87,60,44.31,29.07,17.02,88.1,89.27,85.94,76.41,63.58,47.26,32.58,21.2
3,99289106,46861524,CC(C)(C)NC(=O)C(C1=CSC=C1)N(C2=CC=C(C=C2)NC(=O)C3CCCCC3)C(=O)CN4C5=CC=CC=C5N=N4,Active,96,,,3.8,0.2,84.93,84.57,80.24,72.15,59.18,41.59,26.5,18.7,84.27,84.75,75.91,72.19,54.86,38,26.46,14.35,84.72,84.44,79.35,71.18,55.04,36.8,23.55,15.42
4,99289112,69361347,C1CC1C(=O)NC2=CC=C(C=C2)N(CC3=CSC=C3)C(=O)CN4C5=CC=CC=C5N=N4.C(=O)(C(F)(F)F)O,Active,96,,,4.1,0.2,92.42,91.65,87.39,75.27,61.77,40.8,23.69,6.26,92.47,91.65,86.52,76.83,54.86,43.74,26.45,12.17,92.67,91,84.52,73.95,61.18,43.19,30.96,22.59
5,99350505,46897835,CC(C)(C)C1=CC=C(C=C1)N(C(C2=CN=CC=C2)C(=O)NC(C)(C)C)C(=O)C3=CC=C(O3)Cl.C(=O)(C(F)(F)F)O,Active,93,,,5.2,0.3,91.5,89.64,82.28,69.19,54.27,28.61,23.15,19.33,91.24,89.7,80.14,72.72,53.56,34.54,25.24,9.28,92.78,88.59,79.9,68.39,53.51,36.71,23.06,15.68
6,99350512,46897845,CC(=O)NC1=CC=C(C=C1)N(C(C2=CC(=CC=C2)F)C(=O)NC(C)(C)C)C(=O)CN3C4=CC=CC=C4N=N3,Active,91,,,6.3,0.6,93.2,94.54,89.02,71.48,62.03,33.34,21.93,12.59,94.72,90.6,82.63,70.53,48.16,22.41,11.56,14.89,94.8,89.37,83.52,69.42,54.5,36.26,13.39,-10.2
7,99289115,46861533,CC(C)C(=O)NC1=CC=C(C=C1)N(CC2=CSC=C2)C(=O)CN3C4=CC=CC=C4N=N3,Active,90,,,6.4,0.6,91.44,85.21,76.06,71.22,46.37,32.22,30.62,17.58,92.06,87.88,78.41,66.97,46.18,25.73,12.08,5.07,94.06,87.77,77.79,61.84,59.93,30.41,14.44,10.39
8,99289113,46861531,C1CC(C1)C(=O)NC2=CC=C(C=C2)N(CC3=CSC=C3)C(=O)CN4C5=CC=CC=C5N=N4,Active,87,,,8.1,1.1,85.78,84.77,78.19,63.05,30,33.73,-5.86,0.59,89.15,84.79,76.37,58.28,30.54,25,12.15,-3.11,88,82.5,75.88,62.04,56.11,23.7,10.54,25.64
