PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Average Inhibition at 100 uM,Inhibition at 100 uM [1],Inhibition at 100 uM [2],Inhibition at 100 uM [3]
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,Average value of % inhibition at 100 uM compound concentration.,Value of % Inhibiton at 100 uM compound concentration; replicate one.,Value of % Inhibiton at 100 uM compound concentration; replicate two.,Value of % Inhibiton at 100 uM compound concentration; replicate three.
RESULT_UNIT,,,,,,,,PERCENT,PERCENT,PERCENT,PERCENT
RESULT_ATTR_CONC_MICROMOL,,,,,,,,100,100,100,100
1,99350510,46897844,CC(C)(C)C1=CC=C(C=C1)N([C@H](C2=CN=CC=C2)C(=O)NC(C)(C)C)C(=O)C3=CC=CO3,Active,100,,,98.8,97.96,98.7,99.75
2,99350508,46897839,CCC(C)C1=CC=C(C=C1)N([C@@H](C2=CN=CC=C2)C(=O)NC(C)(C)C)C(=O)C3=CC=CO3.C(=O)(C(F)(F)F)O,Active,94,,,93.1,96.51,89.95,92.96
3,99350512,46897845,CC(=O)NC1=CC=C(C=C1)N(C(C2=CC(=CC=C2)F)C(=O)NC(C)(C)C)C(=O)CN3C4=CC=CC=C4N=N3,Active,91,,,90.2,87.79,89.58,93.1
4,99350505,46897835,CC(C)(C)C1=CC=C(C=C1)N(C(C2=CN=CC=C2)C(=O)NC(C)(C)C)C(=O)C3=CC=C(O3)Cl.C(=O)(C(F)(F)F)O,Active,90,,,89.6,89.87,93.62,85.39
5,99289111,46861529,CC(C)(C)C(=O)NC1=CC=C(C=C1)N(CC2=CSC=C2)C(=O)CN3C4=CC=CC=C4N=N3,Active,87,,,86.3,86.91,84.76,87.25
6,99289104,46861522,CC(C)(C)NC(=O)C(C1=CSC=C1)N(C2=CC=C(C=C2)NC(=O)C3CC3)C(=O)CN4C5=CC=CC=C5N=N4,Active,86,,,85.7,85.71,86.39,85.14
7,99289113,46861531,C1CC(C1)C(=O)NC2=CC=C(C=C2)N(CC3=CSC=C3)C(=O)CN4C5=CC=CC=C5N=N4,Active,86,,,85.7,84.9,87.32,84.79
8,99289106,46861524,CC(C)(C)NC(=O)C(C1=CSC=C1)N(C2=CC=C(C=C2)NC(=O)C3CCCCC3)C(=O)CN4C5=CC=CC=C5N=N4,Active,85,,,84.9,83.31,84.23,87.04
9,99350515,46897848,CC(=O)NC1=CC=C(C=C1)N(C(C2=CC(=CC=C2)F)C(=O)NCC3=CC=CC=C3)C(=O)CN4C5=CC=CC=C5N=N4,Active,85,,,84.7,85.03,85.42,83.76
10,99289115,46861533,CC(C)C(=O)NC1=CC=C(C=C1)N(CC2=CSC=C2)C(=O)CN3C4=CC=CC=C4N=N3,Active,84,,,83.6,75.13,85.88,89.84
11,99289112,69361347,C1CC1C(=O)NC2=CC=C(C=C2)N(CC3=CSC=C3)C(=O)CN4C5=CC=CC=C5N=N4.C(=O)(C(F)(F)F)O,Active,83,,,82.8,85.55,78.08,84.71
12,99289103,46861521,CC(C)(C)C(=O)NC1=CC=C(C=C1)N(C(C2=CSC=C2)C(=O)NC(C)(C)C)C(=O)CN3C4=CC=CC=C4N=N3,Active,78,,,77.4,79.05,75.34,77.78
13,99350502,46897830,CC(C)(C)C1=CC=C(C=C1)N(C(C2=CN=CN=C2)C(=O)NC(C)(C)C)C(=O)C3=CN=CN3.C(=O)(C(F)(F)F)O,Active,67,,,66.8,70.58,67.84,61.86
14,99289107,46861525,CC(C)(C)NC(=O)C(C1=CSC=C1)N(C2=CC=C(C=C2)NC(=O)C3=CC=NO3)C(=O)CN4C5=CC=CC=C5N=N4,Active,60,,,59.4,54.68,67.57,56.07
15,99350507,46897837,CC(C)(C)C1=CC=C(C=C1)N(C(C2=CN=CC=C2)C(=O)NC(C)(C)C)C(=O)C3=NC=CO3.C(=O)(C(F)(F)F)O,Active,52,,,51.6,49.05,62.1,43.68
16,99350516,46897849,C1CC2CC1CC2N(C(C3=CC(=CC=C3)F)C(=O)NCC4=CC=CC=C4)C(=O)CN5C6=CC=CC=C6N=N5,Inactive,43,,,42.5,50.89,36.99,39.77
17,99350503,46897832,CC(C)(C)C1=CC=C(C=C1)N(C(C2=CN=CN=C2)C(=O)NC(C)(C)C)C(=O)C3=CN=CO3,Inactive,36,,,36.2,55.54,46.02,6.97
18,99289109,46861527,C1=CC=C2C(=C1)N=NN2CC(=O)N(CC3=CSC=C3)C4=CC=C(C=C4)NC(=O)C5=CC=CS5,Inactive,33,,,32.9,33.48,32.1,33.18
19,99350513,46897846,CC(C)(C)NC(=O)C(C1=CC(=CC=C1)F)N(C2CC3CCC2C3)C(=O)CN4C5=CC=CC=C5N=N4,Inactive,33,,,32.7,28.61,39.11,30.28
20,99350511,46897843,CC(C)(C)C1=CC=C(C=C1)N([C@@H](C2=CN=CC=C2)C(=O)NC(C)(C)C)C(=O)C3=CC=CO3,Inactive,25,,,25,15.6,51.2,8.33
21,99289105,46861523,CC(C)(C)NC(=O)C(C1=CSC=C1)N(C2=CC=C(C=C2)NC(=O)C3CCC3)C(=O)CN4C5=CC=CC=C5N=N4,Inactive,22,,,22.7,28.75,22.84,16.51
22,99289114,46861532,C1CCC(CC1)C(=O)NC2=CC=C(C=C2)N(CC3=CSC=C3)C(=O)CN4C5=CC=CC=C5N=N4,Inactive,22,,,22.1,20.26,20.35,25.55
23,99350506,45489416,CC(C)(C)C1=CC=C(C=C1)N(C(C2=CN=CC=C2)C(=O)NC(C)(C)C)C(=O)C3=CC=CN3.C(=O)(C(F)(F)F)O,Inactive,18,,,18.6,24.76,11.06,19.93
24,99289110,46861528,C1=CC=C(C=C1)C(=O)NC2=CC=C(C=C2)N(CC3=CSC=C3)C(=O)CN4C5=CC=CC=C5N=N4,Inactive,18,,,18.2,24.18,17.02,13.37
