PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Average IC50,Standard Error,Inhibition at 100 uM [1],Inhibition at 45.3 uM [1],Inhibition at 20.6 uM [1],Inhibition at 9.3 uM [1],Inhibition at 4.2 uM [1],Inhibition at 1.9 uM [1],Inhibition at 0.87 uM [1],Inhibition at 0.39 uM [1],Inhibition at 100 uM [2],Inhibition at 45.3 uM [2],Inhibition at 20.6 uM [2],Inhibition at 9.3 uM [2],Inhibition at 4.2 uM [2],Inhibition at 1.9 uM [2],Inhibition at 0.87 uM [2],Inhibition at 0.39 uM [2],Inhibition at 100 uM [3],Inhibition at 45.3 uM [3],Inhibition at 20.6 uM [3],Inhibition at 9.3 uM [3],Inhibition at 4.2 uM [3],Inhibition at 1.9 uM [3],Inhibition at 0.87 uM [3],Inhibition at 0.39 uM [3],IC50 Limited by Solubility
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,BOOLEAN
RESULT_DESCR,,,,,,,,The concentration at which 50 percent of the activity in the inhibition assay is observed; (IC50) shown in micromolar.,Standard error for value of IC50.,Value of % Inhibiton at 100 uM compound concentration; replicate one.,Value of % Inhibiton at 45.3 uM compound concentration; replicate one.,Value of % Inhibiton at 20.6 uM compound concentration; replicate one.,Value of % Inhibiton at 9.3 uM compound concentration; replicate one.,Value of % Inhibiton at 4.2 uM compound concentration; replicate one.,Value of % Inhibiton at 1.9 uM compound concentration; replicate one.,Value of % Inhibiton at 0.87 uM compound concentration; replicate one.,Value of % Inhibiton at 0.39 uM compound concentration; replicate one.,Value of % Inhibiton at 100 uM compound concentration; replicate two.,Value of % Inhibiton at 45.3 uM compound concentration; replicate two.,Value of % Inhibiton at 20.6 uM compound concentration; replicate two.,Value of % Inhibiton at 9.3 uM compound concentration; replicate two.,Value of % Inhibiton at 4.2 uM compound concentration; replicate two.,Value of % Inhibiton at 1.9 uM compound concentration; replicate two.,Value of % Inhibiton at 0.87 uM compound concentration; replicate two.,Value of % Inhibiton at 0.39 uM compound concentration; replicate two.,Value of % Inhibiton at 100 uM compound concentration; replicate three.,Value of % Inhibiton at 45.3 uM compound concentration; replicate three.,Value of % Inhibiton at 20.6 uM compound concentration; replicate three.,Value of % Inhibiton at 9.3 uM compound concentration; replicate three.,Value of % Inhibiton at 4.2 uM compound concentration; replicate three.,Value of % Inhibiton at 1.9 uM compound concentration; replicate three.,Value of % Inhibiton at 0.87 uM compound concentration; replicate three.,Value of % Inhibiton at 0.39 uM compound concentration; replicate three.,The reported IC50s were low but artefactual due to limited solubility of the compound.TRUE or FALSE. Blank if not tested.
RESULT_UNIT,,,,,,,,MICROMOLAR,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,NONE
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,100,45.3,20.6,9.3,4.2,1.9,0.87,0.39,100,45.3,20.6,9.3,4.2,1.9,0.87,0.39,100,45.3,20.6,9.3,4.2,1.9,0.87,0.39,
1,104178050,49849274,C1CC(C1)C(=O)NC2=CC=C(C=C2)N(C(C3=CC(=CC=C3)F)C(=O)NCC4=CC=CC=C4)C(=O)CN5C6=CC=CC=C6N=N5,Active,100,,,2.3,0.4,57.9,52,51.8,51.3,42.9,17.4,6.2,-6.2,60.3,54.2,55.4,53.6,45.8,23.4,10.2,-4.1,55.2,55.7,55.2,55.3,45.3,26.6,21,-1.2,true
2,104178049,49849273,C1CC1C(=O)NC2=CC=C(C=C2)N(C(C3=CC(=CC=C3)F)C(=O)NCC4=CC=CC=C4)C(=O)CN5C6=CC=CC=C6N=N5,Active,99,,,3,0.4,62.6,63.9,62.5,61,44.6,24.4,14.4,1.1,67.8,62.7,62.9,62,46,26.6,11.8,2.8,68.2,62.7,63.4,61.7,44,21.5,11.8,0.9,true
3,104178048,49849272,CC(C)C(=O)NC1=CC=C(C=C1)N(C(C2=CC(=CC=C2)F)C(=O)NCC3=CC=CC=C3)C(=O)CN4C5=CC=CC=C5N=N4,Active,97,,,4.1,0.5,69.9,69.5,77.8,58.6,41.4,19.9,11.8,7.3,67.9,70.8,68.6,59.1,39.7,21.1,13.2,4.4,68.5,72.2,68.2,57.3,39.1,20.2,7.2,0.1,true
4,117686903,51003644,CC(C)(C)C1=CC=C(C=C1)N([C@@H](C2=CN=CC=C2)C(=O)NC(C)(C)C)C(=O)C3=CN=CN3.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Active,97,,,4.5,0.2,94.8,93.4,85.1,65.1,48.1,27.3,12.7,2.9,95.4,92.8,84.8,67.9,50.5,30.3,13.9,5.8,95.8,93.1,87.1,72.8,53.9,30.3,18.6,9.3,
5,117686898,51003636,CC(C)(C)C1=CC=C(C=C1)N(C(C2=NC=CN=C2)C(=O)NC(C)(C)C)C(=O)C3=CC=CO3,Active,96,,,5.5,0.3,94.6,91.8,83.8,67.3,44.3,27.6,9.8,4.8,94.6,92.4,83.1,58.1,46,27.6,12.6,4.8,95,89.2,82.8,63.8,45,23.5,13.1,3.2,
