PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Average Inhibition at 100 uM,Standard Deviation,Inhibition at 100 uM [1],Inhibition at 100 uM [2],Inhibition at 100 uM [3]
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,Average value of % inhibition at 100 uM compound concentration.,Value of standard deviation of average % Inhibiton at 100 uM compound concentration.,Value of % Inhibiton at 100 uM compound concentration; replicate one.,Value of % Inhibiton at 100 uM compound concentration; replicate two.,Value of % Inhibiton at 100 uM compound concentration; replicate three.
RESULT_UNIT,,,,,,,,PERCENT,NONE,PERCENT,PERCENT,PERCENT
RESULT_ATTR_CONC_MICROMOL,,,,,,,,100,,100,100,100
1,117686903,51003644,CC(C)(C)C1=CC=C(C=C1)N([C@@H](C2=CN=CC=C2)C(=O)NC(C)(C)C)C(=O)C3=CN=CN3.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Active,100,,,97.6,1.1,96.5,97.7,98.8
2,117686898,51003636,CC(C)(C)C1=CC=C(C=C1)N(C(C2=NC=CN=C2)C(=O)NC(C)(C)C)C(=O)C3=CC=CO3,Active,98,,,96.2,0.4,95.8,96.4,96.5
3,124768032,53308733,CC(C)(C)NC(=O)C(C1=CN=CC=C1)N(C2=CC=C(C=C2)C3=CC=CC=C3)C(=O)C4=CC=CO4.C(=O)(C(F)(F)F)O,Active,97,,,94.8,0.4,95.2,94.4,94.9
4,117686897,51003635,CC(C)(C)C1=CC=C(C=C1)N(C(C2=CN=NC=C2)C(=O)NC(C)(C)C)C(=O)C3=CC=CO3,Active,96,,,94.3,1.4,92.7,95.4,94.9
5,124768024,53308717,CC(C)(C)NC(=O)C(C1=CN=CC=C1)N(C2=CC=C(C=C2)C3=C(C(=CC=C3)F)F)C(=O)C4=CC=CO4.C(=O)(C(F)(F)F)O,Active,92,,,90.2,0.4,90.6,90,89.9
6,124768030,53308729,CC1=C(C(=NO1)C)C2=CC=C(C=C2)N(C(C3=CN=CC=C3)C(=O)NC(C)(C)C)C(=O)C4=CC=CO4.C(=O)(C(F)(F)F)O,Active,87,,,85.1,0.4,85.5,85.1,84.7
7,117686907,51003649,CC(C)(C)NC(=O)C(C1=CN=CC=C1)N(C2=CC=C(C=C2)CC3=CC=CC=C3)C(=O)C4=CC=CO4.C(=O)(C(F)(F)F)O,Active,79,,,77.6,4.9,73.8,75.9,83.2
8,124768019,53308707,CC(C)(C)NC(=O)C(C1=CN=CC=C1)N(C2=CC=C(C=C2)I)C(=O)C3=CC=CO3.C(=O)(C(F)(F)F)O,Active,67,,,66.3,0.6,66.2,66.9,65.7
9,124768023,53308715,CC(C)(C)NC(=O)C(C1=CN=CC=C1)N(C2=CC=C(C=C2)C3=CN=CC=C3)C(=O)C4=CC=CO4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Active,65,,,64.1,1,64.7,62.9,64.7
10,117686901,51003640,CC(C)(C)C1=CC=C(C=C1)N(C(C2=CC=NC=C2)C(=O)NC(C)(C)C)C(=O)C3=CC=CO3.C(=O)(C(F)(F)F)O,Active,61,,,60.2,5.6,53.8,63.5,63.3
11,124768027,53308723,CC(C)(C)NC(=O)C(C1=CN=CC=C1)N(C2=CC=C(C=C2)C3=CC=CN3C(=O)OC(C)(C)C)C(=O)C4=CC=CO4.C(=O)(C(F)(F)F)O,Active,58,,,56.9,0.5,57.1,56.3,57.2
12,124768020,53308709,CC(C)(C)NC(=O)C(C1=CN=CC=C1)N(C2=CC=C(C=C2)OCC3=CC=CC=C3)C(=O)C4=CC=CO4.C(=O)(C(F)(F)F)O,Active,54,,,53.2,0.7,52.6,53,54
13,124768029,53308727,CC(C)(C)NC(=O)C(C1=CN=CC=C1)N(C2=CC=C(C=C2)OC3=CC=CC(=C3)OC)C(=O)C4=CC=CO4.C(=O)(C(F)(F)F)O,Active,53,,,52,1,50.9,52.5,52.7
14,117686902,51003642,CC(C)(C)C1=CC=C(C=C1)N(C(C2=CN=CC=C2)C(=O)NC(C)(C)C)C(=O)C3=CN(C=N3)C.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Active,52,,,51.3,4.1,47.1,55.4,51.3
15,124768025,53308719,CC(C)(C)NC(=O)C(C1=CN=CC=C1)N(C2=CC=C(C=C2)C3=CN=CN=C3)C(=O)C4=CC=CO4.C(=O)(C(F)(F)F)O,Inactive,49,,,48.6,1,47.4,49.1,49.3
16,117686908,51003651,CC(C)(C)C1=CC=C(C=C1)N([C@H](C2=CN=CC=C2)C(=O)NC(C)(C)C)C(=O)C3=CN=CN3.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Inactive,48,,,47.1,3,44.4,50.3,46.5
17,119526631,53308706,CC(C)(C)C1=CC=C(C=C1)N(CC2=CN=CC=C2)C(=O)C3=CN=CN3.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Inactive,47,,,46.8,0.5,46.3,46.8,47.2
18,124768026,53308721,CC(C)(C)NC(=O)C(C1=CN=CC=C1)N(C2=CC=C(C=C2)C3=CC(=NC=C3)F)C(=O)C4=CC=CO4.C(=O)(C(F)(F)F)O,Inactive,41,,,40.3,0.6,40.5,39.6,40.7
19,124768031,53308731,CC(C)(C)NC(=O)C(C1=CN=CC=C1)N(C2=CC=C(C=C2)OC3=CC=CC=C3)C(=O)C4=CC=CO4.C(=O)(C(F)(F)F)O,Inactive,41,,,40.9,0.8,40.4,40.5,41.7
20,124768028,53308725,CC(C)(C)NC(=O)C(C1=CN=CC=C1)N(C2=CC=C(C=C2)C3=CC=NC=C3)C(=O)C4=CC=CO4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Inactive,28,,,27.8,0.7,26.9,28.3,28.1
21,117686905,51003646,CC(C)(C)C1=CC=C(C=C1)N(C(C2=NNN=C2)C(=O)NC(C)(C)C)C(=O)C3=CC=CO3,Inactive,23,,,22.7,4.4,17.8,26.2,24.1
22,117686906,51003647,CC(C)(C)C1=CC=C(C=C1)N(C(C2=CN=CN2)C(=O)NC(C)(C)C)C(=O)C3=CC=CO3.C(=O)(C(F)(F)F)O,Inactive,23,,,22.8,9.5,16.6,18.1,33.7
23,124768022,53308713,CC(C)(C)C1=CC=C(C=C1)N(C(C2=CN=CC=C2)C(=O)NC(C)(C)C)C(=O)C3=CC=C(O3)C(F)(F)F.C(=O)(C(F)(F)F)O,Inactive,18,,,17.8,1.2,19,17.9,16.6
24,117686899,51003637,CC(C)(C)C1=CC=C(C=C1)N(C(C2=CNN=C2)C(=O)NC(C)(C)C)C(=O)C3=CC=CO3,Inactive,16,,,16.1,4,11.6,17.2,19.5
25,124768021,53308711,CC(C)(C)C1=CC=C(C=C1)N(C(C2=CN=CC=C2)C(=O)NC(C)(C)C)C(=O)C3=CC4=CC=CC=C4O3.C(=O)(C(F)(F)F)O,Inactive,14,,,14.3,0.6,14.9,14.3,13.7
26,117686904,53297485,CC(C)(C)C1=CC=C(C=C1)N(C(C2=CC=NN2)C(=O)NC(C)(C)C)C(=O)C3=CC=CO3,Inactive,6,,,6.3,8.2,-1.9,6.6,14.4
27,117686900,51003638,CC(C)(C)C1=CC=C(C=C1)N(C(C2=CC=CC=N2)C(=O)NC(C)(C)C)C(=O)C3=CC=CO3.C(=O)(C(F)(F)F)O,Inactive,0,,,0.7,12.6,-11.3,-0.4,13.9
28,117686909,51003653,CC1=NC=C(C=C1)C(C(=O)NC(C)(C)C)N(C2=CC=C(C=C2)C(C)(C)C)C(=O)C3=CC=CO3.C(=O)(C(F)(F)F)O,Inactive,0,,,-4.1,6.8,2.8,-4.2,-10.8
