PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Average IC50,Standard Error,Inhibition at 120 uM [1],Inhibition at 100 uM [1],Inhibition at 80 uM [1],Inhibition at 60 uM [1],Inhibition at 40 uM [1],Inhibition at 20 uM [1],Inhibition at 10 uM [1],Inhibition at 5 uM [1],Inhibition at 2.5 uM [1],Inhibition at 1.25 uM [1],Inhibition at 0.625 uM [1],Inhibition at 0.313 uM [1],Inhibition at 120 uM [2],Inhibition at 100 uM [2],Inhibition at 80 uM [2],Inhibition at 60 uM [2],Inhibition at 40 uM [2],Inhibition at 20 uM [2],Inhibition at 10 uM [2],Inhibition at 5 uM [2],Inhibition at 2.5 uM [2],Inhibition at 1.25 uM [2],Inhibition at 0.625 uM [2],Inhibition at 0.313 uM [2],Inhibition at 120 uM [3],Inhibition at 100 uM [3],Inhibition at 80 uM [3],Inhibition at 60 uM [3],Inhibition at 40 uM [3],Inhibition at 20 uM [3],Inhibition at 10 uM [3],Inhibition at 5 uM [3],Inhibition at 2.5 uM [3],Inhibition at 1.25 uM [3],Inhibition at 0.625 uM [3],Inhibition at 0.313 uM [3],Incomplete Inhibition at Highest Concentration Tested
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,BOOLEAN
RESULT_DESCR,,,,,,,,The concentration at which 50 percent of the activity in the inhibition assay is observed; (IC50) shown in micromolar.,Standard error for value of IC50.,Value of % Inhibiton at 120 uM compound concentration; replicate one.,Value of % Inhibiton at 100 uM compound concentration; replicate one.,Value of % Inhibiton at 80 uM compound concentration; replicate one.,Value of % Inhibiton at 60 uM compound concentration; replicate one.,Value of % Inhibiton at 40 uM compound concentration; replicate one.,Value of % Inhibiton at 20 uM compound concentration; replicate one.,Value of % Inhibiton at 10 uM compound concentration; replicate one.,Value of % Inhibiton at 5 uM compound concentration; replicate one.,Value of % Inhibiton at 2.5 uM compound concentration; replicate one.,Value of % Inhibiton at 1.25 uM compound concentration; replicate one.,Value of % Inhibiton at 0.625 uM compound concentration; replicate one.,Value of % Inhibiton at 0.313 uM compound concentration; replicate one.,Value of % Inhibiton at 120 uM compound concentration; replicate two.,Value of % Inhibiton at 100 uM compound concentration; replicate two.,Value of % Inhibiton at 80 uM compound concentration; replicate two.,Value of % Inhibiton at 60 uM compound concentration; replicate two.,Value of % Inhibiton at 40 uM compound concentration; replicate two.,Value of % Inhibiton at 20 uM compound concentration; replicate two.,Value of % Inhibiton at 10 uM compound concentration; replicate two.,Value of % Inhibiton at 5 uM compound concentration; replicate two.,Value of % Inhibiton at 2.5 uM compound concentration; replicate two.,Value of % Inhibiton at 1.25 uM compound concentration; replicate two.,Value of % Inhibiton at 0.625 uM compound concentration; replicate two.,Value of % Inhibiton at 0.313 uM compound concentration; replicate two.,Value of % Inhibiton at 120 uM compound concentration; replicate three.,Value of % Inhibiton at 100 uM compound concentration; replicate three.,Value of % Inhibiton at 80 uM compound concentration; replicate three.,Value of % Inhibiton at 60 uM compound concentration; replicate three.,Value of % Inhibiton at 40 uM compound concentration; replicate three.,Value of % Inhibiton at 20 uM compound concentration; replicate three.,Value of % Inhibiton at 10 uM compound concentration; replicate three.,Value of % Inhibiton at 5 uM compound concentration; replicate three.,Value of % Inhibiton at 2.5 uM compound concentration; replicate three.,Value of % Inhibiton at 1.25 uM compound concentration; replicate three.,Value of % Inhibiton at 0.625 uM compound concentration; replicate three.,Value of % Inhibiton at 0.313 uM compound concentration; replicate three.,"Whether an artifact in the curve fit due to limited compound solubility and/or induced aggregation of the enzyme was observed, resulting in incomplete inhibition at the highest concentration tested, one of true or false."
RESULT_UNIT,,,,,,,,MICROMOLAR,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,NONE
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,120,100,80,60,40,20,10,5,2.5,1.25,0.625,0.313,120,100,80,60,40,20,10,5,2.5,1.25,0.625,0.313,120,100,80,60,40,20,10,5,2.5,1.25,0.625,0.313,
1,119526631,53308706,CC(C)(C)C1=CC=C(C=C1)N(CC2=CN=CC=C2)C(=O)C3=CN=CN3.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Inactive,58,,,19.6,4.35,47.3,45.6,41.4,36.1,31.8,23.3,19.9,19.9,10.8,12.8,12.3,9.1,44.1,40.3,37.9,32.2,27.3,19.4,15.8,6.8,7,8.2,4.1,1.2,44.6,41.4,37.6,31.7,31,17.4,19.8,7.5,7.4,5.7,10.9,7.6,true
2,124768032,53308733,CC(C)(C)NC(=O)C(C1=CN=CC=C1)N(C2=CC=C(C=C2)C3=CC=CC=C3)C(=O)C4=CC=CO4.C(=O)(C(F)(F)F)O,Active,100,,,2.3,0.11,96.2,96,95.7,94.7,93.2,87.1,75.2,64.6,49.5,35.7,29.4,19.1,96.1,96,95.9,94.9,93.5,87.1,76.7,64.1,50.6,38.7,27,16,96.2,95.9,95.7,94.8,93,85.9,75.5,59.4,46.4,34.9,23,11.3,false
3,124768024,53308717,CC(C)(C)NC(=O)C(C1=CN=CC=C1)N(C2=CC=C(C=C2)C3=C(C(=CC=C3)F)F)C(=O)C4=CC=CO4.C(=O)(C(F)(F)F)O,Active,97,,,3.2,0.14,91.1,91.3,91.4,90.9,89.6,85.8,65.2,58.7,44,31.9,16.1,7.5,91.2,91.3,91.5,90.7,89.8,81.2,64.7,56.5,41.4,28.8,14.9,6.4,91,91.4,91.4,90.6,89.9,80.9,64.8,57.8,41.5,28.7,15,3.2,false
4,124768025,53308719,CC(C)(C)NC(=O)C(C1=CN=CC=C1)N(C2=CC=C(C=C2)C3=CN=CN=C3)C(=O)C4=CC=CO4.C(=O)(C(F)(F)F)O,Active,94,,,4.5,0.23,90.2,90.4,90.5,89.9,88.5,84.2,61.2,53.9,37.5,23.9,6.3,-3.3,90.3,90.4,90.6,89.7,88.7,79,60.6,51.5,34.6,20.5,5,-4.6,90.1,90.5,90.5,89.6,88.8,78.7,60.7,53,34.7,20.4,5.1,-8.1,false
5,124768030,53308729,CC1=C(C(=NO1)C)C2=CC=C(C=C2)N(C(C3=CN=CC=C3)C(=O)NC(C)(C)C)C(=O)C4=CC=CO4.C(=O)(C(F)(F)F)O,Inactive,77,,,11.7,0.92,89.2,86.7,84.6,78.3,73.4,55.7,39.5,30.2,22.9,16.5,10.8,8.5,88.7,86.1,82.8,78.3,70,53.4,37.4,27.1,20.9,15.2,9.3,7,89.2,85.4,83.7,78.1,71.6,56.9,43.5,31,21.8,13.6,11.4,7.7,false
