PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Repeated sucessfully (out of two attempts)
RESULT_TYPE,,,,,,,,STRING
RESULT_UNIT,,,,,,,,NONE
1,49641071,5727207,CC1=C(SC(=N1)N/N=C\C2=CC3=C(C=C2)OCO3)C,Active,90,,,2
2,24819776,1485477,CC1=CC(=NC2=C1C(=NN2C)NC(=O)CCl)C,Active,90,,,2
3,17514810,7245310,C1=CC=C(C=C1)/C=C/C=N/NC(=S)N,Active,90,,,2
4,22400821,15944722,CC1=CC(=C2C(=C1)N=C(S2)NNC(=O)C3=CC=C(C=C3)S(=O)(=O)N4CCC5=CC=CC=C5C4)C,Active,90,,,2
5,24826268,2531772,CC(=O)N(C)CC1=CC=C(C=C1)C(=O)CCl,Active,90,,,2
6,14719157,11834505,CC1(C2CCC1(C(=O)N(C2=O)CSC(=S)N/N=C\C3=CC=C(C=C3)N(C)C)C)C,Active,90,,,2
7,22410464,135401258,CC1=CC(=NC(=N1)SCC2=CC=C(C=C2)C(=O)N/N=C/C3=C(C(=CC=C3)O)O)C,Active,90,,,2
8,4248779,3242810,C1COCCN1CC2=CC(=C3C=CC=NC3=C2O)COCC4=CC=CC=C4,Active,90,,,2
9,14719358,791713,CNC(=O)OC1=CC2=C(C=C1)N=CC=C2,Active,90,,,2
10,17504375,1386886,CC1=CC=C(C=C1)C(=O)NC2=NC(=C(O2)C3=CC=CC=C3)C4=CC=CC=C4,Active,90,,,2
11,22403810,9688881,C/C(=N\NC(=S)NC)/C1=CC2=C(C=C1)OCCO2,Active,90,,,2
12,24783255,9590296,C1COC2=C(O1)C=CC(=C2)/C=N/NC(=S)N,Active,90,,,2
13,17511278,135479518,COC1=CC(=C(C=C1)/C=N/NC(=O)C2=NN(C(=N2)C3=CC=CC=C3)C4=CC=CC=C4)O,Active,90,,,2
14,17506534,5346381,CC1=CC=C(C=C1)N2C(=CC(=C2C)/C=N/NC(=S)N)C,Active,90,,,2
15,17410022,1472470,COC1=CC=C(C=C1)C(=O)OC2=NN(C(=O)C=C2)C3=CC=CC=C3,Active,90,,,2
16,17510302,12005169,CC1=CC(=CC=C1)CCNC(=O)C(=O)CC(=O)C2=CC=C(C=C2)OC,Active,90,,,2
