PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Relation,Standard Value,Activity Comment
RESULT_TYPE,,,,,,,,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Additional comments
1,242207269,15997213,CCN1CCN(CC1)CC2=NC3=C(C=C(C=C3)[N+](=O)[O-])C(=O)N2C4=CC=CC=C4F,Unspecified,,,,FC,=,1.8,
2,242335695,9550899,C1COCCN1CC2=NC3=C(C=C(C=C3)[N+](=O)[O-])C(=O)N2C4=CC=CC=C4F,Unspecified,,,,FC,=,0.3,
3,242584863,56951736,C1CN(CCN1)CC2=NC3=C(C=C(C=C3)[N+](=O)[O-])C(=O)N2C4=CC=CC=C4,Unspecified,,,,FC,>,7.8,
4,242584989,71301446,CN1CCN(C(=NC2=C(C=C(C(=C2)Cl)C#N)C(=O)NC3=CC=CC=C3)C1)C,Inconclusive,,,Potential missing data,FC,,,Not Determined
5,242585115,71301444,CN1CCN(C(=NC2=C(C=C(C=C2)[N+](=O)[O-])C(=O)NC3=CC=CC=C3F)C1)C,Unspecified,,,,FC,>,3.8,
6,242585318,56840688,CCN1CCN(CC1)CC2=NC3=C(C=C(C=C3)[N+](=O)[O-])C(=O)N2C4=CC(=CC=C4)F,Unspecified,,,,FC,=,7.1,
7,242586410,71301447,CN1CCN(C(=NC2=C(C=C(C=C2)F)C(=O)NC3=CC=CC=C3)C1)C,Inconclusive,,,Potential missing data,FC,,,Not Determined
8,242586424,46248362,C1CCN(CC1)CC2=NC3=C(C=C(C=C3)[N+](=O)[O-])C(=O)N2C4=CC=CC=C4F,Unspecified,,,,FC,=,0.4,
9,242586681,57339122,COC1=CC=C(C=C1)N2C(=NC3=C(C2=O)C=C(C=C3)[N+](=O)[O-])CN4CCNCC4,Unspecified,,,,FC,>,7.4,
10,242586857,71301450,CN1CCN(C(=NC2=C(C=C(C=C2)[N+](=O)[O-])C(=O)NC3=CC=C(C=C3)OC)C1)C,Unspecified,,,,FC,>,7.2,
11,242587224,56840686,CCN1CCN(CC1)CC2=NC3=C(C=C(C=C3)[N+](=O)[O-])C(=O)N2C4=CC=C(C=C4)F,Unspecified,,,,FC,=,5.9,
