PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Activity Comment
RESULT_TYPE,,,,,,,,STRING,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Additional comments
1,318383225,122185647,C1=C([C@H]([C@H]([C@@H]1N2C=NC3=C2C(=CN=C3N)F)O)O)CO,Inactive,,,Potential missing data,Activity,Not Active
2,318383226,122185648,C1=C([C@H]([C@H]([C@@H]1N2C=NC3=C2C(=CN=C3N)F)O)O)CCO,Inactive,,,Potential missing data,Activity,Not Active
3,318383227,122185649,CC1=CN=C(C2=C1N(C=N2)[C@@H]3C=C([C@H]([C@H]3O)O)CO)N,Inactive,,,Potential missing data,Activity,Not Active
4,318383228,46870146,C1=C([C@H]([C@H]([C@@H]1N2C=NC3=C(N=C(C=C32)F)N)O)O)CO,Inactive,,,Potential missing data,Activity,Not Active
5,318383229,122185650,C1=C([C@H]([C@H]([C@@H]1N2C=NC3=C(N=C(C=C32)F)N)O)O)CCO,Inactive,,,Potential missing data,Activity,Not Active
6,318383230,122185651,C1[C@@H]([C@H]([C@H]([C@@H]1N2C=NC3=C(N=C(C=C32)F)N)O)O)CO,Inactive,,,Potential missing data,Activity,Not Active
7,318383231,122185652,C1[C@@H]([C@H]([C@H]([C@@H]1N2C=NC3=C(N=C(C=C32)F)N)O)O)CCO,Inactive,,,Potential missing data,Activity,Not Active
8,318383232,122185653,C1[C@H]([C@@H]([C@@H]([C@H]1O)O)O)N2C=NC3=C(N=C(C=C32)F)N,Inactive,,,Potential missing data,Activity,Not Active
