PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Relation,Standard Value
RESULT_TYPE,,,,,,,,STRING,STRING,FLOAT
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM
1,475982118,166627330,CN1CCN(C2=NC3=C(C=C(C=C3)[N+](=O)[O-])C(=O)N(C21)C4=CC=C(C=C4)F)C,Unspecified,,,,Activity,=,2.9
2,475982961,166627752,CN1CCN(C2=NC3=C(C=C(C=C3)[N+](=O)[O-])C(=O)N(C21)C4=CC(=CC=C4)OC)C,Unspecified,,,,Activity,=,2.4
3,475984487,166628531,CN1CCN(C2=NC3=C(C=C(C=C3)[N+](=O)[O-])C(=O)N(C21)C4=CC=CC=C4)C,Unspecified,,,,Activity,=,2.6
4,475987391,166629981,CC1=NC=C(C=C1)C2=C3C(=CC(=C2)C#N)C(=O)N([C@H]4C(=N3)N(CCN4C)C)C5=CC(=C(C=C5)OC)F,Unspecified,,,,Activity,=,6.1
5,475988486,163322308,CC1=NC=C(C=C1)C2=C3C(=CC(=C2)C#N)C(=O)N(C4C(=N3)N(CCN4C)C)C5=CC(=C(C=C5)OC)F,Unspecified,,,,Activity,=,5.2
6,475993710,166633106,CN1CCN(C2=NC3=C(C=C(C=C3N4CCOCC4)C#N)C(=O)N(C21)C5=CC(=C(C=C5)OC)F)C,Unspecified,,,,Activity,=,2.5
7,475997929,166635223,CN1CCN(C2=NC3=C(C=C(C=C3)[N+](=O)[O-])C(=O)N(C21)C4=CC(=C(C=C4)OC)F)C,Unspecified,,,,Activity,=,3.7
8,475998037,166635276,CN1CCN(C2=NC3=C(C=C(C=C3)[N+](=O)[O-])C(=O)N(C21)C4=CC=C(C=C4)OC)C,Unspecified,,,,Activity,=,5.5
9,475999358,166635931,CC1=NC=C(C=C1)C2=C3C(=CC(=C2)C#N)C(=O)N([C@@H]4C(=N3)N(CCN4C)C)C5=CC(=C(C=C5)OC)F,Unspecified,,,,Activity,=,2.7
