PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
1,103176786,3009932,CCOP(=O)(CC(C(C)O)OCN1C=CC(=O)NC1=O)O,Unspecified,,,,Dose,=,320,ug ml-1
2,103176820,3005522,CC1=CN(C(=O)NC1=O)COC(CP(=O)(O)O)C(C)O,Unspecified,,,,Dose,=,320,ug ml-1
3,103176962,3009933,CC1=CN(C(=O)NC1=O)COC(CP(=O)(O)O)C(CO)O,Unspecified,,,,Dose,=,320,ug ml-1
4,103177040,44269600,CCOP(=O)(C[C@@H]([C@H](C)OCC1=CC=CC=C1)O)OCC,Unspecified,,,,Dose,=,320,ug ml-1
5,103177059,3005524,CC(C(CP(=O)(O)O)OCN1C=CC(=NC1=O)N)O,Unspecified,,,,Dose,=,320,ug ml-1
6,103177060,3009931,CCOP(=O)(CC(C(C)O)OCN1C=C(C(=O)NC1=O)C)O,Unspecified,,,,Dose,=,320,ug ml-1
7,103177073,44269612,CCOP(=O)(C[C@@H]([C@H](COCC1=CC=CC=C1)OCC2=CC=CC=C2)O)OCC,Unspecified,,,,Dose,=,320,ug ml-1
8,103177074,3005523,CC(C(CP(=O)(O)O)OCN1C=CC(=O)NC1=O)O,Unspecified,,,,Dose,=,320,ug ml-1
9,103177166,580961,CC1C(CP(=O)(O1)OC2=CC=CC=C2)OCN3C=C(C(=O)NC3=O)C,Unspecified,,,,Dose,=,320,ug ml-1
