PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,IC50 Modifier,IC50,IC50 Std Dev Modifier,IC50 Std Dev,IC50 Hill Slope,IC50 NormChi2,Max % CPE Inhibition,Conc @ Max % CPE Inhibition,Average % CPE Inhibition @ 133.3 uM,Average % CPE Inhibition @ 66.6 uM,Average % CPE Inhibition @ 33.3 uM,Average % CPE Inhibition @ 16.65 uM,Average % CPE Inhibition @ 8.32 uM,Average % CPE Inhibition @ 4.16 uM,Average % CPE Inhibition @ 2.08 uM,Average % CPE Inhibition @ 1.04 uM,Average % CPE Inhibition @ 0.52 uM,Average % CPE Inhibition @ 0.26 uM,Average % CPE Inhibition @ 0.13 uM
RESULT_TYPE,,,,,,,,STRING,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_UNIT,,,,,,,,,MICROMOLAR,,NONE,NONE,NONE,PERCENT,MICROMOLAR,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,,,,,,,133.5,66.6,33.3,16.65,8.32,4.16,2.08,1.04,0.52,0.26,0.13
1,85098860,3170726,CN(C)CCCN(C1=NC(=CS1)C2=CC=C(C=C2)OC)C(=O)C3=CC=CC=C3Cl,Active,99,,,,5.37,,0.36,1.7,8.52,99.82,33.33,98.92,99.48,99.61,91.52,68.55,30.14,26.16,5.44,9.43,-5.01,
2,85248347,3132203,COC1=CC=CC(=C1)C(C2=C(C3=C(C=CC=N3)C=C2)O)NC(=O)C4=CC=CC=C4,Active,99,,,,5.63,,0.68,1.03,11.92,99.66,66.6,,99,75.74,67.94,62.13,50.93,32.36,10.3,4.47,-9.9,-8.63
3,85256217,20877827,CC1CCCN(C1)CCCNC(=O)C2=CC3=C(S2)C4=C(C=CC=C4OC3)C,Active,99,,,,6,,0.51,3.18,14.57,99.65,16.65,,99.22,99.33,99.22,71.53,27.08,-5.82,8.96,-4.19,-6.29,-21.82
4,85098867,16187362,CCOC(=O)C1(CCN(CC1)C2CCN(CC2)C(C)C)CC3=CC=CC=C3C(F)(F)F,Active,99,,,,6.36,,0.37,2.33,8.59,99.32,133.3,99.02,99,98.39,92.55,60.81,34.52,-4.33,9.48,-10.58,-0.81,
5,85098857,3223635,CN(C)CCCNC(=S)N1CCN(CC1)C2=NC(=CS2)C3=CC=CC=C3,Active,99,,,,6.88,,0.46,2.48,10.28,99.5,33.33,98.6,98.91,99.28,98.44,54.76,27.87,1.97,8.85,-14.58,0.61,
6,85248336,2523144,C1CC2=C(C1)C=C(C=C2)NC(=O)CSC3=NC4=CC=CC=C4C(=O)N3C5=CC=C(C=C5)Cl,Active,99,,,,7.56,,1.22,1.31,18.08,80.57,16.65,,74.28,74.53,77.27,60.57,47.57,-6.15,6.58,-12.55,-14.73,-11.69
7,87218735,44537708,CC1=CC2=C(C=C1)N=C(N(C2=O)C3=CC=CC=C3)SCC(=O)NC4=CC5=C(CCC5)C=C4,Active,99,,,,7.73,,2939.1,23.14,10.16,95.58,66.65,94.71,93.91,94.1,93.46,84.83,-11.51,8.92,-5.36,9.5,-2.26,
8,85256216,20877745,CC1CCN(CC1)CCCNC(=O)C2=CC3=C(S2)C4=C(C=CC=C4OC3)C,Active,99,,,,8.52,,0.32,4.76,9.01,99.5,66.6,,99.04,99.04,92.8,48.26,-1.33,6.37,-5.77,-2.46,-8.09,4.94
9,85098859,133407,CN(C)CCCN1C2=C(CCC3=C1C=CC(=C3)[N+](=O)[O-])C=C(C=C2)[N+](=O)[O-],Active,99,,,,8.59,,0.56,2.65,10.53,98.76,133.3,98.17,98.4,98.37,96.35,37.22,23.06,5.9,9.82,2.51,12.12,
10,85256220,20877968,CC1CCCN(C1)CCCNC(=O)C2=CC3=C(S2)C4=CC=CC=C4OC3,Active,99,,,,9.94,,0.72,2.77,11.75,99.83,33.3,,99.17,98.36,79.12,39.14,7.16,0.85,-7.94,-0.12,-6.63,-7.31
11,85256222,16010442,CCCN1CCN(CC1)CCCNC(=O)C2=CC3=C(S2)C4=C(C=CC=C4OC3)C,Active,99,,,,10.45,,0.93,2.74,14.45,99.05,33.3,,98.05,98.68,75.06,38.35,1.88,6.91,-16.12,-11.62,-26.09,-9.3
12,85256221,20877970,CC1CCCC(N1CCCNC(=O)C2=CC3=C(S2)C4=CC=CC=C4OC3)C,Active,98,,,,11.75,,0.9,5.23,13.65,99.74,33.3,,98.82,97.76,86.62,13.29,11.83,-13.81,-4.31,-20.19,-10.19,-11.48
13,87219061,3713338,C1CC2=NC3=C(C=C(C=C3)Br)C(N2C1)O,Active,98,,,,14.46,,2.48,1.42,28.25,100.05,66.65,99.54,99.79,99.74,98.33,89.08,45.29,11.56,3.98,3.03,-2.81,
14,85256219,20877886,CC1CC(CN(C1)CCCNC(=O)C2=CC3=C(S2)C4=CC=CC=C4OC3)C,Active,98,,,,15.46,,1.03,3.54,12.57,99.4,66.6,,99.06,97.7,55.2,9.6,16.9,-16.22,7.05,3.02,2.76,-11.4
15,85256218,20877885,CC1CCN(CC1)CCCNC(=O)C2=CC3=C(S2)C4=CC=CC=C4OC3,Active,97,,,,18.19,,1.9,2.17,15.11,99.32,66.6,,99.23,88.91,30.05,27.67,4.21,21.91,-0.64,18.2,-11.88,12.93
16,85248328,3590942,C1=CC=C(C(=C1)C(C2=C(C3=C(C=CC=N3)C=C2)O)NC4=NC=CS4)O,Active,97,,,,20.86,,2.48,1.17,12.16,93.21,66.6,,90.76,58.58,35.99,28.97,9.34,21.05,-0.6,13.46,-13.06,11.43
17,87218708,44537688,COC1=CC=C(C=C1)C2=CSC(=N2)N(CC=C)C(=O)C3=CC=CC=C3Cl,Active,93,,,,50.07,,5.59,3.54,19.88,88.99,133.3,87.44,72.44,26.47,-31.71,-29.63,-14.3,-12.8,-1.54,-19.01,-5.78,
18,87219062,928277,C1CC2=NC3=C(CN2C1)C=C(C=C3)Br,Active,91,,,,60.26,,4.25,5.78,13.76,97.22,133.3,96.46,64.37,2.57,-5.73,-18.93,-15.63,-18.19,6.5,-7.09,13.78,
19,85248326,2347136,COC1=CC=CC(=C1)NC(=O)CSC2=NC3=CC=CC=C3C(=O)N2C4=CC=C(C=C4)F,Active,91,,,,64.23,,3.99,4.82,14.79,61.07,66.6,,54.32,4.53,-6.36,4.76,-10.94,-5.42,-14.2,-0.19,-16.15,2.8
20,87219057,44537804,CC1=C(C(=C(C=C1)F)C(=O)OC2=CC(=NN2CC3=CC=C(C=C3)OC)C)F,Active,81,,,,130.58,>,9999,22.69,17.16,67.23,133.3,61.51,-17.2,-3.79,-25.03,-4.32,-22.47,-3.16,-15.09,-0.59,-8.6,
21,87218712,44537690,C1CC2=NC3=C(C=C(C=C3Cl)Cl)C(N2C1)O,Active,100,,,<,0.26,,22.97,-11.61,20.91,38.66,16.66,-21.95,-11.58,-28.14,8.4,-17.98,14.06,-7.01,-5.82,-9.17,7.41,
22,87235615,44552572,COC1=CC=CC2=C1N=C(N(C2=O)C3=CC=CC=C3)SCC(=O)NC4=CC5=C(CCC5)C=C4,Active,100,,,<,0.26,,0,-0.06,19.98,43.22,33.33,24.95,28.75,33.74,24.45,4.29,6.54,-11.11,-3.78,-9.34,-6.66,
23,87219058,44537805,CC1=NN(C(=C1)OC(=O)C2=C(C=CC=C2F)F)CC3=CC=C(C=C3)OC,Active,81,,,>,133.3,,1474.47,1.32,17.55,48.11,66.65,9.36,15.55,-6,1.16,-9.9,0.45,-9.33,13.07,-21.05,8.4,
24,87219059,44537806,CC1=NN(C(=C1)OC(=O)C2=CC=CC=C2)CC3=CC=C(C=C3)OC,Active,81,,,>,133.3,,5944.19,18.29,16.58,52.48,133.3,42.8,-11.72,-12.17,-22.86,-20.03,-14.68,-7.92,-19.91,-5.76,-5.68,
25,87235614,44552571,CC1=C2C(=CC=C1)C(=O)N(C(=N2)SCC(=O)NC3=CC4=C(CCC4)C=C3)C5=CC=CC=C5,Active,81,,,>,133.3,,295.39,0.82,11.92,41.07,133.3,28.47,11.1,19.62,5.21,9.27,-11.13,8.25,-4.38,-0.61,-8.64,
26,85285666,928277,C1CC2=NC3=C(CN2C1)C=C(C=C3)Br,Active,91,,,>,66.6,,33.16,1.02,12.06,50.9,66.6,,43.04,14.45,16.88,9.35,10.83,-7.63,5.88,0.33,0.88,0.54
27,85248327,2357575,COC1=CC=C(C=C1)NC(=O)CSC2=NC3=CC=CC=C3C(=O)N2C4=CC=C(C=C4)F,Active,91,,,>,66.6,,30.53,3.66,14.78,39.18,66.6,,26.01,2.94,-0.75,-4.21,5.53,-7.2,10.23,-15.74,-1.5,-24.42
28,85735952,44459949,CCCCN(C1=NC(=CS1)C2=CC=C(C=C2)OC)C(=O)C3=CC=CC=C3Cl,Active,91,,,>,66.6,,135.7,0.83,10.64,32.12,66.6,,24.23,24.21,9.14,0.69,1.38,8.25,-11.72,15.47,-3.43,12.88
29,85735954,44459951,CC(C)N(C1=NC(=CS1)C2=CC=C(C=C2)OC)C(=O)C3=CC=CC=C3Cl,Active,91,,,>,66.6,,8.76,1.97,13.15,48.42,66.6,,44.86,33.93,-7.62,-7.08,-14.25,6.35,-17.08,7.5,-11.5,-6.43
30,85285603,44251472,COC1=CC=C(C=C1)C2=CSC(=N2)N(CCCBr)C(=O)C3=CC=CC=C3Cl,Active,91,,,>,66.6,,20.94,2.14,10.9,41.76,66.6,,31.76,8.52,1.2,9.4,-2.54,-0.4,-0.78,4.52,-5.84,4.31
31,85098866,2482957,C1CC2=C(C1)C=C(C=C2)NC(=O)CSC3=NC4=CC=CC=C4C(=O)N3C5=C(C=C(C=C5)F)F,Inactive,0,,,,,,,,,16.12,16.66,2.77,7.89,-4.68,6.46,1.13,4.63,-6.3,0.06,6.45,1.06,
32,85098856,2486797,C1CC2=C(C1)C=C(C=C2)NC(=O)CSC3=NC4=CC=CC=C4C(=O)N3C5=CC=C(C=C5)F,Inactive,0,,,,,,,,,23.14,33.33,-15.74,-11.63,9.04,-6.53,3.24,-8.61,-0.63,-15.37,1.55,-12.69,
33,85098868,2642268,C1COCCN1C2=CC=C(C=C2)NC(=O)CSC3=NC4=CC=CC=C4C(=O)N3C5=C(C=C(C=C5)F)F,Inactive,0,,,,,,,,,23.72,33.33,-5.87,-3.39,8.33,-2.36,1.17,-0.04,3.43,-1.66,2.42,-8.16,
34,87219056,44537803,CC1=NN(C(=C1)OC(=O)C2=C(C=CC=C2F)F)CC3=CC=CC=C3,Inactive,0,,,,,,,,,12.37,0.52,-10.88,-7.87,-15,-12.79,-17.52,-7.73,-15.35,-11.62,-4.01,-6.35,
35,87218710,44537689,C1CC2=NC3=C(C(N2C1)O)C(=CC=C3)F,Inactive,0,,,,,,,,,4.67,133.3,0.79,-9.7,-15.26,-31.12,-17.51,-15.29,-13.4,-24.86,-2.36,-13.84,
36,87218713,44537691,C1CCN2C(C3=C(C=CC=C3F)N=C2C1)O,Inactive,0,,,,,,,,,16.12,8.33,-13.05,-9.36,-9.04,-15.69,2.57,-6.77,-8.1,-14.5,2.9,-6.71,
37,87218714,44537692,C1CCN2C(C3=C(C=CC(=C3)Br)N=C2C1)O,Inactive,0,,,,,,,,,4.8,4.17,-26.51,-33.85,-37.96,-23.85,-18.01,-2.39,-10.23,-5.42,-18,-9.82,
38,87218716,44537693,C1CCC2=NC3=C(C=C(C=C3)Br)C(N2CC1)O,Inactive,0,,,,,,,,,11.05,0.52,-33.86,-92.23,-85.21,-84.96,-52.46,-39.77,-14.92,-19.71,-2.16,-17.48,
39,87218717,44537694,C1CCC2=NC3=C(C(N2CC1)O)C(=CC=C3)F,Inactive,0,,,,,,,,,14.6,16.66,-30.53,-14.79,-14.12,2.93,-9.51,-2.88,-10.45,-2.61,-22.13,1.72,
40,87225575,44543529,C1CC2=NC3=C(C=C(C=C3)I)C(N2C1)O,Inactive,0,,,,,,,,,24.25,0.52,-61.08,-35.35,-23.99,-26.32,-17.63,-15.37,3.88,-4.95,12.06,-4,
41,87218736,44537709,C1CC2=C(C1)C=C(C=C2)NC(=O)CSC3=NC4=C(C=C(C=C4)F)C(=O)N3C5=CC=CC=C5,Inactive,0,,,,,,,,,26.47,1.04,-96.13,-62.79,-58.6,-24.26,-15.69,-8.18,-3.8,2.18,-3.98,0.04,
42,87235612,44552569,C1CC2=C(C1)C=C(C=C2)NC(=O)CSC3=NC4=C(C(=CC=C4)F)C(=O)N3C5=CC=CC=C5,Inactive,0,,,,,,,,,26.51,16.66,19.44,-13.98,8.56,11.36,1.61,-4.36,3.96,-11.28,10.82,-2.13,
43,87235613,44552570,C1CC2=C(C1)C=C(C=C2)NC(=O)CSC3=NC4=C(C(=CC=C4)I)C(=O)N3C5=CC=CC=C5,Inactive,0,,,,,,,,,23.96,4.17,-11.38,7,-9.8,11.41,2.7,14.05,2.08,15.63,-10.73,10.57,
44,85285656,730195,CC1=CC2=C(C=C1)N=C3CCCN3C2=O,Inactive,0,,,,,,,,,20.92,1.04,,3.91,-10.86,-9.51,-13.23,-9.9,-17.97,6.18,-0.2,0.44,-8.57
45,85248342,5136400,C1CC2=NC3=C(C=C(C=C3)N)C(=O)N2C1,Inactive,0,,,,,,,,,13.79,0.26,,-26.06,-29.42,-4.7,-20.62,1.07,-18.14,-4.09,-17.52,-10.94,-20.94
46,85248333,2497167,COC1=CC=CC(=C1)N2C(=O)C3=CC=CC=C3N=C2SCC(=O)NC4=CC5=C(CCC5)C=C4,Inactive,0,,,,,,,,,18.71,0.13,,-32.26,-26.49,-23.58,-8.4,-17.68,5.33,-15.11,-4.43,-3.09,4.28
47,85248332,2482839,C1CC2=C(C1)C=C(C=C2)NC(=O)CSC3=NC4=CC=CC=C4C(=O)N3C5=CC=CC=C5F,Inactive,0,,,,,,,,,18.17,1.04,,-5.29,-22.6,-2.06,-14.45,7.26,-5.72,-0.18,-20.39,2.97,-12.99
