PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,CC50 Modifier,CC50,CC50 Std Dev Modifier,CC50 Std Dev,CC50 Hill Slope,CC50 Normalized Chi2,Avg % Cell Viability @ 133.3 uM,Avg % Cell Viability @ 66.6 uM,Avg % Cell Viability @ 33.3 uM,Avg % Cell Viability @ 16.65 uM,Avg % Cell Viability @ 8.32 uM,Avg % Cell Viability @ 4.16 uM,Avg % Cell Viability @ 2.08 uM,Avg % Cell Viability @ 1.04 uM,Avg % Cell Viability @ 0.52 uM,Avg % Cell Viability @ 0.26 uM,Avg % Cell Viability @ 0.13 uM,Max % Viability,Max Viability Conc,Min % Viability,Min Viability Conc
RESULT_TYPE,,,,,,,,STRING,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,,,,,,,,,,,,,,,,,,Maximum % Viability observed across all concentrations.,Concentration at which Maximum % Viability was observed.,Minimum % Viability observed across all concentrations.,Concentration at which Minimum % Viability was observed.
RESULT_UNIT,,,,,,,,,MICROMOLAR,,NONE,NONE,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,MICROMOLAR,PERCENT,MICROMOLAR
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,,,,,133.3,66.6,33.3,16.65,8.32,4.16,2.08,1.04,0.52,0.26,0.13,,,,
1,85248347,3132203,COC1=CC=CC(=C1)C(C2=C(C3=C(C=CC=N3)C=C2)O)NC(=O)C4=CC=CC=C4,Active,100,,,,6.07,,0.554,-1.14,9.54,,8.9,21.14,28.36,33.31,56.28,76.68,91.26,104.35,106.95,98.68,113.99,0.26,5.64,66.6
2,85098857,3223635,CN(C)CCCNC(=S)N1CCN(CC1)C2=NC(=CS2)C3=CC=CC=C3,Active,98,,,,13.91,,2.144,-1.04,15.33,1.76,1.58,20.4,66.51,69.69,73.89,82.13,83.2,83.44,85.33,,87.96,0.26,1.5,66.65
3,85098859,133407,CN(C)CCCN1C2=C(CCC3=C1C=CC(=C3)[N+](=O)[O-])C=C(C=C2)[N+](=O)[O-],Active,98,,,,18.53,,2.215,-1.27,13.16,2.04,1.98,32.31,68.8,75.67,78.99,84.08,84.31,89.48,88.46,,93.5,0.52,1.72,66.65
4,85256217,20877827,CC1CCCN(C1)CCCNC(=O)C2=CC3=C(S2)C4=C(C=CC=C4OC3)C,Active,98,,,,19.4,,1.533,-2.97,13.36,,1.66,9.68,68.97,82.57,85.5,88.79,83.29,89,87.74,97.94,107.86,0.13,1.41,66.6
5,85256220,20877968,CC1CCCN(C1)CCCNC(=O)C2=CC3=C(S2)C4=CC=CC=C4OC3,Active,98,,,,19.64,,4.571,-0.61,14.76,,2.15,57.3,62.52,71.17,78.66,73.66,85.69,77.65,85.26,87.32,94.11,0.13,1.98,66.6
6,85256216,20877745,CC1CCN(CC1)CCCNC(=O)C2=CC3=C(S2)C4=C(C=CC=C4OC3)C,Active,97,,,,20.03,,1.58,-5.95,13.1,,1.73,2.07,76.2,79.38,84.33,83.96,93.91,92.55,90.1,94.5,108.09,0.13,1.64,66.6
7,85098860,3170726,CN(C)CCCN(C1=NC(=CS1)C2=CC=C(C=C2)OC)C(=O)C3=CC=CC=C3Cl,Active,97,,,,20.18,,2.231,-1.2,11.81,1.72,4.7,36.07,75.12,76.17,76.64,81.21,86.23,88.21,89.72,,94.95,0.26,1.65,133.3
8,85248328,3590942,C1=CC=C(C(=C1)C(C2=C(C3=C(C=CC=N3)C=C2)O)NC4=NC=CS4)O,Active,97,,,,21.63,,2.423,-0.62,7,,34.67,38.18,64.67,61.45,63.84,80.19,93.39,94.48,91.41,96.73,104.54,1.04,32.2,66.6
9,87218708,44537688,COC1=CC=C(C=C1)C2=CSC(=N2)N(CC=C)C(=O)C3=CC=CC=C3Cl,Active,97,,,,23.99,,3.725,-1.19,16.47,2.83,2.87,54.82,72.39,80.37,77.2,83.34,82.51,84.75,82.25,,92.04,0.52,2.51,66.65
10,85256221,20877970,CC1CCCC(N1CCCNC(=O)C2=CC3=C(S2)C4=CC=CC=C4OC3)C,Active,97,,,,24.26,,5.644,-0.65,14.72,,2.24,68.62,64.21,72.36,76.32,82.25,80.21,85.52,86.28,90.22,97.69,0.13,2.08,66.6
11,85256222,16010442,CCCN1CCN(CC1)CCCNC(=O)C2=CC3=C(S2)C4=C(C=CC=C4OC3)C,Active,96,,,,28.44,,5.746,-0.87,15.68,,2.69,64.75,78.13,75.64,82.15,82.04,82.47,83.36,91.88,84.51,100.53,0.26,2.26,66.6
12,85256219,20877886,CC1CC(CN(C1)CCCNC(=O)C2=CC3=C(S2)C4=CC=CC=C4OC3)C,Active,96,,,,29.38,,3.835,-1.29,13.66,,2.23,66.81,71.82,81.47,82.56,83.95,86.84,93.27,90.01,92.24,96.98,0.52,2.05,66.6
13,85735954,44459951,CC(C)N(C1=NC(=CS1)C2=CC=C(C=C2)OC)C(=O)C3=CC=CC=C3Cl,Active,95,,,,35.53,,5.355,-1.23,14.61,,13.48,66.24,82.02,82.76,83.39,80.14,88.71,85.96,85.54,83.97,90.62,1.04,6.56,66.6
14,87218716,44537693,C1CCC2=NC3=C(C=C(C=C3)Br)C(N2CC1)O,Active,91,,,,61.01,,16.15,-0.64,15.44,5.49,67.4,73,79.99,78.8,80.8,81.68,83.89,83.93,84.65,,92.91,16.66,4.19,133.3
15,87219061,3713338,C1CC2=NC3=C(C=C(C=C3)Br)C(N2C1)O,Active,90,,,,71.45,,11.19,-0.55,10.81,45.39,37.31,51.26,77.68,80.07,89.49,88.17,91.48,89.98,90.52,,100.99,1.04,15.32,66.65
16,87219062,928277,C1CC2=NC3=C(CN2C1)C=C(C=C3)Br,Active,82,,,,124.21,,19.01,-0.58,6.07,53.98,57.03,71.63,76.76,85.55,88.8,96.68,92.27,99.23,94.18,93.99,105.94,0.52,48.77,133.3
17,87218735,44537708,CC1=CC2=C(C=C1)N=C(N(C2=O)C3=CC=CC=C3)SCC(=O)NC4=CC5=C(CCC5)C=C4,Active,81,,,,129.68,,1645.77,-0.12,5.07,69.01,70.25,66.85,69,72.92,83.35,84.99,87.92,85.34,85.69,,94.22,1.04,63.95,33.33
18,87235615,44552572,COC1=CC=CC2=C1N=C(N(C2=O)C3=CC=CC=C3)SCC(=O)NC4=CC5=C(CCC5)C=C4,Active,100,,,<,0.26,,0,0.03,9.47,70.87,67.65,71.67,73.14,81.43,75.54,83.08,87.16,81.65,86.96,,97.04,1.04,63.39,33.33
19,85098856,2486797,C1CC2=C(C1)C=C(C=C2)NC(=O)CSC3=NC4=CC=CC=C4C(=O)N3C5=CC=C(C=C5)F,Active,81,,,>,133.3,>,9999,-0.1,3.5,72.6,71.61,73.89,76.86,77.01,81.08,87.81,87.13,83.3,87.85,,92.42,2.08,68.74,66.65
20,85098867,16187362,CCOC(=O)C1(CCN(CC1)C2CCN(CC2)C(C)C)CC3=CC=CC=C3C(F)(F)F,Active,81,,,>,133.3,,975.823,-0.2,8.53,52.37,78.25,69.98,59.01,71.41,70.9,80.93,82.07,84.95,82.49,,93.07,0.52,44.84,133.3
21,87235613,44552570,C1CC2=C(C1)C=C(C=C2)NC(=O)CSC3=NC4=C(C(=CC=C4)I)C(=O)N3C5=CC=CC=C5,Active,81,,,>,133.3,>,9999,-0.22,4.96,74.12,78.21,85.02,85.27,86.06,84.93,89.63,88.86,90.66,93.67,,97.64,0.52,67.96,133.3
22,87235614,44552571,CC1=C2C(=CC=C1)C(=O)N(C(=N2)SCC(=O)NC3=CC4=C(CCC4)C=C3)C5=CC=CC=C5,Active,81,,,>,133.3,>,9999,-0.13,6.44,73.5,80.38,77.33,73.82,79.06,81.37,79.9,86.19,88.44,87.39,,96.63,1.04,65.73,16.66
23,85098866,2482957,C1CC2=C(C1)C=C(C=C2)NC(=O)CSC3=NC4=CC=CC=C4C(=O)N3C5=C(C=C(C=C5)F)F,Active,98,,,>,16.66,>,9999,-0.12,3.57,,,,68.12,72.2,75.16,78.58,77.69,78.95,76.35,,82.21,0.52,65.5,16.66
24,85248333,2497167,COC1=CC=CC(=C1)N2C(=O)C3=CC=CC=C3N=C2SCC(=O)NC4=CC5=C(CCC5)C=C4,Active,91,,,>,66.6,>,9999,-0.16,6.73,,73.67,73.89,76.52,75.16,80.66,86.48,83.76,85.88,90.77,82.06,99.57,0.52,67.42,33.3
25,85248332,2482839,C1CC2=C(C1)C=C(C=C2)NC(=O)CSC3=NC4=CC=CC=C4C(=O)N3C5=CC=CC=C5F,Active,91,,,>,66.6,,2000.14,-0.21,5.79,,69.97,73.73,68.12,74.09,80.36,80.17,86.74,87.02,87.52,87.74,97.05,1.04,62.42,16.65
26,85285666,928277,C1CC2=NC3=C(CN2C1)C=C(C=C3)Br,Active,91,,,>,66.6,,106.133,-0.72,5.65,88.8,96.68,92.27,99.23,94.18,93.99,,88.8,96.68,92.27,99.23,106.06,0.26,62.86,66.6
