PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,IC50,% Inhibition @ 50 uM Rep 1,% Inhibition @ 25 uM Rep 1,% Inhibition @ 12.5 uM Rep 1,% Inhibition @ 6.25 uM Rep 1,% Inhibition @ 3.13 uM Rep 1,% Inhibition @ 1.56 uM Rep 1,% Inhibition @ 0.78 uM Rep 1,% Inhibition @ 50 uM Rep 2,% Inhibition @ 25 uM Rep 2,% Inhibition @ 12.5 uM Rep 2,% Inhibition @ 6.25 uM Rep 2,% Inhibition @ 3.13 uM Rep 2,% Inhibition @ 1.56 uM Rep 2,% Inhibition @ 0.78 uM Rep 2,Verification
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING
RESULT_UNIT,,,,,,,,MICROMOLAR,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,NONE
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,,,,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,50,25,12.5,6.25,3.13,1.56,0.78,50,25,12.5,6.25,3.13,1.56,0.78,
1,131341902,15998125,C1CN(CCN1CC2=NC3=C(C=C(C=C3)[N+](=O)[O-])C(=O)N2C4=CC=CC=C4F)C5=CC=CC=C5,Inactive,0,,,,6.2,7,1.5,0.3,-0.5,0.6,1,5.6,1.6,-0.1,0.8,1.4,1.5,1.8,Verified
2,131341903,15997213,CCN1CCN(CC1)CC2=NC3=C(C=C(C=C3)[N+](=O)[O-])C(=O)N2C4=CC=CC=C4F,Active,100,,,0.97,,,78.2,86.9,80.7,70.8,61.5,,89.4,88.9,96.3,84.5,66.7,16.6,Verified
3,131341905,847035,C1CCC2=C(C1)N=C(S2)NC(=O)CC3=CC=CS3,Active,99,,,4.71,,,60.3,64.6,36,2.9,0.3,,,63.8,47.7,4.9,2,1.4,Verified
4,131341906,1259240,CCOC(=O)C1=CC=C(C=C1)NC2=NC(=O)C3=C(S2)N=CC=C3,Active,98,,,7.07,,66.3,67.3,65.3,15,0.3,0.1,,66.6,51.9,17.5,1.7,1.8,-0.8,Verified
5,131341907,1258664,C1=CC=C(C=C1)COC2=CC=C(C=C2)NC3=NC(=O)C4=C(S3)N=CC=C4,Active,100,,,2.38,,,,66.5,61.5,48.6,21.2,,,70.5,67.7,60.8,29.8,3.5,Verified
6,131465094,2928803,C1CCCN(CC1)C(=O)OC2=C(C3=CC=CC=C3C=C2)Br,Inactive,0,,,,20.6,22.4,17.2,18.2,26,9.9,1.9,30.4,11.1,20.1,20.5,9,2.9,2.5,Verified
7,131465095,902491,C1=CC=C(C=C1)C2=NN=NC3=C2C=C(C=C3)Cl,Active,99,,,3.45,,132.1,103.1,57.6,26.3,13.4,4.7,,100.6,76.9,29.9,15.6,10.3,2.3,Verified
