PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Modifier - Log virus titer change @ 5 uM,Log virus titer change @ 5 uM,Log virus titer change @ 10 uM,Verification
RESULT_TYPE,,,,,,,,STRING,FLOAT,FLOAT,STRING
RESULT_UNIT,,,,,,,,NONE,NONE,NONE,NONE
1,134330028,15993299,CN1CCN(CC1)CC2=NC3=C(C=C(C=C3)[N+](=O)[O-])C(=O)N2C4=CC=CC=C4F,Active,100,,,<,-6.358,,Verified
2,131341903,15997213,CCN1CCN(CC1)CC2=NC3=C(C=C(C=C3)[N+](=O)[O-])C(=O)N2C4=CC=CC=C4F,Active,100,,,<,-6.358,-5.8,Verified
3,131341905,847035,C1CCC2=C(C1)N=C(S2)NC(=O)CC3=CC=CS3,Active,87,,,,,-2.138,Verified
4,131465095,902491,C1=CC=C(C=C1)C2=NN=NC3=C2C=C(C=C3)Cl,Active,94,,,,,-4.358,Verified
5,131341907,1258664,C1=CC=C(C=C1)COC2=CC=C(C=C2)NC3=NC(=O)C4=C(S3)N=CC=C4,Active,91,,,,,-3.426,Verified
6,131341906,1259240,CCOC(=O)C1=CC=C(C=C1)NC2=NC(=O)C3=C(S2)N=CC=C3,Active,91,,,,,-3.313,Verified
7,131465094,2928803,C1CCCN(CC1)C(=O)OC2=C(C3=CC=CC=C3C=C2)Br,Active,87,,,,,-2.088,Verified
8,131341904,7498662,CC1=CC=CC=C1C(=O)NC2=CC3=C(C=C2)N(CCC3)C(=O)C4=CC=CS4,Active,87,,,,,-2.038,Verified
9,131341902,15998125,C1CN(CCN1CC2=NC3=C(C=C(C=C3)[N+](=O)[O-])C(=O)N2C4=CC=CC=C4F)C5=CC=CC=C5,Active,84,,,,,-1.299,Verified
10,134330029,66662,CC1=CC(=C(C(=C1)CC2=C(C(=CC(=C2)C)C(C)(C)C)O)O)CC3=C(C(=CC(=C3)C)C(C)(C)C)O,Inactive,0,,,,-0.734,,Verified
11,134330024,645083,C1CCC2=C(C1)N=C(S2)NC(=O)C3=CC=CS3,Inactive,0,,,,-0.12,,Verified
12,134330027,718180,C1=CC=C2C(=C1)N=C(S2)NC(=O)CC3=CC=CS3,Inactive,0,,,,-0.238,,Verified
13,134330023,956311,C1CCC2=C(C1)N=C(S2)NC(=O)CC3=CC=CC=C3,Inactive,0,,,,-0.01,,Verified
14,134330025,2062321,C1=CSC(=C1)CC(=O)NC2=NC=CS2,Inactive,0,,,,-0.062,,Verified
15,134330031,9550899,C1COCCN1CC2=NC3=C(C=C(C=C3)[N+](=O)[O-])C(=O)N2C4=CC=CC=C4F,Inactive,0,,,,0.297,,Verified
16,134330026,56596560,CN(C1=NC2=C(S1)CCCC2)C(=O)CC3=CC=CS3,Inactive,0,,,,0.281,,Verified
17,134330030,56596561,CC(C)N1CCN(CC1)CC2=NC3=C(C=C(C=C3)[N+](=O)[O-])C(=O)N2C4=CC=CC=C4F,Inactive,0,,,,0.041,,Verified
