PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,IC50 Rep 1,IC50 Rep 2,% Inhibition @ 25 uM Rep 1,% Inhibition @ 12.5 uM Rep 1,% Inhibition @ 6.25 uM Rep 1,% Inhibition @ 3.125 uM Rep 1,% Inhibition @ 2.5 uM Rep 1,% Inhibition @ 1.563 uM Rep 1,% Inhibition @ 1.25 uM Rep 1,% Inhibition @ 0.781 uM Rep 1,% Inhibition @ 0.625 uM Rep 1,% Inhibition @ 0.391 uM Rep 1,% Inhibition @ 0.313 uM Rep 1,% Inhibition @ 0.195 uM Rep 1,% Inhibition @ 0.156 uM Rep 1,% Inhibition @ 0.098 uM Rep 1,% Inhibition @ 0.078 uM Rep 1,% Inhibition @ 0.039 uM Rep 1,% Inhibition @ 0.02 uM Rep 1,% Inhibition @ 0.01 uM Rep 1,% Inhibition @ 0.005 uM Rep 1,% Inhibition @ 25 uM Rep 2,% Inhibition @ 12.5 uM Rep 2,% Inhibition @ 6.25 uM Rep 2,% Inhibition @ 3.125 uM Rep 2,% Inhibition @ 1.563 uM Rep 2,% Inhibition @ 0.781 uM Rep 2,% Inhibition @ 0.625 uM Rep 2,% Inhibition @ 0.391 uM Rep 2,% Inhibition @ 0.313 uM Rep 2,% Inhibition @ 0.195 uM Rep 2,% Inhibition @ 0.156 uM Rep 2,% Inhibition @ 0.078 uM Rep 2,% Inhibition @ 0.039 uM Rep 2,% Inhibition @ 0.02 uM Rep 2,% Inhibition @ 0.01 uM Rep 2,% Inhibition @ 0.005 uM Rep 2,Verification
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING
RESULT_UNIT,,,,,,,,MICROMOLAR,MICROMOLAR,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,NONE
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,25,12.5,6.25,3.125,2.5,1.563,1.25,0.781,0.625,0.391,0.313,0.195,0.156,0.098,0.078,0.039,0.02,0.01,0.005,25,12.5,6.25,3.125,1.563,0.781,0.625,0.391,0.313,0.195,0.156,0.078,0.039,0.02,0.01,0.005,
1,134970382,56840690,C1CN(CCN1)CC2=NC3=C(C=C(C=C3)[N+](=O)[O-])C(=O)N2C4=CC=CC=C4F,Active,100,,,0.138,0.158,,89.67,87.3,95.07,,90.87,,96.77,,91.7,,73.43,,27.13,,,,,,85.1,88.53,89.87,92.03,98.53,90.9,96.73,98.9,90.47,77.53,43.07,10.17,1.1,-1.4,-0.23,-1.6,Verified
2,134970386,56840687,CCN1CCN(CC1)CC2=NC3=C(C=C(C=C3)[N+](=O)[O-])C(=O)N2C4=CC=CC=C4,Active,100,,,0.243,0.239,,95.07,96.93,95.93,,100.07,,94.5,,88.43,,28.43,,4.3,,,,,,90.07,86.53,90.63,91.13,95.47,89.4,96.97,97.57,87.9,15.63,14.33,3.3,0.8,-1.17,-1.03,-2,Verified
3,134970387,56840688,CCN1CCN(CC1)CC2=NC3=C(C=C(C=C3)[N+](=O)[O-])C(=O)N2C4=CC(=CC=C4)F,Active,100,,,0.273,0.284,,101.47,92.47,95.67,,90.63,,96,,88.2,,13.13,,14.27,,,,,,88.73,85.53,87.9,87.8,94.47,88.5,95.47,73.23,69.63,5.63,15.17,4.63,0.07,-0.07,0.13,-0.63,Verified
4,136348366,57339122,COC1=CC=C(C=C1)N2C(=NC3=C(C2=O)C=C(C=C3)[N+](=O)[O-])CN4CCNCC4,Active,100,,,0.088,0.106,,,,,88.03,,89,,85.9,,89.4,,64.4,,2.7,-4.93,-6.97,,,84.6,85.93,92.4,91.9,94.03,88.8,93.53,100.23,91.2,98.9,85.07,18.27,5.17,1.1,0.9,-0.8,Verified
5,144087340,71301451,CN1CCN(C(=NC2=C(C=C(C=C2)[N+](=O)[O-])C(=O)NC3=CC=CC=C3)C1)C,Active,100,,,0.035,0.046,89.17,93.83,91.57,91.03,,94.27,,93.53,94.23,97.57,97.53,97.8,92.3,,93.07,56.6,17.97,7.03,-0.17,88.67,87.47,88.98,91.75,93.27,94.65,95.73,96.47,89.62,96.47,92.52,88.72,36.23,6.45,4.77,0.55,Verified
6,134330028,15993299,CN1CCN(CC1)CC2=NC3=C(C=C(C=C3)[N+](=O)[O-])C(=O)N2C4=CC=CC=C4F,Active,100,,,0.139,,93.93,81.87,90.33,94.87,,97.97,,93.5,97.67,95.17,89.5,101.17,37.63,,21.8,2.87,1.07,-1.3,-1.5,,,,,,,,,,,,,,,,,Verified
