PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Log virus titer change @ 5 uM Rep 1 Modifier,Log virus titer change @ 5 uM Rep 1,Log virus titer change @ 5 uM Rep 2 Modifier,Log virus titer change @ 5 uM Rep 2
RESULT_TYPE,,,,,,,,STRING,FLOAT,STRING,FLOAT
RESULT_UNIT,,,,,,,,NONE,UNSPECIFIED,NONE,UNSPECIFIED
1,144087341,60156249,CCN1CCN(CC1)CC2=NC3=C(C=C(C=C3)C#N)C(=O)N2C4=CC=CC=C4,Active,82,,,,-1.6505,,
2,144108867,15997213,CCN1CCN(CC1)CC2=NC3=C(C=C(C=C3)[N+](=O)[O-])C(=O)N2C4=CC=CC=C4F,Active,84,,,,-2.0555,,
3,144087340,71301451,CN1CCN(C(=NC2=C(C=C(C=C2)[N+](=O)[O-])C(=O)NC3=CC=CC=C3)C1)C,Active,98,,,<,-7.204,,
4,144220811,71301445,CN1CCN(C(=NC2=C(C=C(C=C2)C#N)C(=O)NC3=CC=CC=C3)C1)C,Active,94,,,,-5.815,,
5,144220813,71301450,CN1CCN(C(=NC2=C(C=C(C=C2)[N+](=O)[O-])C(=O)NC3=CC=C(C=C3)OC)C1)C,Active,98,,,<,-7.204,,
6,144220814,71301444,CN1CCN(C(=NC2=C(C=C(C=C2)[N+](=O)[O-])C(=O)NC3=CC=CC=C3F)C1)C,Active,89,,,,-3.7975,,
7,150864358,71301448,CCN1CCN(CC1=NC2=C(C=C(C=C2)[N+](=O)[O-])C(=O)NC3=CC=CC=C3)C,Active,98,,,<,-7.204,,
8,152138459,71301449,CN1CCN(C(=NC2=C(C=C(C=C2)C#N)C(=O)NC3=CC(=CC=C3)F)C1)C,Active,82,,,,-1.426,,
9,134970382,56840690,C1CN(CCN1)CC2=NC3=C(C=C(C=C3)[N+](=O)[O-])C(=O)N2C4=CC=CC=C4F,Active,100,,,<,-7.761,<,-7.761
10,134970386,56840687,CCN1CCN(CC1)CC2=NC3=C(C=C(C=C3)[N+](=O)[O-])C(=O)N2C4=CC=CC=C4,Active,100,,,<,-7.761,,-7.3095
11,134970387,56840688,CCN1CCN(CC1)CC2=NC3=C(C=C(C=C3)[N+](=O)[O-])C(=O)N2C4=CC(=CC=C4)F,Active,96,,,,-6.46,<,-7.761
12,134970388,56840686,CCN1CCN(CC1)CC2=NC3=C(C=C(C=C3)[N+](=O)[O-])C(=O)N2C4=CC=C(C=C4)F,Active,97,,,,-6.7965,,-4.966
13,135658676,46248362,C1CCN(CC1)CC2=NC3=C(C=C(C=C3)[N+](=O)[O-])C(=O)N2C4=CC=CC=C4F,Inactive,0,,,,-0.3665,,
14,135658677,56951736,C1CN(CCN1)CC2=NC3=C(C=C(C=C3)[N+](=O)[O-])C(=O)N2C4=CC=CC=C4,Active,100,,,<,-7.761,,
15,135658678,56951737,CCN1CCN(CC1)CC2=NC3=C(C=C(C=C3)I)C(=O)N2C4=CC=CC=C4,Inactive,0,,,,-0.33,,
16,134330028,15993299,CN1CCN(CC1)CC2=NC3=C(C=C(C=C3)[N+](=O)[O-])C(=O)N2C4=CC=CC=C4F,Active,100,,,<,-7.761,,
