PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Average IC50 Modifier,Average IC50,IC50 Modifier Test 1,IC50 Test 1,IC50 Modifier Test 2,IC50 Test 2,IC50 Test 3,IC50 Test 4,% Inhibition @ 50 uM Test 1,% Inhibition @ 25 uM Test 1,% Inhibition @ 12.5 uM Test 1,% Inhibition @ 6.25 uM Test 1,% Inhibition @ 5 uM Test 1,% Inhibition @ 3.125 uM Test 1,% Inhibition @ 2.5 uM Test 1,% Inhibition @ 1.563 uM Test 1,% Inhibition @ 1.25 uM Test 1,% Inhibition @ 0.781 uM Test 1,% Inhibition @ 0.625 uM Test 1,% Inhibition @ 0.391 uM Test 1,% Inhibition @ 0.3125 uM Test 1,% Inhibition @ 0.195 uM Test 1,% Inhibition @ 0.156 uM Test 1,% Inhibition @ 0.078 uM Test 1,% Inhibition @ 0.039 uM Test 1,% Inhibition @ 0.02 uM Test 1,% Inhibition @ 0.009 uM Test 1,% Inhibition @ 0.004 uM Test 1,% Inhibition @ 25 uM Test 2,% Inhibition @ 12.5 uM Test 2,% Inhibition @ 6.25 uM Test 2,% Inhibition @ 5 uM Test 2,% Inhibition @ 3.125 uM Test 2,% Inhibition @ 2.5 uM Test 2,% Inhibition @ 1.563 uM Test 2,% Inhibition @ 1.25 uM Test 2,% Inhibition @ 0.781 uM Test 2,% Inhibition @ 0.625 uM Test 2,% Inhibition @ 0.391 uM Test 2,% Inhibition @ 0.313 uM Test 2,% Inhibition @ 0.195 uM Test 2,% Inhibition @ 0.156 uM Test 2,% Inhibition @ 0.078 uM Test 2,% Inhibition @ 0.039 uM Test 2,% Inhibition @ 0.02 uM Test 2,% Inhibition @ 0.009 uM Test 2,% Inhibition @ 0.004 uM Test 2,% Inhibition @ 25 uM Test 3,% Inhibition @ 12.5 uM Test 3,% Inhibition @ 6.25 uM Test 3,% Inhibition @ 3.125 uM Test 3,% Inhibition @ 2.5 uM Test 3,% Inhibition @ 1.563 uM Test 3,% Inhibition @ 1.25 uM Test 3,% Inhibition @ 0.781 uM Test 3,% Inhibition @ 0.625 uM Test 3,% Inhibition @ 0.391 uM Test 3,% Inhibition @ 0.3125 uM Test 3,% Inhibition @ 0.195 uM Test 3,% Inhibition @ 0.156 uM Test 3,% Inhibition @ 0.078 uM Test 3,% Inhibition @ 0.039 uM Test 3,% Inhibition @ 0.02 uM Test 3,% Inhibition @ 0.009 uM Test 3,% Inhibition @ 0.004 uM Test 3,% Inhibition @ 2.5 uM Test 4,% Inhibition @ 1.25 uM Test 4,% Inhibition @ 0.625 uM Test 4,% Inhibition @ 0.313 uM Test 4,% Inhibition @ 0.156 uM Test 4,% Inhibition @ 0.078 uM Test 4,% Inhibition @ 0.039 uM Test 4,% Inhibition @ 0.02 uM Test 4,Verification
RESULT_TYPE,,,,,,,,STRING,FLOAT,STRING,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING
RESULT_UNIT,,,,,,,,,MICROMOLAR,,MICROMOLAR,,MICROMOLAR,MICROMOLAR,MICROMOLAR,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,,,,,,,50,25,12.5,6.25,5,3.125,2.5,1.563,1.25,0.781,0.625,0.391,0.3125,0.195,0.156,0.078,0.039,0.02,0.009,0.004,25,12.5,6.25,5,3.125,2.5,1.563,1.25,0.781,0.625,0.391,0.313,0.195,0.156,0.078,0.039,0.02,0.009,0.004,25,12.5,6.25,3.125,2.5,1.563,1.25,0.781,0.625,0.391,0.3125,0.195,0.156,0.078,0.039,0.02,0.009,0.004,2.5,1.25,0.625,0.313,0.156,0.078,0.039,0.02,
1,144108866,1258664,C1=CC=C(C=C1)COC2=CC=C(C=C2)NC3=NC(=O)C4=C(S3)N=CC=C4,Active,100,,,,0.94,,1.51,,0.37,,,,,,,,64.2,,57.8,,29.47,,15.73,,,,,,,,,37.9,45.37,60.9,,58.5,,75.57,,75.73,,51.47,,18.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verified
2,136348366,57339122,COC1=CC=C(C=C1)N2C(=NC3=C(C2=O)C=C(C=C3)[N+](=O)[O-])CN4CCNCC4,Active,100,,,<,0.218,<,0.195,<,0.195,0.24,0.24,,83.17,95.57,104.1,,98.23,,101.53,,93.67,,88,,87.23,,,,,,,76.87,79.9,84.33,,83.3,,93.2,,81.23,,72.1,,66.37,,,,,,,,,,,85.95,,66.4,,64.5,,46.9,,49.4,34.75,24.6,23.3,,,94.53,103.5,101.67,69.83,17.9,4.5,-2.33,5.6,Verified
3,144087340,71301451,CN1CCN(C(=NC2=C(C=C(C=C2)[N+](=O)[O-])C(=O)NC3=CC=CC=C3)C1)C,Active,100,,,<,0.073,<,0.19,,0.04,0.02,0.04,,84.73,81.33,89.83,,88.73,,90.87,,92.63,,92.47,,100.13,,,,,,,,,,91.83,,86.67,,92.53,,97.53,,88.4,,98.52,82.23,42.25,17.4,4.63,-1.07,,,,,,,,,92.53,,78.83,,89.2,58.3,71.57,37.57,17.83,16.93,,,95.48,96.85,97.8,78.17,44.57,,Verified
4,144220813,71301450,CN1CCN(C(=NC2=C(C=C(C=C2)[N+](=O)[O-])C(=O)NC3=CC=C(C=C3)OC)C1)C,Active,100,,,,0.037,,0.05,,0.02,0.04,,,,,,91.33,,78.77,,94.67,,94.63,,89.58,,90.67,72.88,43.28,20,3.83,-1.5,,,,,,,,,,102.57,,84.07,,94.47,79.47,69.73,37.8,15.4,12.2,,,,,,,,,95.67,,98.1,,96.08,80.73,43.53,,,,,,,,,,,,Verified
5,144108867,15997213,CCN1CCN(CC1)CC2=NC3=C(C=C(C=C3)[N+](=O)[O-])C(=O)N2C4=CC=CC=C4F,Active,100,,,,0.81,,1.13,,0.82,0.48,,86.27,93.5,103.73,86.25,,85.3,,38.87,90.37,14.83,42.5,4.03,9.5,,2.53,7.63,0.7,,,,77.07,73.13,79.97,,72.03,,62.47,,49.47,,27.43,,18.87,,,,,,,73.43,75.4,90.37,77.03,,85.3,,72.13,,40.5,,22.6,,,,,,,,,,,,,,,Verified
6,150864358,71301448,CCN1CCN(CC1=NC2=C(C=C(C=C2)[N+](=O)[O-])C(=O)NC3=CC=CC=C3)C,Active,100,,,<,0.22,<,0.39,,0.05,,,50.17,65.77,81.2,76.37,,86.53,,89.7,,86.67,,103.7,,,,,,,,,,,,96.13,,91.13,,100.73,,98.1,,91.77,,100.48,66.16,41.63,8.73,3.73,-1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,Verified
