PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
1,103204227,104838,C[C@H]([C@@H]1[C@H]2CC(=C(N2C1=O)C(=O)O)SCCN=CN)O,Active,,,Potential missing data,Activity,,,,Active
2,103264345,72445,C[C@H]([C@@H]1[C@@H]2N(C1=O)C(=C(S2)SCCOC(=O)N)C(=O)O)O,Unspecified,,,,MIC,=,64,ug.mL-1,
3,131284798,54586211,CCCCCCCCCCCCCCCC(=O)N(C)[C@H](CO)C(=O)N[C@H](C)C(=O)NCC(=O)N(C)[C@H]1C2=CC(=C(C=C2)O)C3=C(C=CC(=C3)C[C@H](NC(=O)[C@@H](NC1=O)C)C(=O)O)O,Unspecified,,,,MIC,=,128,ug.mL-1,
4,242112097,44327121,C[C@H]([C@@H]1[C@@H]2N(C1=O)C(=C(S2)SCCN)C(=O)O)O,Unspecified,,,,MIC,=,128,ug.mL-1,
5,404654041,10427910,C[C@H]([C@@H]1[C@@H]2N(C1=O)C(=C(S2)S[C@@H]3CCS(=O)C3)C(=O)O)O,Unspecified,,,,MIC,=,32,ug.mL-1,
6,404654099,145950980,C[C@H]([C@@H]1[C@@H]2N(C1=O)C(=C(S2)S[C@@H]3CCNC3)C(=O)O)O,Unspecified,,,,MIC,=,128,ug.mL-1,
7,404656639,9904114,C[C@H]([C@@H]1[C@@H]2N(C1=O)C(=C(S2)SCCO)C(=O)O)O,Unspecified,,,,MIC,=,128,ug.mL-1,
8,404661510,145956093,C[C@H]([C@@H]1[C@@H]2N(C1=O)C(=C(S2)S[C@H]3CCNC3)C(=O)O)O,Unspecified,,,,MIC,=,32,ug.mL-1,
9,404663281,145957311,C[C@H]([C@@H]1[C@@H]2N(C1=O)C(=C(S2)CCC3=CC=CC=N3)C(=O)O)O,Unspecified,,,,MIC,=,64,ug.mL-1,
10,404666904,22838730,C[C@H]([C@@H]1[C@@H]2N(C1=O)C(=C(S2)SCCN=CN)C(=O)O)O,Unspecified,,,,MIC,=,128,ug.mL-1,
