PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Activity Comment
RESULT_TYPE,,,,,,,,STRING,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Additional comments
1,103554208,11552904,C1=CC(=CC=C1C2=NC3=C(N2O)C=C(C=C3)[N+](=O)[O-])NC(=O)C4=CC=C(C=C4)F,Unspecified,,,Potential missing data,Activity,Non-toxic
2,103697643,11503008,C1=CC(=CC=C1C2=NC3=C(N2O)C=C(C=C3)[N+](=O)[O-])NC(=O)/C=C/C4=C(C=C(C=C4)F)F,Unspecified,,,Potential missing data,Activity,Non-toxic
3,103697651,11495149,C1=CC(=CC=C1CNC(=O)C2=CC=C(C=C2)F)C3=NC4=C(N3O)C=C(C=C4)[N+](=O)[O-],Unspecified,,,Potential missing data,Activity,Non-toxic
4,103697652,11711182,C1=CC(=CC=C1CC(=O)NC2=CC=C(C=C2)C3=NC4=C(N3O)C=C(C=C4)[N+](=O)[O-])F,Unspecified,,,Potential missing data,Activity,Non-toxic
5,103697653,11655020,C1=CC(=CC=C1C2=NC3=C(N2O)C=C(C=C3)[N+](=O)[O-])NC(=O)/C=C/C4=CC(=C(C=C4)F)F,Unspecified,,,Potential missing data,Activity,Non-toxic
6,103697654,25060594,C1=CC(=CC=C1/C=C/C(=O)NC2=NC=C(C=C2)C3=NC4=C(N3O)C=C(C=C4)[N+](=O)[O-])F,Unspecified,,,Potential missing data,Activity,Non-toxic
7,103697660,11711564,C1=CC(=CC=C1/C=C/C(=O)NC2=CC=C(C=C2)C3=NC4=C(N3O)C=C(C=C4)[N+](=O)[O-])C#N,Unspecified,,,Potential missing data,Activity,Non-toxic
8,103697661,25060595,C1=CC(=CC=C1/C=C/C(=O)NC2=CN=C(C=C2)C3=NC4=C(N3O)C=C(C=C4)[N+](=O)[O-])F,Unspecified,,,Potential missing data,Activity,Non-toxic
9,103697662,25062407,C1=CC(=CC=C1/C=C/C(=O)NC2=C(C=C(C=C2)C3=NC4=C(N3O)C=C(C=C4)[N+](=O)[O-])F)F,Unspecified,,,Potential missing data,Activity,Non-toxic
10,103697673,11596790,CC1=CC=C(C=C1)/C=C/C(=O)NC2=CC=C(C=C2)C3=NC4=C(N3O)C=C(C=C4)[N+](=O)[O-],Unspecified,,,Potential missing data,Activity,Non-toxic
11,103697674,11711663,COC1=CC=CC=C1/C=C/C(=O)NC2=CC=C(C=C2)C3=NC4=C(N3O)C=C(C=C4)[N+](=O)[O-],Unspecified,,,Potential missing data,Activity,Non-toxic
12,103697680,11568166,COC1=CC=C(C=C1)/C=C/C(=O)NC2=CC=C(C=C2)C3=NC4=C(N3O)C=C(C=C4)[N+](=O)[O-],Unspecified,,,Potential missing data,Activity,Non-toxic
13,103697681,11576379,C1=CC(=CC=C1/C=C/C(=O)NC2=CC=C(C=C2)C3=NC4=C(N3O)C=C(C=C4)[N+](=O)[O-])C(F)(F)F,Unspecified,,,Potential missing data,Activity,Non-toxic
14,103697682,25062404,C1=CC(=CC=C1/C=C/C(=O)NC2=CC(=C(C=C2)C3=NC4=C(N3O)C=C(C=C4)[N+](=O)[O-])F)F,Unspecified,,,Potential missing data,Activity,Non-toxic
