PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Fluorescence Polarization (mP)_A,Fluorescence Intensity_A,Fluorescence Polarization (mP)_B,Fluorescence Intensity_B,Normalized % Inhibition_A,Normalized % Inhibition_B,Normalized % Inhibition_Avg,Normalized Fluorescence Intensity_A,Normalized Fluorescence Intensity_B
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,"Fluoresence polarization for replicate A, calculated from parallel and perpendicular intensity channels (milli-polarization units).",Total fluorescence intensity for replicate A.,"Fluoresence polarization for replicate B, calculated from parallel and perpendicular intensity channels (milli-polarization units).",Total fluorescence intensity for replicate B.,"Fluorescence polarization, normalized to plate average FP of positive and negative controls for replicate A.","Fluorescence polarization, normalized to plate average FP of positive and negative controls for replicate B.","Fluorescence polarization, normalized to plate average FP of positive and negative controls (average of A and B replicates)",Fluorescence intensity normalized to average intensity of all wells on plate.,Fluorescence intensity normalized to average intensity of all wells on plate.
RESULT_UNIT,,,,,,,,NONE,NONE,NONE,NONE,PERCENT,PERCENT,PERCENT,RATIO,RATIO
1,92175710,62531,CC1=CC(=C(C(=C1)N2N=C3C=CC(=CC3=N2)Cl)O)C(C)(C)C,Inactive,0,,,189.6,2.56626e+07,194.8,2.64185e+07,0.64,-2.45,-0.91,94.33,95.7
2,92175711,39302,C1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)C3=CC=CC=C3C(=O)O,Inactive,1,,,186.8,2.57633e+07,191.5,2.69365e+07,2.49,-0.27,1.11,94.7,97.58
3,92175712,824426,CC1=CC=C(C=C1)NC2=C3C4=C(C=C2)N=CN=C4C5=CC=CC=C5C3=O,Inactive,2,,,186.8,2.62509e+07,188.1,2.76992e+07,2.49,1.97,2.23,96.49,100.34
4,92175713,677839,C1=CC=C2C(=C1)C(=C(S2)C(=O)NC3=CC=C(C=C3)Cl)Cl,Inactive,1,,,188.4,2.62083e+07,188.8,2.77452e+07,1.43,1.51,1.47,96.34,100.51
5,92175714,2291144,CCOC(=O)C1=C(C2=C(C3=CC=CC=C3O2)NC1=O)C4=CC=CC=C4,Inactive,1,,,187.7,2.63576e+07,190.1,2.76414e+07,1.9,0.65,1.28,96.89,100.13
6,92175715,135516990,CN(C)C(=O)C[N+]1=CC=C(C=C1)/C=N/O,Inactive,0,,,190.2,2.63388e+07,192,2.76852e+07,0.24,-0.6,-0.18,96.82,100.29
7,92175716,759247,CCCC1CCC(CC1)C2=CC=C(C=C2)C(=O)N,Inactive,0,,,190.8,2.62248e+07,195.7,2.75084e+07,-0.16,-3.05,-1.61,96.4,99.65
