PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
1,103284163,1834885,C1=CC=C(C=C1)C\2=NOC(=O)/C2=C\C3=CC=CO3,Unspecified,,,,Inhibition,=,50,%
2,134434037,699726,CC1=CC=C(O1)/C=C\2/C(=NOC2=O)C3=CC=CC=C3,Unspecified,,,,Inhibition,=,40,%
3,134434041,2803962,CSC1=C(C(=O)NC(S1)C2=CC=CC=C2O)C#N,Unspecified,,,,Inhibition,=,60,%
4,134435178,679379,CC1=CC=C(S1)/C=C\2/C(=NOC2=O)C3=CC=CC=C3,Unspecified,,,,Inhibition,=,80,%
5,134435179,5286131,C1=CC=C(C=C1)C\2=NOC(=O)/C2=C\C3=CC=C(C=C3)C(=O)O,Unspecified,,,,Inhibition,=,80,%
6,134435180,5395825,CC\1=NOC(=O)/C1=C\C2=CC=C(O2)C3=CC=C(C=C3)Cl,Unspecified,,,,Inhibition,=,60,%
7,134435181,728027,C1CCC2=C(C1)C=C(S2)C3=NSC(=O)O3,Unspecified,,,,Inhibition,=,40,%
8,134435182,728023,C1=CC=C2C(=C1)C=C(S2)C3=NSC(=O)O3,Unspecified,,,,Inhibition,=,40,%
9,134438824,22332415,CC1(NC(=O)C(=C(S1)SCC2=CC=CC=C2)C#N)C,Unspecified,,,,Inhibition,=,50,%
10,134439016,5390684,CC1=CC=CC=C1C\2=NOC(=O)/C2=C\C3=C(C=C(C=C3)Cl)Cl,Unspecified,,,,Inhibition,=,50,%
11,134439017,16764095,COC1=C(C=C(C=C1)CCN2CNC(=S)N(C2)CCC3=CC=CC=C3)OC,Unspecified,,,,Inhibition,=,40,%
12,134442913,22332424,C1NC(=O)C(=C(S1)SCC2=CC=CC=C2)C#N,Unspecified,,,,Inhibition,=,40,%
13,134442914,26985160,CC\1=NOC(=O)/C1=C\C2=CC=C(O2)C3=CC(=C(C=C3)Cl)Cl,Unspecified,,,,Inhibition,=,80,%
14,134442915,5769939,CC\1=NOC(=O)/C1=C\C2=CC=C(O2)C3=CC(=C(C=C3)C(=O)O)O,Unspecified,,,,Inhibition,=,90,%
15,134442916,672357,CC1=C(C=C(C=C1)[N+](=O)[O-])C2=CC=C(O2)/C=C\3/C(=NOC3=O)C,Unspecified,,,,Inhibition,=,50,%
16,134442917,2806754,COCCCN1CNC(=NC1)SCC2=C(C=C(C=C2)Cl)Cl,Unspecified,,,,Inhibition,=,40,%
17,134442918,2962128,CN1C(=O)C(NC1=O)(C(F)(F)F)NC(=O)C2=CC=CC=C2,Unspecified,,,,Inhibition,=,45,%
18,134446785,5390685,CC1=CC=CC=C1C\2=NOC(=O)/C2=C\C3=CC=CO3,Unspecified,,,,Inhibition,=,45,%
19,134446786,5301141,C1=CC=C(C=C1)C2=C(NC(=N2)C3=CN=CC=C3)C4=CC=C(C=C4)Cl,Unspecified,,,,Inhibition,=,30,%
20,134450518,6624551,C1=CC=C(C=C1)CSC2=C(C(=O)NC(S2)C3=CC=C(C=C3)C(=O)O)C#N,Unspecified,,,,Inhibition,=,50,%
21,134450720,5882693,COC1=CC=C(C=C1)C2=N/C(=C\C=C\C3=CC=CC=C3)/C(=O)O2,Unspecified,,,,Inhibition,=,55,%
22,134450721,6496910,CC1=CC=C(C=C1)S(=O)(=O)NC2=NCN(CN2)CCC3=CC(=C(C=C3)OC)OC,Unspecified,,,,Inhibition,=,80,%
23,134454344,6620994,CC1NC(=O)C(=C(S1)SCC2=CC=CC=C2)C#N,Unspecified,,,,Inhibition,=,50,%
24,134454530,6376727,C/C(=C\C1=CC=CC=C1)/C=C\2/C(=O)OC(=N2)C3=CC=CC=C3,Unspecified,,,,Inhibition,=,45,%
25,134458348,2804854,CSC1=C(C(=O)NC(S1)C2=C(C=C(C=C2)Cl)Cl)C#N,Unspecified,,,,Inhibition,=,50,%
26,134458349,4085232,C1=CC=C(C(=C1)C(=O)NC2=NN=C(S2)COC3=CC=C(C=C3)Cl)F,Unspecified,,,,Inhibition,=,40,%
27,134458350,698805,C1=CSC(=C1)C2=NSC(=O)O2,Unspecified,,,,Inhibition,=,50,%
28,134461106,330499,COC1=CC=C(C=C1)CSC2=C(C(=O)NC3(S2)CCCCC3)C#N,Unspecified,,,,Inhibition,=,50,%
29,134461940,22332425,C1=CC=C(C=C1)CSC2=C(C(=O)NC(S2)C3=CC(=C(C=C3)O)O)C#N,Unspecified,,,,Inhibition,=,50,%
