PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,HTS FI Ex485_Em525,HTS % Inhibition,Plate Mean FI,Plate STD,Z-score,HTS Assay Date
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING
RESULT_DESCR,,,,,,,,HTS mean corrected YopH Rfu of maximum assay signal plate controls ,HTS % inhibition of the YopH HTS assay is calculated from the mean max and min plate controls,Mean Florescence Intensity,Plate Standard Deviation,HTS Z-factor is calculated from the maximum and minimum assay signal window plate controls,Date the HTS assay was performed
RESULT_UNIT,,,,,,,,NANOMOLAR,NONE,NONE,NONE,NONE,
1,4242461,3237318,C1=CC=C(C=C1)C(=O)NC2(C(=O)C3=CC=CC=C3C2=O)O,Active,40,,,13.42,102.11,3484.08,584.18,-5.94,Oct 16 2007
2,845167,647501,CCN1C2=NC(=O)N(C(=O)C2=NC(=N1)C3=CC=CC=C3)C,Active,40,,,8.14,101.52,4520.53,538.83,-8.37,Oct 18 2007
3,11532976,5298,CC1=C(C(=C(N=C1C(=O)O)C2=NC3=C(C=C2)C(=O)C(=C(C3=O)N)OC)N)C4=C(C(=C(C=C4)OC)OC)O,Active,40,,,7.28,101.44,4133.74,620.31,-6.65,Oct 18 2007
4,22403745,2339359,CCO/C=C/1\C2=CC=CC=C2C(=O)N(C1=O)CC3=CC=CC=C3,Active,40,,,15.95,101.39,4599.74,490.28,-9.34,Oct 18 2007
5,3712249,2997948,C1CCN(C1)C2=NC(=C3C(=C2)C(=C(N=C3N)N4CCCC4)C#N)N,Active,40,,,8.8,101.35,5323.84,616.28,-8.62,Oct 18 2007
6,4251065,3244798,CN1C2=CC=CC=C2C(=O)N3C1=CC4=CC=CC=C4C3=O,Active,40,,,17.45,101.25,4754.54,639.47,-7.4,Oct 16 2007
7,4249736,2142222,CC1=CC=CC=C1NC2=CC3=CC=CC=C3C(=O)N2,Active,40,,,14.84,101.21,5323.84,616.28,-8.61,Oct 18 2007
8,14723875,460749,CN1C2=NC(=O)N(C(=O)C2=NC(=N1)C3=CC=C(C=C3)Cl)C,Active,40,,,10.38,101.2,5442.57,727.33,-7.46,Oct 11 2007
9,17510947,5789769,CC1=CC(=C(C=C1)S(=O)(=O)/N=C\2/C=C(C(=O)C3=CC=CC=C32)SC4=NC=NN4)C,Active,40,,,12.65,101.2,4298.72,483.79,-8.85,Oct 18 2007
10,4251929,2142225,C1=CC=C(C=C1)NC2=CC3=CC=CC=C3C(=O)N2,Active,40,,,25.8,101.15,4193.9,597.96,-6.97,Oct 16 2007
11,24708047,5461521,C1COCCN1CCNC2=CC(=O)C3=C(C2=O)C=NC=C3,Active,40,,,14.44,101.08,4451.09,530.56,-8.36,Oct 18 2007
12,14726526,460747,CC1=NN(C2=NC(=O)N(C(=O)C2=N1)C)C,Active,40,,,9.88,101.08,5461.27,1456.26,-3.74,Oct 11 2007
13,22405508,15945063,CN1CCC2=CC3=C(C4=C2[C@H]1[C@@H](C5=CC=CC=C54)O)OCO3.Br,Active,40,,,14.78,101.02,4177.99,534.82,-7.78,Oct 18 2007
14,14730721,254021,C1=CC=C2C(=C1)C3=C(C=C(C=C3)N)C(=O)C2=O,Active,40,,,6.94,100.91,5658.41,832.65,-6.78,Oct 11 2007
15,17510616,5791841,CC(C)C1=CC=C(C=C1)S(=O)(=O)/N=C\2/C=C(C(=O)C3=CC=CC=C32)SC4=NC=NN4,Active,40,,,34.78,100.56,4731.11,535.71,-8.76,Oct 18 2007
16,7964733,713096,C1C2=CC=CC=C2C(=O)N(C1=O)CCC3=CC=CC=C3,Active,40,,,57.54,100.42,4566.08,670.98,-6.71,Oct 16 2007
17,16952991,6763,C1=CC=C2C(=C1)C3=CC=CC=C3C(=O)C2=O,Active,40,,,34.4,100.41,6324.97,990.54,-6.35,Oct 11 2007
18,17407909,3096032,C1=C(C(=CC2=NSN=C21)Br)N,Active,39,,,63.68,99.61,4603.83,629.96,-7.2,Oct 16 2007
19,17508465,5433262,CC1=CC=C(C=C1)S(=O)(=O)/N=C\2/C=C(C(=O)C3=CC=CC=C32)SC4=NC=NN4,Active,39,,,74.05,99.6,4425.9,616.29,-7.06,Oct 18 2007
20,17431627,2829688,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N3C(=O)/C(=C/4\C5=CC=CC=C5N(C4=O)C(=O)C)/SC3=S,Active,39,,,85.15,99.17,4597.29,556.62,-8.1,Oct 18 2007
21,7972100,2834991,C1CC2=C(C(=O)C1)C3(C(=O)C4=CC=CC=C4C3(O2)O)O,Active,39,,,101.41,98.82,4073.31,601.89,-6.59,Oct 16 2007
