starter_Canonical_SMILES,Canonical_SMILES,source_DataBase,pPotency_prediction,pPotency_std,pPotency_lower_95CI,pPotency_upper_95CI,IC50(M)_prediction,IC50(M)_lower_95CI,IC50(M)_upper_95CI
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,Nc1ccn(C(O)[C@H](O)CO)c(=O)n1,BrincidofovirOnly_gen2,5.6728495140979005,0.4719532341436545,4.7478211751763375,6.597877853019464,2.1239803076891745e-06,2.524190610896497e-07,1.787223329322646e-05
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,CC[C@](O)(CO)Cn1ccc(N)nc1=O,BrincidofovirOnly_gen2,5.668061530461887,0.474522836621867,4.737996770683028,6.598126290240746,2.147526192945458e-06,2.522747066031784e-07,1.828113809539044e-05
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,CC(O)[C@@H](O)Cn1ccc(N)nc1=O,BrincidofovirOnly_gen2,5.625463376188218,0.4723835727306728,4.699591573636099,6.551335178740337,2.368844886731397e-06,2.809731505631972e-07,1.997139614993693e-05
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,Nc1ccn(C[C@H](O)C(O)O)c(=O)n1,BrincidofovirOnly_gen2,5.612347907720558,0.4716231741373548,4.687966486411343,6.536729329029773,2.4414739357374547e-06,2.905833130209295e-07,2.0513204687896185e-05
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,CC([C@H](O)CO)n1ccc(N)nc1=O,BrincidofovirOnly_gen2,5.608148642289121,0.4730588856549108,4.680953226405496,6.535344058172747,2.46519545128765e-06,2.915116675851523e-07,2.084715395233413e-05
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,CCCCCCCCCCCOCCCOP(=O)(O)COCCn1c(CO)cc(N)nc1=O,BrincidofovirOnly_gen2,5.6000718059481205,0.472045084164799,4.674863440985114,6.525280170911127,2.511471152282856e-06,2.983457317843301e-07,2.114153707185786e-05
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,CCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)c1cn(C)c(=O)nc1N,BrincidofovirOnly_gen2,5.597464635520588,0.4732241160309752,4.669945368099876,6.524983902941299,2.5265934415598294e-06,2.985493273719865e-07,2.1382310505021546e-05
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,Nc1ccn(C(CO)[C@H](O)CO)c(=O)n1,BrincidofovirOnly_gen2,5.5963322697971964,0.473161810487725,4.668935121241256,6.523729418353137,2.5331897973740903e-06,2.994129509870482e-07,2.1432107490226e-05
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,Nc1ccn(C(C(=O)O)[C@H](O)CO)c(=O)n1,BrincidofovirOnly_gen2,5.592339160651424,0.4738159648981493,4.663659869451051,6.521018451851797,2.5565885488344856e-06,3.012878013442464e-07,2.1694024712814483e-05
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,Nc1ccn(C[C@@H](CO)OCP(=O)(O)OCCCOCCCCCCCCCCO)c(=O)n1,BrincidofovirOnly_gen2,5.591736601975536,0.4721155076112308,4.666390207057524,6.517082996893548,2.560138130612212e-06,3.040303945541501e-07,2.1558065789528223e-05
