Canonical_SMILES,molecular_weight,logP,hydrogen_bond_acceptors,hydrogen_bond_donors,Lipinski,QED,stereo_centers,tpsa,PAINS_alert,BRENK_alert,NIH_alert,AMES,BBB_Martins,Bioavailability_Ma,CYP1A2_Veith,CYP2C19_Veith,CYP2C9_Substrate_CarbonMangels,CYP2C9_Veith,CYP2D6_Substrate_CarbonMangels,CYP2D6_Veith,CYP3A4_Substrate_CarbonMangels,CYP3A4_Veith,Carcinogens_Lagunin,ClinTox,DILI,HIA_Hou,NR-AR-LBD,NR-AR,NR-AhR,NR-Aromatase,NR-ER-LBD,NR-ER,NR-PPAR-gamma,PAMPA_NCATS,Pgp_Broccatelli,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,Skin_Reaction,hERG,Caco2_Wang,Clearance_Hepatocyte_AZ,Clearance_Microsome_AZ,Half_Life_Obach,HydrationFreeEnergy_FreeSolv,LD50_Zhu,Lipophilicity_AstraZeneca,PPBR_AZ,Solubility_AqSolDB,VDss_Lombardo,molecular_weight_drugbank_approved_percentile,logP_drugbank_approved_percentile,hydrogen_bond_acceptors_drugbank_approved_percentile,hydrogen_bond_donors_drugbank_approved_percentile,Lipinski_drugbank_approved_percentile,QED_drugbank_approved_percentile,stereo_centers_drugbank_approved_percentile,tpsa_drugbank_approved_percentile,PAINS_alert_drugbank_approved_percentile,BRENK_alert_drugbank_approved_percentile,NIH_alert_drugbank_approved_percentile,AMES_drugbank_approved_percentile,BBB_Martins_drugbank_approved_percentile,Bioavailability_Ma_drugbank_approved_percentile,CYP1A2_Veith_drugbank_approved_percentile,CYP2C19_Veith_drugbank_approved_percentile,CYP2C9_Substrate_CarbonMangels_drugbank_approved_percentile,CYP2C9_Veith_drugbank_approved_percentile,CYP2D6_Substrate_CarbonMangels_drugbank_approved_percentile,CYP2D6_Veith_drugbank_approved_percentile,CYP3A4_Substrate_CarbonMangels_drugbank_approved_percentile,CYP3A4_Veith_drugbank_approved_percentile,Carcinogens_Lagunin_drugbank_approved_percentile,ClinTox_drugbank_approved_percentile,DILI_drugbank_approved_percentile,HIA_Hou_drugbank_approved_percentile,NR-AR-LBD_drugbank_approved_percentile,NR-AR_drugbank_approved_percentile,NR-AhR_drugbank_approved_percentile,NR-Aromatase_drugbank_approved_percentile,NR-ER-LBD_drugbank_approved_percentile,NR-ER_drugbank_approved_percentile,NR-PPAR-gamma_drugbank_approved_percentile,PAMPA_NCATS_drugbank_approved_percentile,Pgp_Broccatelli_drugbank_approved_percentile,SR-ARE_drugbank_approved_percentile,SR-ATAD5_drugbank_approved_percentile,SR-HSE_drugbank_approved_percentile,SR-MMP_drugbank_approved_percentile,SR-p53_drugbank_approved_percentile,Skin_Reaction_drugbank_approved_percentile,hERG_drugbank_approved_percentile,Caco2_Wang_drugbank_approved_percentile,Clearance_Hepatocyte_AZ_drugbank_approved_percentile,Clearance_Microsome_AZ_drugbank_approved_percentile,Half_Life_Obach_drugbank_approved_percentile,HydrationFreeEnergy_FreeSolv_drugbank_approved_percentile,LD50_Zhu_drugbank_approved_percentile,Lipophilicity_AstraZeneca_drugbank_approved_percentile,PPBR_AZ_drugbank_approved_percentile,Solubility_AqSolDB_drugbank_approved_percentile,VDss_Lombardo_drugbank_approved_percentile
CCC(CC)CC(=O)[C@H](C)N[P@@](=O)(Oc1ccccc1)OP(=O)(O)O,393.3130000000001,3.656300000000003,5,3,4.0,0.487072109762086,2,122.16000000000004,0,1,2,0.057863712,0.5846526,0.6428746,0.23451337,0.4341577,0.28318232,0.29104885,0.1191078,0.47963667,0.36509854,0.20468068,0.4502359,0.22625622,0.40803832,0.7003368,0.021124134,0.04805494,0.057671703,0.09166898,0.1015894,0.25342694,0.12431165,0.3107007,0.24468264,0.2291822,0.016970951,0.041093234,0.1116545,0.042367507,0.48890853,0.4791852,-5.707082,8.364305,47.037292,5.2929573,-14.303146,3.0321379,1.7463505,85.13237,-1.7164673,0.14501777,64.11247803163445,71.84534270650265,61.880492091388405,78.20738137082601,63.44463971880493,44.39367311072056,69.84182776801407,79.5079086115993,47.59226713532514,66.52021089630932,95.07908611599298,15.746924428822496,39.26186291739895,26.29173989455185,68.36555360281196,82.56590509666081,85.02636203866433,80.597539543058,52.86467486818981,84.53427065026362,42.81195079086116,68.2249560632689,90.7908611599297,72.79437609841828,50.19332161687171,19.64850615114236,67.34622144112478,75.39543057996485,64.56942003514939,74.02460456942003,86.81898066783832,87.87346221441126,90.26362038664324,26.713532513181026,65.23725834797892,65.20210896309315,61.58172231985941,68.18980667838314,65.62390158172232,57.32864674868191,45.09666080843586,61.72231985940247,19.36731107205624,23.690685413005276,66.6432337434095,31.52899824253076,39.156414762741655,83.33919156414764,57.46924428822496,61.44112478031635,74.83304042179263,36.555360281195085
O=C(O)c1ccccc1,122.12299999999996,1.3848,1,1,4.0,0.6106035394285076,0,37.3,0,0,0,0.027552858,0.7397954,0.8870443,0.019626055,0.013642469,0.29014635,0.0112809,0.04099046,0.0074132322,0.10980153,0.00024302276,0.38315767,0.073946565,0.5281258,0.98465216,0.00325055,0.0147524895,0.011363918,0.0010490044,0.009661036,0.059895646,0.009704737,0.3095259,0.0031978798,0.030713683,0.0026001474,0.0046882266,0.006640248,0.0040452555,0.36938235,0.020507375,-4.522954,33.185497,-4.3913803,-16.665302,-8.810057,1.9919182,-0.5456966,63.49701,-1.7032986,-2.8972607,5.342706502636204,36.44991212653779,6.854130052724078,36.59050966608085,63.44463971880493,61.40597539543059,22.601054481546576,19.68365553602812,47.59226713532514,25.869947275922677,37.188049209138846,7.275922671353252,52.16168717047452,74.02460456942003,36.80140597539543,20.210896309314588,86.18629173989456,33.77855887521969,27.029876977152902,21.15992970123023,16.695957820738137,9.068541300527242,86.18629173989456,42.14411247803164,56.76625659050967,37.04745166959579,19.0158172231986,29.912126537785596,41.58172231985941,11.31810193321617,34.62214411247803,30.68541300527241,57.57469244288225,26.678383128295252,23.58523725834798,16.62565905096661,28.22495606326889,26.78383128295255,31.669595782073817,17.434094903339194,30.158172231985944,13.04042179261863,80.45694200351494,51.56414762741653,19.578207381370827,3.057996485061512,77.71528998242532,23.233743409490337,23.304042179261867,39.71880492091389,74.90333919156416,10.579964850615116
Oc1ccccc1,94.113,1.3922,1,1,4.0,0.514729544768675,0,20.23,0,0,0,0.05648623,0.8335414,0.8831953,0.2845206,0.081998624,0.16179024,0.01947917,0.075756595,0.039555907,0.1619389,0.0015955132,0.11006675,0.025708482,0.17205094,0.99995995,0.0032749777,0.012041658,0.022547256,0.005983363,0.056686185,0.19581854,0.007436485,0.8405296,0.0049024397,0.10711163,0.004115359,0.026995972,0.094594404,0.009566899,0.7841946,0.04784248,-4.1979094,93.47062,33.191936,-5.6412783,-6.5641656,2.194898,1.4403118,45.13231,-0.49433786,-0.78548986,3.5149384885764503,36.52021089630932,6.854130052724078,36.59050966608085,63.44463971880493,48.26010544815466,22.601054481546576,9.666080843585238,47.59226713532514,25.869947275922677,37.188049209138846,15.184534270650264,60.73813708260106,72.82952548330405,71.70474516695958,48.33040421792619,60.105448154657296,40.94903339191565,40.0,45.62390158172232,22.7768014059754,21.124780316344467,33.427065026362044,16.414762741652023,30.931458699472763,81.47627416520211,19.086115992970125,23.65553602811951,51.07205623901582,32.196836555360285,77.78558875219684,83.12829525483305,52.829525483304046,56.41476274165203,26.818980667838314,45.90509666080844,35.430579964850615,60.24604569420036,63.55008787346222,29.279437609841832,83.47978910369069,23.79613356766257,95.3602811950791,85.62390158172232,56.44991212653779,12.829525483304044,89.66608084358525,34.516695957820744,52.4780316344464,24.60456942003515,89.8066783831283,27.59226713532513
CC(C)=CCc1ccccc1O,162.232,2.9009000000000014,1,1,4.0,0.6627927610966273,0,20.23,0,1,0,0.06938491,0.8819765,0.80995166,0.71650994,0.47833028,0.18145558,0.17268947,0.23949012,0.44487056,0.42105788,0.030330632,0.11623025,0.046063595,0.13334367,0.999941,0.0039739884,0.008769462,0.072338305,0.057649232,0.1294985,0.26492804,0.025915572,0.92642564,0.07107646,0.23843774,0.009290842,0.09868379,0.5000232,0.03733366,0.8193885,0.38964835,-4.4283533,133.82246,93.07143,-2.6126838,-5.8046503,2.0853736,3.0583694,78.679565,-2.9076962,0.7780193,11.56414762741652,59.89455184534271,6.854130052724078,36.59050966608085,63.44463971880493,69.10369068541301,22.601054481546576,9.666080843585238,47.59226713532514,66.52021089630932,37.188049209138846,19.086115992970125,66.18629173989456,52.93497363796134,88.11950790861161,84.14762741652022,65.62390158172232,73.42706502636204,72.091388400703,83.40949033391917,48.01405975395431,44.25307557117751,35.39543057996485,30.298769771529003,24.42882249560633,78.55887521968366,22.39015817223199,15.219683655536029,67.69771528998243,66.57293497363797,89.24428822495607,88.7170474516696,71.35325131810194,71.45869947275924,49.42003514938489,65.94024604569421,49.701230228471005,83.62038664323376,87.80316344463972,54.58699472759227,86.71353251318102,57.15289982425308,86.1511423550088,95.60632688927944,88.43585237258348,17.926186291739896,91.63444639718806,27.697715289982423,80.73813708260106,54.6572934973638,54.55184534270651,43.58523725834798
CCN[P@@](=O)(Oc1cccc(C(=O)OCC(CC)CC)c1)OP(=O)(O)O,409.3120000000001,3.485300000000003,6,3,4.0,0.3711214850520596,1,131.39,0,1,2,0.023837399,0.5659088,0.736008,0.38759995,0.47668418,0.34811848,0.37264088,0.13079756,0.41599798,0.36417508,0.111117676,0.43966666,0.19279113,0.51810426,0.8093866,0.010260417,0.04174783,0.08267581,0.078260064,0.09001491,0.2331845,0.120824695,0.38052994,0.20829873,0.19255443,0.01349097,0.02622028,0.16738048,0.035606842,0.37097993,0.39861408,-5.6179247,18.599697,53.44442,11.567482,-14.0980425,2.9237573,1.8467747,88.76506,-1.8131739,2.038259,67.55711775043937,69.06854130052724,72.46045694200352,78.20738137082601,63.44463971880493,29.420035149384887,55.32513181019333,81.792618629174,47.59226713532514,66.52021089630932,95.07908611599298,6.467486818980668,38.03163444639719,38.4182776801406,76.4499121265378,84.14762741652022,92.12653778558877,84.81546572934974,56.44991212653779,82.60105448154658,42.74165202108964,59.64850615114237,90.1230228471002,69.13884007029877,56.27416520210897,22.88224956063269,48.08435852372584,70.50966608084359,69.10369068541301,71.45869947275924,85.3427065026362,86.29173989455185,90.01757469244289,29.314586994727595,62.95254833040423,60.597539543058005,57.29349736379614,59.92970123022848,71.21265377855889,53.77855887521969,30.298769771529003,57.53954305799649,21.195079086116,35.465729349736385,71.07205623901582,42.81195079086116,40.77328646748682,78.76977152899825,59.19156414762743,67.41652021089631,73.67311072056239,55.71177504393673
CCC(CC)COC(=O)O[C@H](C)N[P@@](=O)(Oc1ccccc1)OP(=O)(O)O,425.3110000000001,3.807800000000004,7,3,4.0,0.2722224222677108,2,140.62,0,2,3,0.03370558,0.59445304,0.68783236,0.31789112,0.47271848,0.31565213,0.3182345,0.110650554,0.45961633,0.34252536,0.15469739,0.45866007,0.20512733,0.47902888,0.7356522,0.012162341,0.04033927,0.07101335,0.08774772,0.09017899,0.2504652,0.119434774,0.31979495,0.22615878,0.21381338,0.014053179,0.030531872,0.13278139,0.04124085,0.4184162,0.4305726,-5.626987,16.432705,56.001354,9.381718,-13.766693,2.912585,1.9232582,89.05322,-1.6510853,1.1959345,71.07205623901582,73.95430579964851,79.85940246045695,78.20738137082601,63.44463971880493,17.188049209138843,69.84182776801407,83.8664323374341,47.59226713532514,87.9261862917399,98.89279437609842,9.068541300527242,39.82425307557118,31.84534270650264,73.49736379613357,84.07732864674868,88.92794376098419,81.93321616871705,50.43936731107206,83.8664323374341,41.30052724077329,64.14762741652022,91.35325131810194,70.54481546572936,54.72759226713533,20.45694200351494,52.68892794376099,69.52548330404218,67.41652021089631,73.32161687170475,85.37785588752197,87.69771528998243,89.87697715289983,26.889279437609844,63.93673110720563,63.198594024604574,58.03163444639719,62.601054481546576,67.94376098418279,56.80140597539543,36.41476274165203,59.12126537785589,20.949033391915645,32.93497363796134,72.86467486818981,38.87521968365554,43.02284710017575,78.34797891036908,61.01933216168717,67.87346221441125,75.53602811950792,48.08435852372584
Oc1cccc(O)c1,110.11199999999998,1.0978,2,2,4.0,0.5245841402909771,0,40.46,0,0,0,0.10499449,0.41235566,0.7479905,0.42917222,0.11059113,0.09762405,0.057538547,0.045991227,0.11303592,0.14485213,0.020420793,0.08289902,0.053395547,0.20722942,0.99962837,0.010270887,0.026617462,0.21694586,0.026242,0.19035383,0.2816977,0.010549339,0.5481332,0.010246831,0.3630585,0.019558808,0.07680883,0.39081758,0.051198136,0.8100778,0.083967194,-4.538662,96.470314,39.065853,-17.894491,-9.815058,2.1760252,1.3454549,48.550037,-0.51142824,-0.0063167093,4.586994727592267,32.89982425307557,17.10017574692443,61.37082601054482,63.44463971880493,49.73637961335677,22.601054481546576,23.02284710017575,47.59226713532514,25.869947275922677,37.188049209138846,28.64674868189807,26.502636203866437,40.597539543058,78.55887521968366,53.49736379613357,36.48506151142355,57.15289982425308,29.068541300527244,62.46045694200352,21.15992970123023,40.35149384885765,25.30755711775044,33.5676625659051,35.149384885764505,64.42882249560633,48.154657293497365,51.31810193321618,82.07381370826012,54.02460456942004,92.89982425307558,89.49033391915643,58.76977152899825,36.063268892794376,33.286467486818985,75.57117750439367,63.831282952548335,79.7188049209139,83.33919156414764,60.87873462214412,85.90509666080844,29.630931458699475,78.91036906854131,86.95957820738138,61.30052724077329,2.636203866432337,72.05623901581723,33.11072056239016,50.86115992970124,26.959578207381373,89.56063268892795,34.93848857644991
CCC(C)(C)COC(=O)[C@H](C)N[P@@](=O)(Oc1ccccc1)OP(=O)(O)O,409.312,3.240300000000002,6,3,4.0,0.3935137024126721,2,131.39,0,1,2,0.049681604,0.5832397,0.6045804,0.22373375,0.33697274,0.18100369,0.17772213,0.12330972,0.4792034,0.33180434,0.119661175,0.38158196,0.19760923,0.26218626,0.63178635,0.013335286,0.03821797,0.03427557,0.07590141,0.121533275,0.26882452,0.07045839,0.30890042,0.17728761,0.23645088,0.010627583,0.033445425,0.1030831,0.031021405,0.5142239,0.44171652,-5.644557,14.414827,51.997986,5.5981984,-13.948848,2.9260828,1.8365825,87.39974,-1.628726,0.53114784,67.55711775043937,64.88576449912127,72.46045694200352,78.20738137082601,63.44463971880493,32.337434094903344,69.84182776801407,81.792618629174,47.59226713532514,66.52021089630932,95.07908611599298,13.216168717047452,39.19156414762742,22.987697715289983,67.48681898066785,76.66080843585237,65.51845342706503,73.81370826010546,53.95430579964851,84.53427065026362,40.21089630931459,60.49209138840071,85.94024604569421,69.59578207381371,40.38664323374341,17.926186291739896,55.07908611599297,67.41652021089631,57.01230228471002,70.82601054481547,88.54130052724078,88.89279437609842,84.18277680140598,26.60808435852373,60.140597539543066,65.79964850615114,52.61862917398946,63.79613356766257,64.78031634446398,51.35325131810194,48.89279437609842,59.92970123022848,20.597539543058,30.72056239015817,69.98242530755712,32.056239015817226,41.86291739894552,78.84007029876977,59.12126537785589,65.09666080843586,75.85237258347979,40.28119507908612
Oc1ccccc1O,110.11199999999998,1.0978,2,2,4.0,0.4907276689015206,0,40.46,1,1,1,0.42239937,0.5424199,0.77062225,0.37928408,0.05270775,0.073594525,0.019490007,0.07906566,0.06753183,0.1784117,0.015485709,0.13150059,0.059172194,0.18150035,0.9989435,0.016940147,0.018759193,0.28039303,0.020817708,0.10209392,0.13850456,0.011517188,0.63585377,0.0061105518,0.41242948,0.027448505,0.09667441,0.24455531,0.060530614,0.87946844,0.1011042,-4.6031895,72.51923,17.444067,-20.077595,-10.253347,2.2902036,1.0062324,46.94924,-0.3748374,-0.9741195,4.586994727592267,32.89982425307557,17.10017574692443,61.37082601054482,63.44463971880493,45.061511423550094,22.601054481546576,23.02284710017575,97.39894551845344,66.52021089630932,83.09314586994728,72.05623901581723,35.922671353251324,44.8506151142355,76.06326889279438,40.73813708260106,28.96309314586995,40.98418277680141,41.12478031634447,53.67311072056239,24.534270650263625,38.242530755711776,40.597539543058,36.063268892794376,32.16168717047452,55.99297012302285,61.82776801405976,38.03163444639719,86.1511423550088,50.896309314587,86.81898066783832,71.91564147627417,60.24604569420036,40.17574692442883,28.752196836555363,78.48857644991213,68.78734622144113,83.30404217926187,76.4499121265378,63.3743409490334,93.21616871704748,31.669595782073817,73.74340949033393,76.02811950790861,41.6871704745167,2.1441124780316345,68.54130052724078,40.17574692442883,45.51845342706503,25.83479789103691,91.24780316344464,25.9402460456942
Oc1ccc(O)cc1,110.11199999999998,1.0978,2,2,4.0,0.4907276689015206,0,40.46,0,1,1,0.42185897,0.3953107,0.70027745,0.7595253,0.22138306,0.088545464,0.11267865,0.05398673,0.09742738,0.22511928,0.05341689,0.08716297,0.051557817,0.3106398,0.99945307,0.031998083,0.043915175,0.4792374,0.056991506,0.3872717,0.4230536,0.020393267,0.6833851,0.013960163,0.6433612,0.09675584,0.16257274,0.63203543,0.1620919,0.89759713,0.12289454,-4.4588084,97.15794,34.080147,-11.4973955,-9.396189,2.0424883,1.241278,42.539055,-0.15220156,0.6277314,4.586994727592267,32.89982425307557,17.10017574692443,61.37082601054482,63.44463971880493,45.061511423550094,22.601054481546576,23.02284710017575,47.59226713532514,66.52021089630932,83.09314586994728,71.9859402460457,25.237258347978912,33.49736379613357,89.38488576449913,67.34622144112478,33.63796133567663,67.38137082601055,31.634446397188054,59.92970123022848,30.158172231985944,50.57996485061512,26.5377855887522,32.79437609841828,44.07732864674868,61.05448154657294,76.27416520210897,72.68892794376099,92.54833040421794,66.32688927943761,96.8365553602812,94.23550087873464,68.40070298769773,42.88224956063269,35.71177504393673,91.63444639718806,85.3427065026362,90.01757469244289,91.9859402460457,81.0896309314587,94.90333919156416,33.84885764499121,84.4639718804921,87.48681898066785,57.15289982425308,6.608084358523726,74.34094903339192,25.483304042179263,48.99824253075572,22.35500878734622,92.72407732864676,41.61687170474517
