reactants,products,reactionString,ruleName,thermo,reactionType
CC(=O)O[C@H]1[C@@H](O)[C@H](n2cnc3c(N)ncnc32)O[C@@H]1C(C)O,CC(O)O[C@H]1[C@H]2Oc3nc4c(N)ncnc4n3[C@@H]2O[C@@H]1C(C)O,CC(=O)O[C@H]1[C@@H](O)[C@H](n2cnc3c(N)ncnc32)O[C@@H]1C(C)O >> CC(O)O[C@H]1[C@H]2Oc3nc4c(N)ncnc4n3[C@@H]2O[C@@H]1C(C)O,rule0169_1,No_Thermo,Enzymatic
CC(O)Nc1ncnc2c1ncn2[C@]12O[C@@H]1[C@H](O)[C@@H](CO)O2,C[C@@]1(O)[C@H]2O[C@]2(n2cnc3c(NCO)ncnc32)O[C@@H]1CO,CC(O)Nc1ncnc2c1ncn2[C@]12O[C@@H]1[C@H](O)[C@@H](CO)O2 >> C[C@@]1(O)[C@H]2O[C@]2(n2cnc3c(NCO)ncnc32)O[C@@H]1CO,rule0028_51,No_Thermo,Enzymatic
CC(=O)O[C@H]1[C@@H](O)[C@H](n2cnc3c(N)ncnc32)O[C@@H]1C(C)O,CC(O)O[C@H]1[C@@H](O)[C@H]2O[C@@H]1C(C)Oc1nc(N)c3ncn2c3n1,CC(=O)O[C@H]1[C@@H](O)[C@H](n2cnc3c(N)ncnc32)O[C@@H]1C(C)O >> CC(O)O[C@H]1[C@@H](O)[C@H]2O[C@@H]1C(C)Oc1nc(N)c3ncn2c3n1,rule0169_1,No_Thermo,Enzymatic
NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.Nc1nc2nc3c1ncn3[C@@H]1O[C@H](C(O)O)[C@@H](O2)[C@H]1O,NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.Nc1nc2nc3c1ncn3[C@@H]1O[C@H](C(=O)O)[C@@H](O2)[C@H]1O,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.Nc1nc2nc3c1ncn3[C@@H]1O[C@H](C(O)O)[C@@H](O2)[C@H]1O >> NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.Nc1nc2nc3c1ncn3[C@@H]1O[C@H](C(=O)O)[C@@H](O2)[C@H]1O,rule0002_154,No_Thermo,Enzymatic
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1OC=O,Nc1ncnc2c1nc1n2[C@@H]2O[C@H](CO1)[C@@H](O)[C@H]2OCO,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1OC=O >> Nc1ncnc2c1nc1n2[C@@H]2O[C@H](CO1)[C@@H](O)[C@H]2OCO,rule0169_1,No_Thermo,Enzymatic
CC(=O)O,C.O=C=O,CC(=O)O >> C.O=C=O,rule0024_52,No_Thermo,Enzymatic
CC(=O)O[C@H]1[C@@H](O)[C@H](n2cnc3c(N)ncnc32)O[C@@H]1C(C)O.CC(=O)O[C@H]1[C@@H](O)[C@H](n2cnc3c(N)ncnc32)O[C@@H]1C(C)O,CC(=O)O[C@H]1[C@@H](O)[C@H](n2c(C)nc3c(N)ncnc32)O[C@@H]1C(C)O.CC(=O)O[C@H]1[C@@H](O)[C@H](n2cnc3c(N)ncnc32)O[C@@H]1CO,CC(=O)O[C@H]1[C@@H](O)[C@H](n2cnc3c(N)ncnc32)O[C@@H]1C(C)O.CC(=O)O[C@H]1[C@@H](O)[C@H](n2cnc3c(N)ncnc32)O[C@@H]1C(C)O >> CC(=O)O[C@H]1[C@@H](O)[C@H](n2c(C)nc3c(N)ncnc32)O[C@@H]1C(C)O.CC(=O)O[C@H]1[C@@H](O)[C@H](n2cnc3c(N)ncnc32)O[C@@H]1CO,rule0126_2,No_Thermo,Enzymatic
CC(=O)Nc1ncnc2c1nc(C)n2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,Cc1nc2c(NC(C)O)ncnc2n1[C@@H]1O[C@H](CO)[C@@]2(O)O[C@@H]12,CC(=O)Nc1ncnc2c1nc(C)n2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O >> Cc1nc2c(NC(C)O)ncnc2n1[C@@H]1O[C@H](CO)[C@@]2(O)O[C@@H]12,rule0169_1,No_Thermo,Enzymatic
C[C@]1(O)[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(NC=O)ncnc21.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O,C[C@]1(O)[C@H](O)[C@@H](C=O)O[C@H]1n1cnc2c(NC=O)ncnc21.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O.O,C[C@]1(O)[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(NC=O)ncnc21.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O >> C[C@]1(O)[C@H](O)[C@@H](C=O)O[C@H]1n1cnc2c(NC=O)ncnc21.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O.O,rule0073_5,No_Thermo,Enzymatic
C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O.Cc1nc2c(NC=O)ncnc2n1[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CO[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1c(C)nc2c(NC=O)ncnc21.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O.Cc1nc2c(NC=O)ncnc2n1[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O >> CO[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1c(C)nc2c(NC=O)ncnc21.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,rule0011_51,No_Thermo,Enzymatic
CC(=O)[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(N)ncnc21.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,CC(=O)[C@@H]1[C@H](O)[C@@H](C=O)O[C@H]1n1cnc2c(N)ncnc21.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,CC(=O)[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(N)ncnc21.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1 >> CC(=O)[C@@H]1[C@H](O)[C@@H](C=O)O[C@H]1n1cnc2c(N)ncnc21.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,rule0002_154,No_Thermo,Enzymatic
CC(=O)Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CC(O)Nc1ncnc2c1ncn2[C@@H]1O[C@@H]2CO[C@@]2(O)[C@H]1O,CC(=O)Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O >> CC(O)Nc1ncnc2c1ncn2[C@@H]1O[C@@H]2CO[C@@]2(O)[C@H]1O,rule0169_1,No_Thermo,Enzymatic
CC(=O)OC[C@]1(n2cnc3c(N)ncnc32)OC[C@@H](O)[C@H]1O,CC(O)OC[C@]1(n2cnc3c(N)ncnc32)OC2O[C@@H]1[C@@H]2O,CC(=O)OC[C@]1(n2cnc3c(N)ncnc32)OC[C@@H](O)[C@H]1O >> CC(O)OC[C@]1(n2cnc3c(N)ncnc32)OC2O[C@@H]1[C@@H]2O,rule0169_1,No_Thermo,Enzymatic
CC(=O)O[C@@H]1[C@H](O)[C@@H](CO)O[C@]1(C)n1cnc2c(N)ncnc21.O,CC(=O)O.C[C@]1(n2cnc3c(N)ncnc32)O[C@H](CO)[C@@H](O)[C@H]1O,CC(=O)O[C@@H]1[C@H](O)[C@@H](CO)O[C@]1(C)n1cnc2c(N)ncnc21.O >> CC(=O)O.C[C@]1(n2cnc3c(N)ncnc32)O[C@H](CO)[C@@H](O)[C@H]1O,rule0007_198,No_Thermo,Enzymatic
CC(=O)Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](OC(C)=O)[C@H]1O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O.O=P(O)(O)O,CC(=O)O.CC(=O)O[C@H]1[C@@H](O)[C@H](n2cnc3c(N)ncnc32)O[C@@H]1CO.Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,CC(=O)Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](OC(C)=O)[C@H]1O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O.O=P(O)(O)O >> CC(=O)O.CC(=O)O[C@H]1[C@@H](O)[C@H](n2cnc3c(N)ncnc32)O[C@@H]1CO.Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,rule0049_23,No_Thermo,Enzymatic
CC(=O)Nc1ncnc2c1nc(C)n2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O.OO,Cc1nc2c(NC(C)O)ncnc2n1[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O.O=O,CC(=O)Nc1ncnc2c1nc(C)n2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O.OO >> Cc1nc2c(NC(C)O)ncnc2n1[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O.O=O,rule0078_17,No_Thermo,Enzymatic
C[C@]1(O)[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(NC=O)ncnc21,C[C@]1(O)[C@@H]2O[C@]1(n1cnc3c(NCO)ncnc31)O[C@@H]2CO,C[C@]1(O)[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(NC=O)ncnc21 >> C[C@]1(O)[C@@H]2O[C@]1(n1cnc3c(NCO)ncnc31)O[C@@H]2CO,rule0169_1,No_Thermo,Enzymatic
