Starter_Name,Canonical_SMILES
Remdesivir,CCC(CC)CC(=O)[C@H](C)N[P@@](=O)(Oc1ccccc1)OP(=O)(O)O
Adenosine,CC(=O)OP(=O)(O)OC(C)=O
Remdesivir,O=C(O)c1ccccc1
Remdesivir,Oc1ccccc1
Remdesivir,CC(C)=CCc1ccccc1O
Remdesivir,CCN[P@@](=O)(Oc1cccc(C(=O)OCC(CC)CC)c1)OP(=O)(O)O
Remdesivir,CCC(CC)COC(=O)O[C@H](C)N[P@@](=O)(Oc1ccccc1)OP(=O)(O)O
Remdesivir,Oc1cccc(O)c1
Remdesivir,CCC(C)(C)COC(=O)[C@H](C)N[P@@](=O)(Oc1ccccc1)OP(=O)(O)O
Remdesivir,Oc1ccccc1O
Remdesivir,Oc1ccc(O)cc1
Remdesivir,O=C(O)c1ccccc1O
Remdesivir,CC(=O)Oc1ccccc1
Remdesivir,CCN[P@@](=O)(Oc1ccc(C(=O)OCC(CC)CC)cc1)OP(=O)(O)O
Remdesivir,CCC(CC)c1cccc(O[P@](=O)(N[C@@H](C)C(=O)OC)OP(=O)(O)O)c1
Remdesivir,O=C(O)c1ccc(O)cc1
Remdesivir,O=CC=CC=CC(=O)O
Guanosine,CC(=O)OP(=O)(O)OP(=O)(O)O
Adenosine,Nc1ncnc2c1ncn2[C@@H]1OC(C(O)O)=C[C@H]1O
Remdesivir,CCC(CC)COC(=O)C(C)(C)N[P@@](=O)(Oc1ccccc1)OP(=O)(O)O
Adenosine,CC(Cl)[C@H]1O[C@@H](n2cnc3c(NC=O)ncnc32)[C@H](O)[C@@H]1O
Remdesivir,O=CC=CC=C(O)C=O
Remdesivir,CCC(C)(CC)COC(=O)[C@H](C)N[P@@](=O)(Oc1ccccc1)OP(=O)(O)O
Guanosine,O=C(O)CC(=O)OP(=O)(O)O
Guanosine,C[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(NC=O)nc32)[C@H](O)[C@@H]1O
Remdesivir,CCC(CC)COC(=O)[C@H](C)N[P@@](=O)(Oc1ccccc1CC=C(C)C)OP(=O)(O)O
