Model,FeatureCountMin,FeatureCountMax,Train_MAE,Train_RMSE,Train_R2,Test_MAE,Test_RMSE,Test_R2
wMACAW_ChemBERTa_MoLFormer_MIST,2108,2108,0.14582321218589453,0.2655068757000358,0.9318431823195882,0.28602423900057017,0.45660808960750743,0.7984211501138813
wMACAW_ChemBERTa_MoLFormer,1596,1596,0.14108099019837986,0.25300783727207293,0.9381092552799416,0.29317580123301795,0.4591536017201848,0.7961673499826518
wChemBERTa_MoLFormer_MIST,2048,2048,0.14642968359693823,0.26578366596703074,0.9317010016160069,0.289484344438722,0.4595254819422377,0.7958370377403763
wMACAW_MoLFormer_MIST,1340,1340,0.13860524744553143,0.24674048432999557,0.9411375159533805,0.29430403249452924,0.46062836164823134,0.7948558630207121
wChemBERTa_MoLFormer,1536,1536,0.14194851437024483,0.25405440717217964,0.9375961726945302,0.2982511763890833,0.46409403043653563,0.7917573295681204
wMoLFormer_MIST,1280,1280,0.13907823092690055,0.24669208401780732,0.941160606474478,0.29916208555404167,0.46494040110683854,0.7909970905154681
wMACAW_MoLFormer,828,828,0.13293420326471117,0.23359891740966063,0.9472406530217388,0.30559064323335483,0.4696874769257559,0.786707432609796
wMoLFormer,768,768,0.1333620502857341,0.23410677181910938,0.9470110013346065,0.3127751060062325,0.4776687450191116,0.779397001802455
wMACAW,60,60,0.25361227526576324,0.43395841807460667,0.8179234588075085,0.3109689764114603,0.513257729672962,0.7453001101550223
wMACAW_MIST,572,572,0.25076785673155594,0.4241451611062969,0.8260650753658191,0.3155457429570212,0.5156908304536684,0.7428795742906905
wMACAW_ChemBERTa,828,828,0.24675541458795852,0.4220137262712873,0.827808815404402,0.3162602788032696,0.5176431817765714,0.7409290271288733
wMACAW_ChemBERTa_MIST,1340,1340,0.24291075091846598,0.41854975037361997,0.8306239757542957,0.31325883471070765,0.5176625544063795,0.7409096354701274
wChemBERTa_MIST,1280,1280,0.2478859213042011,0.4226520448690494,0.8272875244927264,0.32118592949962743,0.5241797489838633,0.7343448515599151
wChemBERTa,768,768,0.2576850315584139,0.43234955832351274,0.8192710192696537,0.3298221277633182,0.5292901855944748,0.7291396456848454
wMIST,512,512,0.26611451276568376,0.44053367077582106,0.812364082226096,0.33478964889973273,0.5334839050275647,0.7248304314058893
