Starter_Name,Starter_Canonical_SMILES,Target_Canonical_SMILES,DORAnet_gen,feasibilityScore_rule3
Adenosine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CC(Cl)(C#N)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,3,0.9677231
Adenosine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CC(=O)Nc1ncnc2c1ncn2[C@@H]1O[C@H](COC(C)O)[C@@H](O)[C@H]1O,3,0.795389
Adenosine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CC(=O)NC(C)O[C@H]1[C@@H](O)[C@H](n2cnc3c(N)ncnc32)O[C@@H]1CO,3,0.86126137
Adenosine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CC(=O)NC(C)O[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(N)ncnc21,3,0.710623
Adenosine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CC(=O)Nc1ncnc2c1ncn2[C@@H]1O[C@@H]2COC(O)CO[C@H]2[C@H]1O,3,0.9100821
Adenosine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CC(=O)Nc1nc(C)nc2c1ncn2[C@@H]1O[C@H](COC=O)[C@@H](O)[C@H]1O,3,0.91342354
Adenosine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CC(=O)Nc1ncnc2c1ncn2[C@@H]1O[C@H](COC(C)=O)[C@@H](O)[C@H]1O,2,0.8970831
Adenosine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COC(=O)CCl)[C@@H](O)[C@H]1O,3,0.93913025
Adenosine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CCO[C@H]1[C@@H](O)[C@H](n2cnc3c(N)ncnc32)O[C@@H]1COC(C)=O,3,0.9302218
Adenosine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,COC[C@H]1O[C@@H](n2cnc3c(NC(C)=O)ncnc32)[C@H](O)[C@@H]1OC,3,0.7708696
