Name,MAE,MRAE(%),StdAE,MSE,$R^2$
Neural Regressor,0.2508062340516466,4.594199758980213,0.3009063076295478,0.15344837301041736,0.8516388988587849
Random Forest Regressor,0.21875600722794342,4.071010379700738,0.2911936313834097,0.13264792165656913,0.8717497531255922
Support Vector Regressor,0.2685741894555119,5.037260671869448,0.3477356639067554,0.19305218719435713,0.8133480693996644
Kernel Ridge Regressor,0.6379644602265223,11.050412107726073,0.42619145728170976,0.5886378107720254,0.43087729073827874
K-NN Regressor,0.3182060363983476,5.824539234247706,0.3363049310027918,0.2143560882171391,0.7927504563241005
Gaussian Process Regressor,0.2596947548870961,4.793584706417113,0.29727702873443346,0.1558149975290421,0.8493507350113446
Gradient Boosting Regressor,0.3308450706077038,6.060712383918934,0.29621858950258145,0.1972039135123154,0.809333985209098
TPOT Regressor 1,0.2267705362126479,4.222107554866655,0.2970959128392013,0.1396908575199301,0.8649403116212222
TPOT Regressor 2,0.22629225436554004,4.2162309511828,0.2952505777182321,0.13838108802878807,0.8662066583418473
Ensemble Model (L1),0.23046335307861168,4.28718250101135,0.29402148099026437,0.13956198839594522,0.8650649083488539
