starter_Canonical_SMILES,Canonical_SMILES,generationSteps,DerivativeSimScore,NonDerivativeSimScore
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,CCCCCCCCCC[C@](CO)(Cn1ccc(N)nc1=O)OCP(=O)(O)OP(=O)(O)O,2,0.4667,
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,CCCCCCCCCCC(O[C@H](CO)Cn1ccc(N)nc1=O)P(=O)(O)OP(=O)(O)O,2,0.5714,
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,CCCCCCCCCCC(O)[C@H](Cn1ccc(N)nc1=O)OCP(=O)(O)OP(=O)(O)O,2,0.5493,
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,CCCCCCCCCCC([C@@H](CO)OCP(=O)(O)OP(=O)(O)O)n1ccc(N)nc1=O,2,0.4865,
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,CCCCCCCCCCc1cn(C[C@@H](CO)OCP(=O)(O)OP(=O)(O)O)c(=O)nc1N,2,0.5278,
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,CCCCCCCCCCc1cc(N)nc(=O)n1C[C@@H](CO)OCP(=O)(O)OP(=O)(O)O,2,0.5068,
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,CCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CCl)Cn1ccc(N)nc1=O,2,0.8525,
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,CCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1c(CCOCCCC)cc(N)nc1=O,2,0.6377,
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,CCCCCCCCCOCCC(CO)OP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,2,0.8095,
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,CCCCCCCCCOCC(CO)COP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,2,0.8125,
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,CCCCOCCCOP(=O)(O)CO[C@@H](Cn1ccc(N)nc1=O)C(O)CCOCCCC,2,0.6866,
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,CCCCCCCC(CO)COCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,2,0.8308,
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,CCCCCCC(CO)CCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,2,0.8594,
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,CCCCOCCC(COCCCC)COP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,2,0.7463,
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,CCCCCCCCCCOCCC(O)OP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,2,0.7846,
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,CCCCCCCCCCOCCCOP(=O)(O)CO[C@@](O)(CO)Cn1ccc(N)nc1=O,2,0.6866,
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,CCC(O)CCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,2,0.8281,
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,CCCCCCCCC(CO)OCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,2,0.8525,
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,CCCCCCC(O)CCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,2,0.873,
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,CCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)C(CO)n1ccc(N)nc1=O,2,0.697,
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,CCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)C(O)n1ccc(N)nc1=O,2,0.6866,
