Canonical_SMILES,Drug_Type,pPotency_prediction,pPotency_std,pPotency_lower_95CI,pPotency_upper_95CI,IC50(M)_prediction,IC50(M)_lower_95CI,IC50(M)_upper_95CI
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,antiviral,6.628575923389479,0.469759719218486,5.707846873721246,7.549304973057712,2.3519282931902937e-07,2.8228969659161543e-08,1.959535457049092e-06
CC[C@@H]1[C@@H]2CN(C(=O)[C@H](C(C)(C)C)NC(=O)O[C@@H]3C[C@H]3CCCCC(F)(F)c3nc4ccc(OC)cc4nc3O2)[C@@H]1C(=O)N[C@]1(C(=O)NS(=O)(=O)C2(C)CC2)C[C@H]1C(F)F,antiviral,6.4214591920590065,0.4736409994660878,5.493122833105474,7.349795551012539,3.789141362714132e-07,4.4689392295462274e-08,3.2127517357377377e-06
CC(C)(C)[C@@H]1NC(=O)O[C@@H]2CCC[C@H]2OC/C=C/C(F)(F)c2nc3ccccc3nc2O[C@@H]2C[C@@H](C(=O)N[C@]3(C(=O)NS(=O)(=O)C4(C)CC4)C[C@H]3C(F)F)N(C2)C1=O,antiviral,6.360733291255917,0.474828052169282,5.430070309004124,7.29139627350771,4.357794121956898e-07,5.11215162614158e-08,3.7147508521172637e-06
COC(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)Nc1ccc([C@@H]2CC[C@@H](c3ccc(NC(=O)[C@@H]4CCCN4C(=O)[C@@H](NC(=O)OC)C(C)C)cc3)N2c2ccc(C(C)(C)C)cc2)cc1)C(C)C,antiviral,6.231433061900207,0.4745196631397611,5.301374522146275,7.161491601654139,5.869038225276344e-07,6.894589257338971e-08,4.996035065191033e-06
COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1nc2cc([C@H]3CC[C@H](c4cc5nc([C@@H]6CCCN6C(=O)[C@@H](NC(=O)OC)[C@@H](C)OC)[nH]c5cc4F)N3c3cc(F)c(N4CCC(c5ccc(F)cc5)CC4)c(F)c3)c(F)cc2[nH]1)[C@@H](C)OC,antiviral,6.1923633505828315,0.4729633402702566,5.265355203653129,7.119371497512534,6.421502403135456e-07,7.596761684117614e-08,5.428061959569565e-06
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H]2CN1C(=O)[C@H](C(C)(C)C)NC(=O)O[C@@H]1C[C@H]1CCCCCc1nc3ccc(OC)cc3nc1O2)C(=O)NS(=O)(=O)C1CC1,antiviral,6.158753270147868,0.4777158362358889,5.222430231125526,7.095076309170211,6.938198645692681e-07,8.033849483333255e-08,5.991971911716594e-06
COc1ccc2c(O[C@@H]3C[C@H]4C(=O)N[C@]5(C(=O)NS(=O)(=O)C6CC6)C[C@@H]5/C=C\CCCCN(C)C(=O)[C@@H]4C3)cc(-c3nc(C(C)C)cs3)nc2c1C,antiviral,6.099179786060651,0.47491689295456785,5.168342675869698,7.030016896251603,7.958298303897168e-07,9.332179931914374e-08,6.786679249209491e-06
COC(=O)N[C@H](C(=O)N1CC2(CC2)C[C@H]1c1nc(-c2ccc3c(c2)C(F)(F)c2cc(-c4ccc5[nH]c([C@@H]6[C@H]7CC[C@H](C7)N6C(=O)[C@@H](NC(=O)OC)C(C)C)nc5c4)ccc2-3)c[nH]1)C(C)C,antiviral,6.065667102410185,0.4733254386892224,5.1379492425793085,6.993384962241061,8.596722292946009e-07,1.0153482807019258e-07,7.2786486752057305e-06
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H](Oc2ncc(OC)c3ccc(Cl)cc23)CN1C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1,antiviral,5.998334684450718,0.47392337990300754,5.069444859840823,6.927224509060613,1.0038418919779108e-06,1.182430139004031e-07,8.522267073965007e-06
COC[C@H]1C[C@@H](c2ncc(-c3ccc4c(c3)COc3cc5c(ccc6nc([C@@H]7CC[C@H](C)N7C(=O)[C@@H](NC(=O)OC)C(C)C)[nH]c65)cc3-4)[nH]2)N(C(=O)[C@H](NC(=O)OC)c2ccccc2)C1,antiviral,5.99436447743781,0.474356594863691,5.064625551504976,6.924103403370644,1.0130608273872476e-06,1.1909584129528577e-07,8.61736420705027e-06
CC(C)CN(C[C@@H](OP(=O)(O)O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1,antiviral,5.902632747769732,0.47043130856245563,4.980587382987319,6.824678112552145,1.2513167332992366e-06,1.497345036992979e-07,1.0457132647122902e-05
CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,antiviral,5.877171830427756,0.47474694882684826,4.946667810727133,6.807675850128378,1.3268693724450188e-06,1.5571274108876503e-07,1.1306604194508449e-05
Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCCNC1=O,antiviral,5.87243096670807,0.47210131855011855,4.947112382349838,6.7977495510663015,1.3414331460039899e-06,1.5931271867533048e-07,1.1295035952938044e-05
CC(C)c1nc(CN(C)C(=O)N[C@@H](CCN2CCOCC2)C(=O)N[C@H](CC[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)Cc2ccccc2)cs1,antiviral,5.843498015353968,0.4734693678701773,4.91549805432842,6.771497976379516,1.4338442684458451e-06,1.6923961302365834e-07,1.2147920628178234e-05
CCC[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)c1cnccn1)C1CCCCC1)C(C)(C)C)C(=O)C(=O)NC1CC1,antiviral,5.825416630291109,0.4766516884697137,4.89117932089047,6.759653939691748,1.4948009655621405e-06,1.7391861181798382e-07,1.2847560725610965e-05
COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1ncc(-c2ccc3c(c2)O[C@@H](c2ccccc2)n2c-3cc3cc(-c4cnc([C@@H]5CCCN5C(=O)[C@@H](NC(=O)OC)C(C)C)[nH]4)ccc32)[nH]1)C(C)C,antiviral,5.821979004557964,0.47134137505407003,4.898149909451987,6.7458080996639405,1.506679903045746e-06,1.795526835365833e-07,1.2642998620398876e-05
COc1cccc(N2CCN(C3=Nc4c(F)cccc4[C@H](CC(=O)O)N3c3cc(C(F)(F)F)ccc3OC)CC2)c1,antiviral,5.818074353199593,0.47209635360124264,4.892765500141158,6.743383206258029,1.5202872273311397e-06,1.805580242079126e-07,1.2800723001514312e-05
CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1,antiviral,5.809929085681512,0.47258904376326805,4.883654559905507,6.736203611457517,1.5490695400229033e-06,1.8356775159134114e-07,1.3072102365609398e-05
COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1ncc(-c2ccc(-c3ccc(-c4cnc([C@@H]5CCCN5C(=O)[C@@H](NC(=O)OC)C(C)C)[nH]4)cc3)cc2)[nH]1)C(C)C,antiviral,5.808297253341934,0.4714915525478287,4.884173810348189,6.732420696335678,1.554901013576269e-06,1.8517369968718548e-07,1.3056482460007903e-05
Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,antiviral,5.720361139730548,0.4712180498498924,4.796773762024759,6.643948517436336,1.9038768812669473e-06,2.2701339443850247e-07,1.5967107086294396e-05
CCC[C@@]1(CCc2ccccc2)CC(O)=C([C@H](CC)c2cccc(NS(=O)(=O)c3ccc(C(F)(F)F)cn3)c2)C(=O)O1,antiviral,5.717818118456018,0.47180696454027987,4.79307646795707,6.642559768954966,1.9150577789562774e-06,2.2774047967703197e-07,1.6103620673592608e-05
COc1cc2c(cc1Cc1cccc(Cl)c1F)c(=O)c(C(=O)O)cn2[C@H](CO)C(C)C,antiviral,5.716172168407809,0.4704973595190894,4.7939973437503935,6.638346993065224,1.9223295041180396e-06,2.299603743378135e-07,1.6069510814825038e-05
C[C@H]1CO[C@@H]2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c(O)c3C(=O)N12,antiviral,5.7026807773343755,0.4704827764145992,4.7805345355617614,6.62482701910699,1.9829840576022984e-06,2.37231841958658e-07,1.657545521814959e-05
CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc(N)cc1,antiviral,5.682517328310172,0.47289517218723404,4.7556427908231935,6.60939186579715,2.0772208429971096e-06,2.458148605029919e-07,1.7553236699166553e-05
Cc1cnc(C(=O)N[C@H]2CCCCC/C=C\[C@@H]3C[C@@]3(C(=O)NS(=O)(=O)C3CC3)NC(=O)[C@@H]3C[C@@H](Oc4nc5ccccc5c5ccccc45)CN3C2=O)cn1,antiviral,5.661021140990952,0.4706194014265352,4.738607114194943,6.583435167786961,2.1826236614711644e-06,2.6095452512568616e-07,1.825546441595268e-05
C[C@@H]1CCO[C@H]2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c(O)c3C(=O)N12,antiviral,5.658403811683444,0.47041706941000444,4.736386355639835,6.580421267727052,2.1958172288036014e-06,2.6277178563700724e-07,1.8349052546194213e-05
O=C(NCc1c(F)cc(F)cc1F)c1cn2c(c(O)c1=O)C(=O)N1[C@H]3CC[C@H](C3)O[C@@H]1C2,antiviral,5.6507680886336455,0.47179603058406233,4.726047868688884,6.575488308578407,2.2347652592025637e-06,2.657735096130524e-07,1.8791096866688756e-05
COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C,antiviral,5.649192880777858,0.4707933050803957,4.726438002820283,6.571947758735433,2.2428855823272763e-06,2.6794906212458245e-07,1.877422408395155e-05
Cc1nnc(C(C)C)n1[C@@H]1C[C@H]2CC[C@@H](C1)N2CC[C@H](NC(=O)C1CCC(F)(F)CC1)c1ccccc1,antiviral,5.634915869255806,0.47325371922420645,4.707338579576362,6.562493158935251,2.317843614967775e-06,2.738462770556343e-07,1.961830221396595e-05
CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,antiviral,5.626283695655042,0.4719145161813853,4.701331243939527,6.551236147370557,2.364374704425645e-06,2.810372276579611e-07,1.9891555967565767e-05
COC(=O)OCOc1c2n(ccc1=O)N([C@@H]1c3ccccc3SCc3c1ccc(F)c3F)[C@@H]1COCCN1C2=O,antiviral,5.5587381434277265,0.47323220771518837,4.631203016305958,6.486273270549495,2.7622428403651343e-06,3.2638239837654257e-07,2.3377441758810295e-05
CC(C)Nc1nc2cc(Cl)c(Cl)cc2n1[C@H]1O[C@@H](CO)[C@H](O)[C@@H]1O,antiviral,5.515694212265327,0.4710860617486785,4.592365531237917,6.439022893292737,3.0500417751273824e-06,3.6389585330490625e-07,2.5564333161629816e-05
Cn1c(Cn2ccc(C(F)(F)F)c(Oc3cc(Cl)cc(C#N)c3)c2=O)n[nH]c1=O,antiviral,5.507626367786398,0.47677733701509073,4.57314278723682,6.442109948335975,3.1072316519756212e-06,3.613183777482783e-07,2.6721277227048427e-05
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,antiviral,5.503280745595453,0.4710956756651262,4.579933221291806,6.4266282698991,3.1384791975246847e-06,3.7443094164177e-07,2.6306724626190335e-05
Cc1nnc(C(=O)NC(C)(C)c2nc(C(=O)NCc3ccc(F)cc3)c(O)c(=O)n2C)o1,antiviral,5.497754364736481,0.4727292629196251,4.571205009414015,6.424303720058946,3.1786714064570547e-06,3.7644044656422424e-07,2.6840771236052188e-05
CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)O)=C[C@@H]1N=C(N)N,antiviral,5.495813801573162,0.47254386242778984,4.569627831214694,6.421999771931629,3.192906481140201e-06,3.784427834550694e-07,2.6938423040421008e-05
CCC(CC)[C@H](NC(C)=O)[C@@H]1[C@H](O)[C@@H](C(=O)O)C[C@H]1NC(=N)N,antiviral,5.488919341672076,0.47197850238316197,4.563841477001079,6.413997206343073,3.2439986016101793e-06,3.854808373144728e-07,2.7299740761597896e-05
CC(=O)Nc1ccc(C(=O)O)cc1.CC(=O)Nc1ccc(C(=O)O)cc1.CC(=O)Nc1ccc(C(=O)O)cc1.C[C@@H](O)CN(C)C.C[C@@H](O)CN(C)C.C[C@@H](O)CN(C)C.O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,antiviral,5.486088989035017,0.47356322324725947,4.557905071470389,6.4142729065996456,3.265209196051719e-06,3.8523620275496254e-07,2.767546512434668e-05
COc1cnc(-n2cnc(C)n2)c2c1c(C(=O)C(=O)N1CCN(C(=O)c3ccccc3)CC1)cn2COP(=O)(O)O,antiviral,5.480085871995402,0.4725167194649405,4.553953101844119,6.406218642146685,3.310656542009873e-06,3.9244731114042026e-07,2.7928454159368798e-05
O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1,antiviral,5.463718112078022,0.47376148633454823,4.535145598862307,6.392290625293736,3.43781013760562e-06,4.052372641829311e-07,2.9164490995302142e-05
CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1,antiviral,5.458983418378535,0.4712360910118677,4.535360679995275,6.3826061567617955,3.47549430833741e-06,4.143752838447166e-07,2.9150051072573746e-05
CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1,antiviral,5.443199176306438,0.47261659825934266,4.516870643718126,6.36952770889475,3.604133122172197e-06,4.2704367229358535e-07,3.0417908998797806e-05
O=C(O)P(=O)(O)O,antiviral,5.4366445924688005,0.4778702787415867,4.500018846135291,6.37327033880231,3.6589410078889446e-06,4.2337933964188623e-07,3.16214043664375e-05
CC(C)(C)NC(=O)N[C@H](C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)NC(CC1CCC1)C(=O)C(N)=O)C2(C)C)C(C)(C)C,antiviral,5.4336963835279875,0.4711492844149549,4.510243786074676,6.357148980981299,3.683864236064453e-06,4.3939086033166005e-07,3.0885612184812425e-05
COc1c(-c2ccc3cc(NS(C)(=O)=O)ccc3c2)cc(-n2ccc(=O)[nH]c2=O)cc1C(C)(C)C,antiviral,5.412082076236398,0.4727523976563278,4.485487376829996,6.338676775642801,3.871844649755803e-06,4.584829864568663e-07,3.2697355048425544e-05
