starter_Canonical_SMILES,Canonical_SMILES,source_DataBase,pPotency_prediction,pPotency_std,pPotency_lower_95CI,pPotency_upper_95CI,IC50(M)_prediction,IC50(M)_lower_95CI,IC50(M)_upper_95CI
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,CCC(CC)CC(=O)[C@H](C)N[P@@](=O)(Oc1ccccc1)OP(=O)(O)O,RemdesivirOnly_gen2,5.767020549484987,0.4739374151933092,4.838103215706101,6.6959378832638725,1.7099344043162273e-06,2.014012291569034e-07,1.4517665454695015e-05
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,O=C(O)c1ccccc1,RemdesivirOnly_gen2,5.748711311812894,0.4749967084525228,4.817717763245949,6.679704860379839,1.783563960383312e-06,2.0907164658271758e-07,1.5215360154154749e-05
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,Oc1ccccc1,RemdesivirOnly_gen2,5.746977331127594,0.4747933836641972,4.816382299145768,6.67757236310942,1.7906993207421238e-06,2.1010076653248266e-07,1.526221969690218e-05
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,CC(C)=CCc1ccccc1O,RemdesivirOnly_gen2,5.723253856838531,0.471338862827566,4.799429685696502,6.647078027980561,1.8912378159765164e-06,2.253834238245018e-07,1.5869758369474132e-05
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,CCN[P@@](=O)(Oc1cccc(C(=O)OCC(CC)CC)c1)OP(=O)(O)O,RemdesivirOnly_gen2,5.718721574996843,0.4771272722691489,4.783552121349311,6.653891028644376,1.911078052824889e-06,2.2187530702049253e-07,1.6460684034801805e-05
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,CCC(CC)COC(=O)O[C@H](C)N[P@@](=O)(Oc1ccccc1)OP(=O)(O)O,RemdesivirOnly_gen2,5.717643005145291,0.4717828064611018,4.792948704481532,6.6423373058090505,1.915830111417741e-06,2.2785716741755301e-07,1.610835883467655e-05
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,Oc1cccc(O)c1,RemdesivirOnly_gen2,5.717270244422343,0.4733371566967781,4.789529417296658,6.645011071548028,1.9174751997516843e-06,2.264586575340708e-07,1.6235683730084807e-05
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,CCC(C)(C)COC(=O)[C@H](C)N[P@@](=O)(Oc1ccccc1)OP(=O)(O)O,RemdesivirOnly_gen2,5.715236686772116,0.473844157642616,4.7865021377925885,6.643971235751643,1.9264747148265518e-06,2.270015194845303e-07,1.6349251032740153e-05
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,Oc1ccccc1O,RemdesivirOnly_gen2,5.714083875662363,0.4738675023091981,4.785303571136335,6.642864180188391,1.9315952303624616e-06,2.275809048443232e-07,1.6394434043186727e-05
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,Oc1ccc(O)cc1,RemdesivirOnly_gen2,5.711720855327476,0.4722756610306925,4.786060559707319,6.6373811509476335,1.942133791464324e-06,2.3047236005538162e-07,1.6365882932952228e-05
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,O=C(O)c1ccccc1O,RemdesivirOnly_gen2,5.707311367385478,0.4735838074381837,4.779087104806639,6.635535629964318,1.961953150361287e-06,2.314538291132646e-07,1.663079059421782e-05
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,CC(=O)Oc1ccccc1,RemdesivirOnly_gen2,5.7065421589659,0.4765180466207802,4.77256678758917,6.640517530342629,1.965431177861439e-06,2.288139348724436e-07,1.6882362156235185e-05
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,CCN[P@@](=O)(Oc1ccc(C(=O)OCC(CC)CC)cc1)OP(=O)(O)O,RemdesivirOnly_gen2,5.7054945474633865,0.4720449711314208,4.7802864040458015,6.630702690880971,1.9701779425067045e-06,2.340438906965292e-07,1.6584928209781785e-05
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,CCC(CC)c1cccc(O[P@](=O)(N[C@@H](C)C(=O)OC)OP(=O)(O)O)c1,RemdesivirOnly_gen2,5.70116358735414,0.4751394693999933,4.769890227330153,6.632436947378126,1.989923645693747e-06,2.33111153087568e-07,1.698672956331523e-05
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,O=C(O)c1ccc(O)cc1,RemdesivirOnly_gen2,5.6987546678914764,0.4729391981878519,4.771793839443287,6.625715496339666,2.000991906862873e-06,2.367470104792887e-07,1.691243578208138e-05
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,O=CC=CC=CC(=O)O,RemdesivirOnly_gen2,5.693759937622247,0.4763550704517906,4.760103999536737,6.627415875707756,2.0241377400793538e-06,2.3582189466121898e-07,1.7373847312606337e-05
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,CCC(CC)COC(=O)C(C)(C)N[P@@](=O)(Oc1ccccc1)OP(=O)(O)O,RemdesivirOnly_gen2,5.684765667655193,0.4733477807079507,4.75700401746761,6.612527317842776,2.0664948740271384e-06,2.4404655538853525e-07,1.7498305016359403e-05
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,O=CC=CC=C(O)C=O,RemdesivirOnly_gen2,5.680847296855067,0.4742956897611954,4.751227744923124,6.610466848787009,2.0852239439437147e-06,2.452071621847628e-07,1.773259336168924e-05
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,CCC(C)(CC)COC(=O)[C@H](C)N[P@@](=O)(Oc1ccccc1)OP(=O)(O)O,RemdesivirOnly_gen2,5.680143925299812,0.4729037308467008,4.753252612840279,6.607035237759345,2.0886038523112365e-06,2.4715236025482015e-07,1.7650108813008034e-05
