molecule_chembl_id,smiles,molecular_formula,inchi_key,inchi,molecular_weight,type,standard_value,standard_units,standard_relation,standard_type,pchembl_value,AlogP,polar_surface_area,hba,hbd,rotatable_bonds,qed_weighted,heavy_atoms,aromatic_rings,ro5_violations,Target ChEMBL ID,Target Name,Target Organism,Virus,value_uM,pPotency,pPotencyMid,invalidSmiles,strain
CHEMBL5087131,CC(C)C[C@H](NCc1ccc(-c2ccccc2)cc1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NC(C)(C)C,,,,538.74,,4000.0,nM,'>',EC50,,5.98,,,,,,,,,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2,SARS-CoV-2,4.0,,5.3979400086720375,False,
CHEMBL4065616,CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,,,,602.59,,10.0,nM,'=',EC50,8.0,2.31,,,,,,,,,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2,SARS-CoV-2,0.01,8.0,8.0,False,
CHEMBL4852507,C=CCn1ccc2c(C(=O)Oc3cncc(Cl)c3)cccc21,,,,312.76,,15000.0,nM,'=',EC50,4.82,4.09,,,,,,,,,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2,SARS-CoV-2,15.0,4.823908740944319,4.823908740944319,False,
CHEMBL4846056,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN1CCC(N2CCCCC2)CC1,,,,431.62,,10050.0,nM,'=',IC50,5.0,3.43,,,,,,,,,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2,SARS-CoV-2,10.05,4.997833938243492,4.997833938243492,False,
CHEMBL5419985,CC(C)(C)[C@H](NC(=O)C(F)(F)F)C(=O)N1C[C@@H]2CCC[C@@H]2[C@H]1C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O,,,,499.53,,64.0,nM,'=',EC50,7.19,1.24,,,,,,,,,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2,SARS-CoV-2,0.064,7.1938200260161125,7.1938200260161125,False,
CHEMBL46286,COC(=O)C[C@](O)(CCCC(C)(C)O)C(=O)O[C@@H]1C(OC)=C[C@]23CCCN2CCc2cc4c(cc2[C@H]13)OCO4,,,,545.63,,2100.0,nM,'=',EC50,5.68,2.58,,,,,,,,,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2,SARS-CoV-2,2.1,5.6777807052660805,5.6777807052660805,False,
CHEMBL4065616,CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,,,,602.59,,770.0,nM,'=',EC50,6.11,2.31,,,,,,,,,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2,SARS-CoV-2,0.77,6.113509274827518,6.113509274827518,False,
CHEMBL4802135,CC(C)(C)[C@H](NC(=O)C(F)(F)F)C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O)C2(C)C,,,,499.53,,74.5,nM,'=',EC50,7.13,1.1,,,,,,,,,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2,SARS-CoV-2,0.0745,7.127843727251707,7.127843727251707,False,
CHEMBL5287816,CC1=C[C@H](O)CC(C)(C)[C@H]1/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(\CO)C(=O)CC1=C(C)C[C@@H](O)CC1(C)C,,,,600.88,,87400.0,nM,'=',IC50,4.06,8.78,,,,,,,,,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2,SARS-CoV-2,87.4,4.058488567365597,4.058488567365597,False,
CHEMBL4796938,O=C[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC1CCCCC1)NC(=O)c1cc2ccccc2[nH]1,,,,452.56,,530.0,nM,'=',EC50,6.28,2.45,,,,,,,,,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2,SARS-CoV-2,0.53,6.275724130399211,6.275724130399211,False,
