,smiles,ATC_code,Drug_Type,molecular_weight,logP,hydrogen_bond_acceptors,hydrogen_bond_donors,Lipinski,QED,stereo_centers,tpsa,AMES,BBB_Martins,Bioavailability_Ma,CYP1A2_Veith,CYP2C19_Veith,CYP2C9_Substrate_CarbonMangels,CYP2C9_Veith,CYP2D6_Substrate_CarbonMangels,CYP2D6_Veith,CYP3A4_Substrate_CarbonMangels,CYP3A4_Veith,Carcinogens_Lagunin,ClinTox,DILI,HIA_Hou,NR-AR-LBD,NR-AR,NR-AhR,NR-Aromatase,NR-ER-LBD,NR-ER,NR-PPAR-gamma,PAMPA_NCATS,Pgp_Broccatelli,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,Skin_Reaction,hERG,Caco2_Wang,Clearance_Hepatocyte_AZ,Clearance_Microsome_AZ,Half_Life_Obach,HydrationFreeEnergy_FreeSolv,LD50_Zhu,Lipophilicity_AstraZeneca,PPBR_AZ,Solubility_AqSolDB,VDss_Lombardo,molecular_weight_drugbank_approved_percentile,logP_drugbank_approved_percentile,hydrogen_bond_acceptors_drugbank_approved_percentile,hydrogen_bond_donors_drugbank_approved_percentile,Lipinski_drugbank_approved_percentile,QED_drugbank_approved_percentile,stereo_centers_drugbank_approved_percentile,tpsa_drugbank_approved_percentile,AMES_drugbank_approved_percentile,BBB_Martins_drugbank_approved_percentile,Bioavailability_Ma_drugbank_approved_percentile,CYP1A2_Veith_drugbank_approved_percentile,CYP2C19_Veith_drugbank_approved_percentile,CYP2C9_Substrate_CarbonMangels_drugbank_approved_percentile,CYP2C9_Veith_drugbank_approved_percentile,CYP2D6_Substrate_CarbonMangels_drugbank_approved_percentile,CYP2D6_Veith_drugbank_approved_percentile,CYP3A4_Substrate_CarbonMangels_drugbank_approved_percentile,CYP3A4_Veith_drugbank_approved_percentile,Carcinogens_Lagunin_drugbank_approved_percentile,ClinTox_drugbank_approved_percentile,DILI_drugbank_approved_percentile,HIA_Hou_drugbank_approved_percentile,NR-AR-LBD_drugbank_approved_percentile,NR-AR_drugbank_approved_percentile,NR-AhR_drugbank_approved_percentile,NR-Aromatase_drugbank_approved_percentile,NR-ER-LBD_drugbank_approved_percentile,NR-ER_drugbank_approved_percentile,NR-PPAR-gamma_drugbank_approved_percentile,PAMPA_NCATS_drugbank_approved_percentile,Pgp_Broccatelli_drugbank_approved_percentile,SR-ARE_drugbank_approved_percentile,SR-ATAD5_drugbank_approved_percentile,SR-HSE_drugbank_approved_percentile,SR-MMP_drugbank_approved_percentile,SR-p53_drugbank_approved_percentile,Skin_Reaction_drugbank_approved_percentile,hERG_drugbank_approved_percentile,Caco2_Wang_drugbank_approved_percentile,Clearance_Hepatocyte_AZ_drugbank_approved_percentile,Clearance_Microsome_AZ_drugbank_approved_percentile,Half_Life_Obach_drugbank_approved_percentile,HydrationFreeEnergy_FreeSolv_drugbank_approved_percentile,LD50_Zhu_drugbank_approved_percentile,Lipophilicity_AstraZeneca_drugbank_approved_percentile,PPBR_AZ_drugbank_approved_percentile,Solubility_AqSolDB_drugbank_approved_percentile,VDss_Lombardo_drugbank_approved_percentile
0,Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1,J05AF;J05AR,antiviral,286.33900000000006,1.0922999999999998,7,3,4.0,0.7272302824304794,2,101.88,0.6460947394371033,0.8279598832130433,0.9003135204315186,0.45277929604053496,0.051874378509819505,0.09186052903532982,0.045424924790859224,0.09001652114093303,0.021314050443470477,0.2798307090997696,0.20570927560329438,0.09466135054826737,0.09137691222131253,0.8764570236206055,0.9999749898910523,0.020609872043132783,0.024951959401369093,0.7048896551132202,0.24246737509965896,0.013067644834518433,0.16241540759801865,0.007559814164415002,0.6821420192718506,0.014458690490573644,0.4144480437040329,0.19047816321253777,0.04016626793891191,0.2986635386943817,0.1870585262775421,0.4669526219367981,0.4217836380004883,-5.552575870035903,-0.10033326198825136,-16.20686040628342,1.0139048041965695,-14.300856175356216,2.3826348379253743,1.789446241156556,62.01607243579567,-2.3755988238228936,0.004149135527358627,36.487010469174095,33.69523070957735,77.35556417215975,77.25862737495153,63.80379992245056,78.51880573865839,68.86390073671966,68.67002714230321,90.07367196587825,58.66614967041489,73.40054284606437,81.77588212485459,38.85226832105467,33.34625823962776,52.50096936797208,46.10314075222954,36.29313687475766,30.981000387747187,66.34354400930593,35.71151609150834,48.933695230709574,78.51880573865839,93.21442419542458,67.54556029468786,51.68670027142303,96.51027530050406,88.17371074059713,42.3419930205506,73.47809228383095,56.76618844513377,44.82357502908104,27.91779759596743,78.79022877084141,93.52462194649088,71.15160915083365,77.89841023652578,84.49011244668476,54.672353625436216,59.71306708026367,21.713842574641333,14.928266770065918,11.942613416052733,38.89104303993796,12.40791004265219,40.67468010856921,56.029468786351295,33.38503295851105,62.582396277626984,36.71965878247383
1,Nc1nc(=O)c2ncn(COCCO)c2[nH]1,J05AB,antiviral,225.20799999999997,-1.3318000000000003,7,3,4.0,0.554385971786765,0,119.05000000000001,0.3244535356760025,0.7200319647789002,0.576377910375595,0.0033402398446924055,0.00048788183444230525,0.049339919816702604,0.0015058939519803972,0.021065588947385548,0.000547428811660211,0.05235470943152905,0.00020682528634097253,0.1703482609242201,0.16676509976387024,0.9000297427177429,0.9677677392959595,0.011786191398277879,0.009941058792173862,0.022076524375006557,0.003314309008419514,0.0027628937968984246,0.026137993112206458,0.0003853261994663626,0.02475605746731162,0.006082871975377202,0.030817370116710662,0.005365525977686048,0.004145458783023059,0.002593864640221,0.06208348795771599,0.3534542262554169,0.08574034869670868,-5.979245779085008,24.454555303629256,-22.644984440730802,-16.573898380580793,-19.825048747268745,1.9345234410882874,-0.9610442899550435,37.996543315304066,-1.9376341159427717,4.0589052982736415,21.519968980224892,13.493602171384257,77.35556417215975,77.25862737495153,63.80379992245056,55.253974408685536,22.489336952307095,77.62698720434277,68.82512601783637,48.11942613416053,23.768902675455603,21.209771229158587,1.3958898797983714,17.72004652966266,11.59364094610314,15.044590926715781,4.614191547111283,2.869329197363319,11.012020162853819,53.19891430787126,62.504846839860406,81.23303606048856,32.880961613028305,52.7723924001551,24.932144241954244,48.817371074059714,26.793330748352073,13.765025203567273,10.003877471888329,16.750678557580457,4.963164017060876,17.48739821636293,21.636293136874755,46.83986041101202,27.25862737495153,20.511826289259403,68.20473051570376,42.22566886390074,27.84024815820085,12.252811167119038,37.49515316013959,7.289647150058162,10.77937184955409,2.2101589763474214,17.409848778596356,13.067080263668089,12.679333074835206,70.33734005428461,68.47615354788678
2,CC(C)(C)C(=O)OCOP(=O)(COCCn1cnc2c(N)ncnc21)OCOC(=O)C(C)(C)C,J05AF,antiviral,501.47700000000026,2.7025000000000006,13,1,2.0,0.2071524581096599,0,166.97999999999996,0.5300053417682647,0.9017561316490174,0.6756068468093872,0.003372106107417494,0.1312249254435301,0.03813634095713496,0.20827271714806556,0.030707800388336183,0.023926079692319035,0.8756406545639038,0.6989967942237854,0.09323044270277023,0.38735821545124055,0.6413679838180542,0.9697516441345215,0.02447996661067009,0.01879737265408039,0.1263945683836937,0.5758063197135925,0.09585433974862098,0.0436191238462925,0.004134833859279752,0.9508697152137756,0.3624476194381714,0.5116127073764801,0.0212818693369627,0.01137342806905508,0.015979658998548984,0.03627169262617826,0.2027815490961075,0.846239423751831,-5.346994343710422,105.25453904157811,110.34606924071768,-11.663334456733555,-8.89339731452996,2.14107806487138,2.0954412371470554,69.79358557168811,-2.9725488843707693,1.4744501655605198,82.04730515703761,57.19271035284994,93.54400930593253,36.68088406359054,9.848778596355176,13.067080263668089,22.489336952307095,87.32066692516479,84.60643660333463,67.70065917022102,32.880961613028305,21.36487010469174,54.245831717720044,13.84257464133385,76.5412950756107,22.99340829778984,38.50329585110508,97.16944552151996,87.2818922062815,35.36254362155874,82.35750290810391,61.768127181077936,33.38503295851105,71.42303218301667,42.884839084916635,74.9127568825126,97.75106630476928,87.6308646762311,21.868941450174486,47.34393175649476,80.18611865063978,69.29042264443582,84.17991469561845,68.74757658006979,45.870492438929816,38.929817758821244,59.75184179914695,20.93834819697557,81.50445909267158,29.3136874757658,91.81853431562621,96.93679720822024,17.13842574641334,57.6580069794494,27.025979061651803,62.00077549437766,43.54400930593253,51.29895308259015,49.67041488949205
3,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1,J05AE,antiviral,505.63700000000034,2.4028,7,3,3.0,0.3997403747719006,3,131.19,0.23405378460884094,0.3898629903793335,0.5582040786743164,0.08780882433056832,0.7797868967056274,0.37740269005298616,0.7496840000152588,0.24077406972646714,0.4376117825508118,0.7154971122741699,0.982760775089264,0.22112570703029633,0.34327597320079806,0.7578269362449646,0.998577880859375,0.0153341893106699,0.05113292299211025,0.060599700547754765,0.09784805290400982,0.016964516742154954,0.050754237174987796,0.03032997976988554,0.7898456692695618,0.4482182949781418,0.2302262544631958,0.009689248551148921,0.015579958097077906,0.2667311728000641,0.07117535024881363,0.12858484610915183,0.9459032416343689,-5.428531070959859,84.1721314204328,104.97485503205311,-7.180892812652097,-10.052732634345958,3.0866512183908434,2.7875046563148382,82.39540681550477,-4.543039391378255,4.552616978899208,82.3962776269872,51.53160139588988,77.35556417215975,77.25862737495153,20.918960837533927,33.81155486622722,75.43621558743699,80.8065141527724,57.696781698332686,23.575029081039162,22.721985265606826,58.58860023264831,93.8348196975572,85.88600232648314,95.69600620395502,69.94959286545172,83.98604110120202,75.37805350911205,99.22450562233423,62.03955021326095,79.37184955409073,68.32105467235363,62.15587436991082,59.63551764249709,73.78829003489724,64.1721597518418,72.74137262504847,48.58472276075998,27.181077937184956,77.39433889104303,53.12136487010469,73.12911981388135,64.59868165955797,54.866227219852654,52.65606824350523,76.580069794494,70.76386196200077,9.810003877471889,92.71035284994184,26.211709965102752,84.72276075998448,96.31640170608763,23.65257851880574,45.63784412563009,82.66770065917022,75.84335013571152,59.79061651803024,21.55874369910818,71.73322993408297
4,C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H](Oc2ncc(OC)c3ccc(Cl)cc23)CN1C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1,J05AP,antiviral,748.299,3.8538000000000023,10,3,3.0,0.2857389521919524,5,182.33,0.25266037285327914,0.5046553194522858,0.8479332089424133,0.09319419264793397,0.6169845223426819,0.3333398073911667,0.7684117555618286,0.09548307731747627,0.12981593161821364,0.9052017807960511,0.9895310282707215,0.16216300278902054,0.4659658372402191,0.9148892283439636,0.9997451066970825,0.004153318679891526,0.006617024261504412,0.03798501081764698,0.13126324266195297,0.017143057845532893,0.04090264718979597,0.055586249008774756,0.9464053630828857,0.4481898069381714,0.6349490523338318,0.020765169896185397,0.07211816012859344,0.4417883694171906,0.16985112950205802,0.1351602092385292,0.738329017162323,-5.133580289423611,21.41666732715182,61.931639123474405,18.87255649206064,-10.210148344056634,4.299075587416237,2.893192056789352,93.26119804910715,-5.360609771612216,2.3913341655458638,92.98177588212485,74.99030632027917,88.9104303993796,77.25862737495153,20.918960837533927,19.34858472276076,83.96665374176037,89.33695230709577,60.64366033346258,30.864676231097324,60.2559131446297,59.17022101589763,88.40635905389686,81.65955796820472,96.00620395502132,47.654129507561066,67.00271423032183,98.6816595579682,99.49592865451726,51.60915083365646,86.58394726638231,83.48196975571926,78.24738270647538,28.344319503683597,17.48739821636293,56.57231485071733,78.1698332687088,48.73982163629314,19.813881349360216,85.14928266770066,78.55758045754168,73.12911981388135,89.91857309034509,68.35982939123691,80.49631640170608,83.32687088018612,83.01667312911981,11.012020162853819,74.2535866614967,40.67468010856921,34.082977898410235,83.75339278790229,65.87824738270648,44.241954245831714,98.95308259015121,77.97595967429235,79.52694842962389,10.120201628538194,57.153935633966654
5,COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C,J05AE;J05AR,antiviral,704.869,4.2116000000000025,9,5,3.0,0.15431195958816882,4,171.21999999999997,0.4036410629749298,0.1514311134815216,0.7287247538566589,0.022042774059809745,0.7050390839576721,0.42222548425197604,0.7993824720382691,0.08811926953494549,0.27671419084072113,0.812962806224823,0.9805692434310913,0.44377340376377106,0.6227678120136261,0.8117815017700195,0.9961165308952331,0.002208570123184472,0.005277049425058067,0.13127979636192322,0.05198344215750694,0.008187286462634802,0.031484332866966724,0.008152173180133105,0.8828184127807617,0.8374194502830505,0.24731095433235167,0.0043281441670842465,0.028831859212368728,0.2800323277711868,0.018708996661007404,0.11633050590753555,0.9465983152389527,-5.1431385020894345,35.930242120892686,106.68611608986157,35.999223807574396,-10.56585543044103,3.000573761311005,3.2643994744856792,104.86319014869439,-5.567918795444174,5.433478402712864,92.40015509887553,80.4187669639395,86.25436215587436,90.75222954633578,20.918960837533927,9.034509499806127,80.1085692128732,87.74718883288097,76.5412950756107,9.810003877471889,40.4032570763862,42.49709189608375,91.23691353237689,88.9104303993796,96.58782473827064,45.5990694067468,77.58821248545948,89.6083753392788,99.10818146568437,85.49825513765025,94.64908879410623,72.66382318728189,51.06630476929042,18.030244280728965,14.113997673516867,75.5719271035285,61.69057774331136,30.70957735556417,13.377278014734394,57.9682047305157,63.97828615742536,89.68592477704536,66.38231872818922,43.505234587049245,64.59868165955797,76.96781698332687,47.84800310197751,7.9488173710740595,92.86545172547498,40.13183404420318,50.019387359441644,96.58782473827064,79.99224505622334,40.94610314075223,78.63512989530825,85.9635517642497,96.85924777045366,8.026366808840635,77.04536642109345
6,COC(=O)OCOc1c2n(ccc1=O)N([C@@H]1c3ccccc3SCc3c1ccc(F)c3F)[C@@H]1COCCN1C2=O,J05AX,antiviral,571.5580000000001,3.391200000000002,10,0,3.0,0.34476475714144983,2,99.53999999999999,0.36168332695961,0.7417089343070984,0.9077010989189148,0.00851370794698596,0.13252220451831817,0.18974312245845795,0.22303373366594315,0.023404488712549208,0.009419759130105376,0.74875248670578,0.8308841824531555,0.06958526372909546,0.23063092231750487,0.9719786763191223,0.9988435506820679,0.03733488991856575,0.1488795056939125,0.09135182425379754,0.09579166620969773,0.013974516373127698,0.07086712121963501,0.050759009458124636,0.9199878573417664,0.7276203155517578,0.4243658006191254,0.03790592737495899,0.008976477198302746,0.3319371432065964,0.1638362765312195,0.06298090144991875,0.5176265954971313,-4.537558775567996,89.73452851745637,98.74957085560636,-18.241230791404035,-9.090304264890818,2.7065299564056398,3.3128881582064778,86.7998884056948,-4.97061806638286,4.227507026611688,87.35944164404808,67.70065917022102,88.9104303993796,11.768127181077936,20.918960837533927,26.63823187281892,68.86390073671966,66.88639007367196,72.78014734393176,50.4846839860411,75.95967429236138,31.717720046529664,54.36215587436991,59.82939123691353,77.54943776657619,17.29352462194649,24.311748739821635,80.34121752617293,91.89608375339279,27.723924001550987,69.52307095773556,94.99806126405583,64.71500581620784,80.1085692128732,89.8797983714618,70.25979061651803,72.50872431174874,44.048080651415276,40.015509887553314,83.94726638231873,71.38425746413338,84.87785963551764,79.41062427297402,77.04536642109345,41.799146956184565,79.52694842962389,82.20240403257077,1.667312911981388,64.79255525397441,77.78208607987592,86.66149670414889,95.46335789065529,9.538580845288871,55.874369910818146,62.03955021326095,86.89414501744862,67.1190383869717,14.6568437378829,69.83326870880185
7,O=C(NCc1c(F)cc(F)cc1F)c1cn2c(c(O)c1=O)C(=O)N1[C@H]3CC[C@H](C3)O[C@@H]1C2,J05AR,antiviral,449.3850000000003,1.6343999999999999,6,2,4.0,0.742207162248136,3,100.87,0.7253859102725982,0.8015488624572754,0.9091030478477478,0.013125070417299867,0.03383127199485898,0.10680710375308991,0.10008314549922943,0.039626645483076574,0.023849678691476583,0.6586950123310089,0.19248518943786622,0.0576070748269558,0.293174085021019,0.9339707136154175,0.9966402411460876,0.060483624786138536,0.0830655500292778,0.02099542710930109,0.1942197471857071,0.021506547927856445,0.11921252459287643,0.014018428372219205,0.8271106123924256,0.20584857910871507,0.22513073682785034,0.11003126204013824,0.013126077223569154,0.16559687480330468,0.2058711677789688,0.1593073070049286,0.43253294825553895,-4.783660133811135,26.059275656212094,28.307804346803767,28.44622872034251,-12.138464158402623,3.8354382800330127,1.425290793766345,76.04267108179468,-4.072670183274953,-0.1940874938309239,75.10663047692904,40.7134548274525,69.5036835982939,60.85692128732067,63.80379992245056,81.0779371849554,75.43621558743699,67.81698332687088,92.7879022877084,55.83559519193486,76.26987204342768,36.370686312524235,31.834044203179527,37.611477316789454,65.37417603722373,28.227995347033733,38.4257464133385,68.16595579682047,65.29662659945716,22.954633578906552,75.84335013571152,85.84722760759985,52.57851880573865,86.58394726638231,84.3350135711516,47.77045366421093,84.87785963551764,55.253974408685536,63.08646762310973,66.30476929042264,57.46413338503296,61.768127181077936,64.05583559519194,89.2594028693292,49.20511826289259,70.10469174098488,85.61457929430011,14.811942613416052,60.33346258239628,62.65994571539356,39.433889104303994,60.37223730127956,74.6025591314463,26.87088018611865,96.70414889492051,49.24389298177588,50.639782861574254,30.16673129119814,34.93602171384257
8,CC(C)(C)NC(=O)N[C@H](C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)NC(CC1CCC1)C(=O)C(N)=O)C2(C)C)C(C)(C)C,J05AP,antiviral,519.6870000000004,1.7112000000000023,5,4,3.0,0.36005526389778836,5,150.70000000000002,0.14908166378736495,0.8636592984199524,0.6549044609069824,0.0007494944358768408,0.1931091293692589,0.14739175885915756,0.07514822315424681,0.1287262812256813,0.03479500599205494,0.8708485007286072,0.6279043644666672,0.15008410960435867,0.19382531493902205,0.34502218663692474,0.9940235257148743,0.0020301969547290356,0.006473116832785309,0.004368295706808567,0.006642556609585881,0.008939327340340242,0.023958458192646505,0.004166138218715787,0.938497531414032,0.18258128464221954,0.3632526218891144,0.003209405182860792,0.04189054295420647,0.06577807161957025,0.019129310082644225,0.2666090339422226,0.30012441277503965,-5.3204743277727315,54.152363544280966,79.2451809075547,-8.822011416892467,-8.33488113749889,4.003834910971867,2.9697651341448,88.96966343730058,-5.250989840250934,7.303088992055128,83.52074447460255,41.48894920511826,59.1120589375727,86.02171384257464,20.918960837533927,28.88716556804963,83.96665374176037,84.9941837921675,43.89298177588212,62.97014346645987,30.438154323381156,9.616130283055448,62.62117099651027,49.980612640558356,60.44978673904614,55.3702985653354,44.78480031019775,96.70414889492051,84.3737882900349,49.05001938735944,65.56804963164016,43.23381155486623,46.83986041101202,16.9445521519969,16.983326870880184,23.4587049243893,33.73400542846064,33.307483520744476,8.414113997673518,47.731678945327644,76.11477316789453,59.984490112446686,75.49437766576192,38.65839472663823,72.004652966266,57.34780922838309,48.313299728576965,30.78712679333075,50.756107018224114,30.632027917797593,65.72314850717332,90.46141915471112,21.054672353625435,63.125242341993015,97.55719271035285,79.99224505622334,71.57813105854983,11.167119038386971,84.87785963551764
9,CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,J05AB,antiviral,561.7010000000001,5.250500000000005,9,3,2.0,0.1019016453714381,2,146.13,0.1980201557278633,0.8238852262496948,0.4656707108020782,0.008421856665518136,0.10446034148335456,0.06534820105880498,0.1343063421547413,0.1156558196991682,0.05616351356729865,0.6457660257816314,0.5840634286403656,0.12667303532361984,0.1810720756649971,0.27467778623104094,0.9504166603088379,0.012334036827087402,0.030975326895713806,0.040096071921288966,0.2410006046295166,0.02462486196309328,0.049949416518211366,0.017060766462236643,0.6579395174980164,0.9627883791923523,0.27566283494234084,0.00575016129296273,0.04178400915116072,0.11750333160161971,0.1013555109500885,0.4232242316007614,0.8962774634361267,-5.314494035135072,72.96318153655668,82.87206981630086,71.07257666726285,-9.19553941279762,2.57174552229153,3.202153108405278,94.8474018405421,-4.861783674789988,8.797794452730386,86.73904614191547,90.34509499806126,86.25436215587436,77.25862737495153,9.848778596355176,5.544784800310198,68.86390073671966,84.00542846064366,51.68670027142303,58.00697944939899,17.603722373012793,31.640170608763086,50.52345870492439,23.80767739433889,70.18224117875145,52.69484296238852,52.423419930205505,66.49864288483909,83.32687088018612,44.280728964715,64.01706087630865,38.58084528887166,30.399379604497867,54.01318340442032,60.06203955021326,57.46413338503296,88.05738658394726,59.24777045366421,26.560682435052346,69.0577743311361,43.11748739821636,97.98371461806902,69.21287320666924,47.80922838309422,71.9658782473827,65.91702210158977,75.5719271035285,50.36835982939124,86.54517254749902,30.903450949980613,78.98410236525785,91.77975959674292,91.93485847227608,55.06010081426909,53.31523846452113,84.91663435440093,82.35750290810391,16.32415664986429,89.10430399379604
